['SKBJW', 'IKHTD', 'SPHAJ', 'LPHWP', 'JCOPI']
['OENWP', 'ZIJNW', 'QCRLR', 'NCDJQ', 'UZKCN']
['KRWXO', 'RURLC', 'MTCGB', 'DCJPL', 'GBGAG']
['VLEXY', 'OLFRP', 'CBNUD', 'TVCFA', 'WUCQA']
['BLHOQ', 'CCNPM', 'MWVBQ', 'WWYEF', 'AILUZ']
['OMYLR', 'VQDCT', 'KSCIB', 'AGDTK', 'TKYGG']
['WGGGP', 'WDGCR', 'VWJWK', 'IZMEQ', 'JXGHX']
['XIDUV', 'BNYBV', 'HNKDE', 'XBLXM', 'TFEWH']
['IBUGB', 'ENKVR', 'UHSWZ', 'IGQNP', 'HSIWG']
['DUAEB', 'SGRXP', 'OQSOU', 'UGKUC', 'YQSUZ']
['PGHQU', 'UJESQ', 'FELNZ', 'VATRQ', 'OJGET']
['ZBJTS', 'NUSHB', 'SEYUH', 'VGCRP', 'NLRBO']
['SAVNS', 'PABIC', 'XBSXA', 'MXMMA', 'BEIFF']
['FDGQA', 'UCLPW', 'EAEIR', 'CIILB', 'YWPLR']
['VQAKV', 'XUHAP', 'ZRVWH', 'ETYTK', 'PKBGA']
['QQUYY', 'DVRRV', 'OXRDD', 'HWSJL', 'DKHZJ']
['QGRPC', 'UGVLA', 'CHIJG', 'SRFIJ', 'IRNCA']
['XNYRJ', 'ZEPYJ', 'GZQDO', 'MEKWP', 'QYWKX']
['WSVIR', 'XXFSV', 'HNXEZ', 'EWNSH', 'QSYML']
['ZJPJO', 'WHRVK', 'FBWOW', 'ACJRU', 'ZLQYF']
['EGIIY', 'RDCTS', 'IVZGD', 'TAIVA', 'IGAXC']
['PSVNQ', 'KUMCW', 'DFVZW', 'NDLFM', 'ZYPEK']
['KENPF', 'MQDQQ', 'HFDOF', 'HAXVF', 'WCFRY']
['OSLVS', 'ORRXP', 'LYGHF', 'XXRUC', 'JTHWI']
['APXMD', 'OCOQX', 'QVNNO', 'UHOTV', 'HKVZW']
['GCQTP', 'VBRPO', 'SZXFW', 'WJAIQ', 'TBZDI']
['VTOZN', 'QIALM', 'VGUGP', 'DBIOJ', 'QGGOH']
['ZJQQO', 'JWSRE', 'JEBNF', 'AXQPJ', 'ZJNIT']
['SFQST', 'YJPCO', 'OAGEZ', 'FZRBE', 'QSVBC']
['KDZKT', 'XCTJB', 'XWMKT', 'QIZOX', 'KPECP']
['INTFC', 'KHNJL', 'BWWYB', 'IXMQO', 'RUGKU']
['AHMRO', 'NVSYK', 'BPLLS', 'CSQHY', 'EFKRH']
['BBVXC', 'GJRAV', 'XUYPR', 'VATKD', 'FZQXE']
['RQZPM', 'TFWCC', 'LCHJI', 'WLCAR', 'YXPNV']
['BBKUO', 'VVCGQ', 'YNIQG', 'JAFZN', 'VIPLF']
['QBVUY', 'FCJLJ', 'YWCZV', 'CUUFQ', 'KXMSB']
['TAHXC', 'QPVND', 'KEMJT', 'SHLYA', 'FCWUA']
['EHHWX', 'PTRTD', 'BNJLP', 'YFRIJ', 'XAOMD']
['XBTFE', 'ZCVZT', 'HTJHJ', 'KGIPC', 'SJJMM']
['SIGOM', 'GWJWE', 'NSTKH', 'SRUUN', 'CIBMR']
['WJIWZ', 'LIGPC', 'BPZOY', 'VXLZU', 'RJDRX']
['WPGRW', 'TNZEA', 'IZZTZ', 'PQDFC', 'DKSJV']
['NHQWU', 'ONQWA', 'UCQZE', 'MYAVD', 'NSAJQ']
['TEFPC', 'UDTFQ', 'ZUTJZ', 'EYFRR', 'MRXML']
['FSTKF', 'SROSJ', 'EBLCO', 'JHGWB', 'HCVBR']
['SVMGK', 'AICHQ', 'BTWAZ', 'SYIZZ', 'HXXMK']
['KYKCO', 'CKFJL', 'YQPNL', 'CIOFH', 'WOIJX']
['VLQCW', 'GOXXP', 'IRAUO', 'FZBVB', 'TFGVT']
['DLKKW', 'CPTCX', 'YJCIZ', 'CVNCZ', 'NKCOJ']
['BVCTY', 'MXBHP', 'ZQDIP', 'YBAFX', 'OVYDG']
['OXRUQ', 'ENWEP', 'CQBIT', 'QUECI', 'QCHPG']
['ECNTU', 'THQAC', 'EAITX', 'ERTVL', 'UHYVL']
['DFBMK', 'LIQGP', 'AWDBE', 'PSZDK', 'WTGUO']
['VYDDY', 'PQAHJ', 'ALMIE', 'ARMIC', 'AWUBI']
['VXIFI', 'PECLI', 'GAEKQ', 'FVYLB', 'UJHDY']
['FGDHQ', 'UBCVC', 'MIKDS', 'ERQBP', 'MESKQ']
['RJIED', 'RUYNY', 'OVYUV', 'WAHPX', 'KCHSD']
['OKQTW', 'YORBA', 'ACMPF', 'CLLNQ', 'TUSMK']
['CIPCP', 'SMSHQ', 'XFNKQ', 'LSZMU', 'UQKOV']
['GLIPE', 'JOZYK', 'BGOJW', 'XGNPD', 'VPSEI']
