['706', '486', '778', '210', '755', '529', '9', '737', '149', '53', '418', '733', '607', '186', '730', '150', '372', '537', '77', '19', '190', '502', '693', '82', '180', '540', '376', '374', '233', '589', '312', '220']
['505', '456', '761', '322', '512', '410', '504', '605', '241', '653', '121', '279', '389', '458', '694', '353', '386', '725', '298', '424', '90', '793', '292', '25', '396', '311', '349', '329', '750', '123', '211', '476']
['151', '530', '167', '259', '206', '375', '237', '403', '85', '503', '440', '179', '255', '407', '498', '600', '101', '423', '683', '361', '568', '113', '58', '604', '328', '198', '187', '781', '711', '411', '690', '741']
['44', '399', '743', '114', '356', '161', '434', '533', '189', '441', '432', '225', '766', '753', '415', '41', '178', '39', '145', '212', '558', '469', '744', '144', '262', '473', '587', '492', '209', '345', '611', '395']
['37', '223', '794', '621', '584', '230', '696', '609', '26', '285', '629', '38', '250', '721', '655', '569', '11', '227', '175', '767', '427', '457', '772', '120', '226', '402', '642', '283', '129', '439', '383', '33']
['608', '598', '203', '379', '507', '217', '572', '635', '622', '792', '350', '630', '64', '606', '709', '192', '117', '780', '305', '455', '481', '704', '215', '732', '111', '555', '309', '618', '664', '467', '634', '201']
['274', '497', '462', '524', '138', '591', '146', '483', '107', '65', '370', '176', '342', '362', '647', '80', '200', '546', '75', '575', '646', '776', '765', '326', '499', '613', '7', '561', '798', '599', '239', '670']
['84', '409', '325', '400', '480', '453', '573', '205', '248', '357', '547', '677', '463', '799', '563', '523', '551', '520', '91', '539', '74', '195', '452', '24', '795', '487', '751', '757', '567', '596', '157', '354']
['715', '542', '648', '63', '557', '133', '783', '746', '698', '143', '585', '495', '182', '649', '736', '124', '224', '364', '639', '541', '688', '614', '78', '700', '265', '444', '560', '72', '550', '627', '784', '108']
['592', '594', '397', '722', '172', '304', '299', '628', '443', '307', '371', '566', '57', '562', '188', '404', '420', '296', '756', '291', '166', '360', '511', '419', '769', '759', '139', '159', '770', '315', '31', '222']
['659', '556', '435', '22', '543', '276', '574', '474', '321', '764', '527', '344', '0', '12', '243', '83', '436', '21', '336', '147', '745', '738', '18', '71', '273', '278', '553', '290', '5', '89', '288', '763']
['170', '713', '493', '266', '294', '571', '135', '207', '94', '61', '260', '472', '528', '578', '626', '565', '691', '650', '323', '771', '272', '701', '685', '240', '73', '13', '742', '716', '391', '95', '119', '679']
['168', '204', '768', '67', '570', '586', '425', '531', '662', '785', '735', '50', '287', '214', '477', '303', '641', '4', '719', '597', '534', '392', '48', '35', '545', '760', '280', '127', '320', '669', '500', '707']
['678', '363', '112', '739', '496', '479', '515', '213', '667', '623', '718', '726', '787', '202', '544', '358', '152', '365', '788', '132', '54', '86', '301', '128', '663', '454', '270', '275', '554', '140', '267', '731']
['682', '712', '782', '797', '676', '645', '583', '79', '60', '244', '154', '8', '729', '252', '508', '517', '183', '414', '620', '232', '656', '88', '526', '351', '302', '130', '631', '368', '384', '14', '23', '257']
['684', '615', '548', '126', '633', '251', '401', '310', '412', '478', '40', '125', '433', '318', '249', '247', '405', '582', '256', '236', '779', '388', '253', '740', '796', '327', '261', '216', '632', '51', '689', '163']
['660', '177', '184', '421', '293', '208', '16', '658', '339', '246', '559', '446', '263', '335', '32', '470', '313', '482', '675', '264', '81', '616', '535', '59', '428', '748', '173', '76', '488', '219', '636', '697']
['513', '490', '672', '519', '445', '68', '131', '331', '196', '348', '773', '612', '790', '617', '710', '727', '791', '640', '340', '55', '398', '514', '109', '136', '46', '369', '271', '762', '156', '580', '297', '367']
['674', '333', '324', '406', '489', '595', '346', '723', '155', '581', '99', '394', '686', '657', '387', '174', '330', '786', '92', '601', '695', '590', '1', '564', '538', '332', '699', '449', '673', '734', '116', '300']
['417', '509', '373', '681', '47', '380', '359', '28', '27', '378', '355', '680', '137', '510', '102', '644', '221', '661', '171', '465', '62', '42', '366', '148', '181', '705', '671', '115', '6', '341', '382', '306']
['619', '289', '49', '228', '106', '122', '430', '593', '466', '268', '352', '393', '245', '385', '637', '69', '752', '284', '749', '169', '501', '450', '516', '258', '408', '286', '334', '448', '624', '194', '643', '381']
['429', '717', '317', '45', '34', '158', '164', '229', '728', '789', '464', '15', '98', '160', '66', '413', '234', '3', '506', '666', '295', '191', '777', '602', '552', '451', '93', '724', '20', '714', '720', '100']
['308', '702', '36', '703', '652', '687', '603', '625', '56', '162', '708', '390', '337', '338', '471', '218', '316', '87', '536', '651', '532', '2', '282', '238', '525', '665', '242', '610', '165', '10', '468', '437']
['494', '638', '235', '438', '431', '193', '521', '577', '17', '314', '254', '461', '118', '343', '52', '185', '197', '426', '475', '142', '269', '654', '668', '96', '231', '447', '134', '460', '199', '485', '459', '588']
['104', '747', '484', '522', '70', '774', '758', '43', '576', '153', '29', '105', '319', '110', '549', '775', '579', '416', '754', '277', '281', '491', '422', '30', '442', '97', '377', '103', '518', '692', '141', '347']
