['373', '587', '133', '610', '177', '463', '505', '260', '235', '408', '125', '173', '413', '689', '151', '674', '454', '299', '137', '89', '419', '655', '461', '282', '56', '427', '222', '148', '115', '164', '681', '10', '402', '188', '329', '126', '526', '26', '441', '592', '119', '400', '106', '100', '466', '2', '176', '391', '536', '52']
['448', '643', '738', '195', '67', '97', '471', '576', '163', '488', '127', '85', '330', '500', '512', '662', '637', '174', '404', '57', '88', '208', '205', '212', '467', '705', '397', '83', '304', '407', '199', '644', '324', '485', '294', '35', '698', '554', '182', '520', '741', '626', '659', '746', '149', '28', '129', '216', '6', '154']
['473', '504', '747', '609', '288', '491', '1', '414', '337', '692', '456', '355', '5', '517', '608', '193', '165', '538', '207', '464', '542', '225', '351', '73', '265', '708', '194', '595', '468', '545', '596', '40', '197', '430', '388', '267', '271', '420', '274', '241', '231', '748', '74', '370', '745', '378', '458', '599', '278', '374']
['246', '269', '571', '443', '53', '167', '184', '744', '506', '293', '98', '144', '298', '311', '342', '236', '508', '348', '558', '287', '331', '717', '529', '487', '153', '247', '258', '345', '277', '409', '78', '451', '359', '81', '55', '719', '499', '476', '718', '252', '8', '109', '583', '477', '431', '460', '437', '548', '321', '248']
['732', '156', '108', '742', '627', '308', '71', '598', '189', '175', '335', '135', '482', '494', '623', '292', '428', '438', '603', '640', '318', '679', '192', '677', '256', '387', '502', '418', '372', '312', '472', '527', '401', '14', '124', '224', '363', '202', '251', '112', '656', '507', '694', '272', '653', '219', '457', '186', '680', '117']
['69', '147', '552', '551', '533', '376', '62', '483', '113', '315', '44', '687', '584', '749', '161', '442', '110', '532', '346', '131', '160', '696', '122', '390', '642', '118', '704', '579', '179', '354', '29', '453', '651', '721', '279', '625', '104', '13', '567', '544', '405', '338', '30', '18', '479', '685', '727', '459', '588', '560']
['218', '578', '480', '540', '432', '142', '323', '469', '645', '255', '573', '657', '574', '707', '706', '295', '729', '367', '82', '166', '286', '270', '565', '716', '490', '688', '103', '36', '263', '361', '32', '356', '654', '217', '650', '715', '531', '261', '20', '301', '537', '709', '690', '604', '360', '319', '107', '333', '740', '743']
['723', '699', '410', '728', '606', '162', '439', '605', '671', '41', '215', '289', '691', '735', '519', '141', '411', '398', '580', '559', '701', '581', '703', '736', '713', '90', '325', '21', '602', '4', '589', '440', '306', '371', '493', '648', '470', '612', '450', '201', '316', '720', '96', '358', '631', '426', '91', '111', '273', '661']
['597', '462', '262', '34', '47', '389', '624', '37', '285', '16', '187', '684', '138', '297', '632', '672', '190', '94', '541', '332', '58', '678', '465', '422', '15', '27', '130', '445', '244', '303', '658', '649', '61', '635', '514', '664', '228', '357', '669', '227', '555', '276', '365', '379', '213', '307', '486', '31', '522', '647']
['566', '381', '725', '670', '101', '568', '169', '259', '673', '25', '693', '128', '339', '84', '622', '181', '364', '12', '309', '421', '317', '239', '152', '436', '382', '284', '652', '145', '452', '196', '114', '300', '562', '42', '206', '242', '24', '620', '171', '116', '326', '415', '424', '546', '641', '79', '497', '433', '478', '523']
['563', '257', '668', '710', '614', '518', '68', '50', '314', '489', '344', '384', '417', '368', '435', '291', '663', '157', '577', '214', '617', '665', '731', '396', '501', '572', '615', '139', '43', '336', '77', '636', '416', '525', '105', '380', '711', '204', '243', '730', '524', '132', '616', '65', '375', '621', '102', '146', '591', '320']
['585', '702', '455', '383', '569', '290', '121', '302', '51', '385', '120', '528', '366', '180', '123', '92', '313', '543', '399', '712', '724', '7', '503', '564', '134', '211', '425', '168', '39', '150', '220', '726', '539', '369', '660', '516', '340', '534', '547', '515', '550', '530', '582', '341', '60', '734', '619', '99', '238', '511']
['249', '183', '245', '223', '264', '393', '697', '46', '675', '143', '509', '394', '0', '253', '158', '475', '444', '75', '172', '350', '695', '305', '733', '594', '429', '362', '666', '280', '633', '498', '221', '155', '510', '667', '535', '203', '170', '254', '446', '557', '628', '683', '209', '140', '80', '521', '630', '191', '250', '3']
['513', '237', '11', '17', '45', '234', '66', '9', '185', '646', '33', '403', '72', '159', '570', '48', '714', '226', '686', '496', '64', '296', '423', '575', '76', '739', '682', '198', '722', '392', '613', '553', '590', '600', '629', '639', '334', '49', '240', '349', '229', '561', '343', '638', '618', '377', '449', '266', '95', '281']
['23', '70', '352', '136', '327', '233', '484', '200', '283', '232', '634', '395', '556', '268', '353', '474', '481', '607', '593', '38', '59', '406', '347', '412', '63', '230', '447', '210', '178', '492', '737', '386', '434', '86', '328', '700', '549', '19', '54', '93', '676', '87', '611', '22', '601', '495', '275', '586', '322', '310']
