['1', '94', '296', '298']
['46', '188', '190', '264']
['72', '91', '250', '295']
['100', '134', '203', '299']
['136', '139', '156', '233']
['22', '39', '253', '382']
['30', '64', '65', '67']
['112', '113', '131', '334']
['48', '58', '79', '223']
['147', '231', '287', '337']
['68', '69', '70', '221']
['61', '62', '63', '97']
['92', '93', '95', '387']
['73', '193', '194', '310']
['356', '357', '358', '359']
['283', '370', '371', '393']
['74', '75', '255', '279']
['280', '282', '345', '396']
['213', '224', '336', '339']
['6', '26', '27', '130']
['71', '98', '246', '247']
['167', '172', '251', '333']
['115', '144', '165', '166']
['4', '145', '364', '365']
['41', '43', '45', '47']
['29', '99', '326', '376']
['294', '352', '353', '355']
['133', '135', '340', '343']
['137', '248', '249', '344']
['101', '103', '114', '368']
['24', '25', '195', '220']
['257', '258', '259', '292']
['77', '216', '217', '218']
['80', '81', '260', '263']
['265', '267', '372', '373']
['149', '150', '151', '159']
['44', '96', '360', '362']
['14', '141', '148', '318']
['56', '119', '241', '242']
['154', '180', '181', '183']
['205', '206', '207', '227']
['10', '11', '84', '338']
['49', '50', '285', '361']
['12', '13', '305', '346']
['120', '140', '311', '388']
['51', '76', '78', '219']
['177', '178', '179', '313']
['116', '277', '278', '379']
['155', '228', '229', '230']
['252', '254', '316', '317']
['212', '214', '215', '245']
['28', '32', '35', '170']
['261', '329', '341', '342']
['161', '162', '302', '303']
['21', '23', '36', '244']
['102', '124', '125', '126']
['363', '389', '390', '391']
['184', '185', '186', '187']
['66', '281', '330', '331']
['31', '40', '42', '262']
['196', '197', '198', '199']
['83', '160', '271', '354']
['60', '348', '350', '351']
['164', '200', '201', '238']
['17', '18', '19', '378']
['142', '143', '174', '300']
['8', '192', '307', '386']
['55', '146', '324', '327']
['15', '85', '86', '87']
['163', '374', '384', '385']
['168', '169', '171', '328']
['121', '122', '123', '204']
['202', '208', '209', '211']
['33', '106', '128', '129']
['243', '268', '269', '270']
['117', '118', '293', '309']
['104', '320', '321', '323']
['57', '59', '132', '276']
['105', '107', '108', '392']
['82', '109', '110', '111']
['189', '191', '288', '347']
['20', '266', '291', '315']
['34', '127', '289', '377']
['232', '234', '235', '312']
['240', '290', '314', '399']
['222', '236', '237', '239']
['52', '53', '54', '319']
['0', '2', '3', '395']
['37', '38', '225', '226']
['322', '380', '381', '383']
['173', '175', '366', '367']
['176', '210', '284', '286']
['301', '332', '335', '394']
['5', '7', '9', '375']
['158', '297', '397', '398']
['272', '273', '275', '349']
['157', '256', '304', '306']
['16', '88', '89', '90']
['152', '153', '308', '325']
['138', '182', '274', '369']
