['344', '299', '293', '199', '109', '35', '24', '392', '399', '242', '176', '363', '360', '385', '213', '267']
['196', '33', '141', '378', '373', '181', '203', '316', '3', '264', '63', '117', '116', '306', '153', '46']
['345', '274', '238', '231', '130', '372', '87', '16', '323', '315', '60', '250', '357', '217', '229', '223']
['298', '28', '390', '394', '247', '180', '19', '128', '255', '166', '352', '218', '300', '150', '49', '41']
['333', '133', '22', '375', '174', '208', '71', '127', '313', '310', '382', '383', '65', '163', '262', '261']
['341', '230', '26', '249', '77', '79', '8', '364', '64', '256', '260', '110', '113', '302', '222', '152']
['342', '337', '91', '138', '393', '85', '245', '329', '74', '362', '69', '9', '353', '214', '58', '5']
['297', '272', '330', '98', '395', '322', '76', '366', '162', '215', '285', '266', '57', '51', '221', '156']
['192', '38', '239', '23', '88', '84', '240', '243', '321', '200', '202', '367', '67', '211', '286', '263']
['348', '129', '193', '106', '32', '36', '235', '25', '186', '324', '125', '381', '389', '165', '307', '81']
['279', '102', '332', '171', '17', '314', '254', '359', '219', '54', '50', '115', '253', '227', '159', '47']
['292', '335', '140', '379', '83', '185', '189', '320', '78', '161', '282', '268', '155', '157', '158', '40']
['346', '270', '21', '400', '86', '15', '14', '327', '2', '312', '365', '380', '257', '281', '111', '89']
['296', '39', '99', '93', '95', '236', '148', '29', '397', '178', '70', '124', '164', '350', '119', '48']
['295', '273', '278', '37', '143', '132', '377', '175', '187', '386', '252', '160', '114', '118', '303', '154']
['340', '271', '237', '142', '376', '244', '246', '177', '319', '384', '66', '167', '354', '4', '308', '112']
['291', '195', '190', '147', '248', '62', '325', '205', '72', '123', '317', '210', '53', '52', '301', '42']
['347', '34', '233', '137', '135', '134', '27', '241', '184', '12', '18', '207', '120', '251', '59', '304']
['290', '275', '108', '146', '374', '172', '326', '122', '216', '284', '55', '305', '228', '391', '45', '43']
['191', '277', '100', '336', '331', '94', '1', '149', '182', '68', '368', '358', '212', '289', '283', '226']
['194', '103', '107', '339', '131', '370', '7', '206', '73', '369', '259', '169', '287', '56', '151', '44']
['349', '338', '334', '234', '139', '371', '82', '398', '179', '173', '188', '10', '209', '168', '355', '224']
['343', '198', '276', '104', '31', '30', '232', '145', '20', '201', '75', '361', '388', '258', '351', '280']
['197', '90', '96', '144', '136', '11', '13', '204', '126', '387', '61', '288', '265', '309', '225', '80']
['294', '101', '105', '6', '92', '97', '396', '170', '183', '328', '121', '318', '311', '356', '269', '220']
