['9', '64', '72', '73', '96', '121', '173', '247', '276', '286']
['33', '41', '63', '69', '99', '105', '145', '155', '243', '260']
['28', '74', '112', '197', '200', '217', '249', '253', '265', '267']
['68', '80', '160', '185', '206', '207', '210', '266', '279', '292']
['42', '54', '122', '136', '152', '153', '157', '167', '215', '254']
['1', '48', '60', '77', '143', '166', '216', '233', '263', '289']
['12', '15', '91', '108', '162', '178', '182', '190', '198', '288']
['44', '58', '88', '109', '117', '124', '126', '163', '214', '298']
['25', '45', '62', '87', '111', '113', '127', '150', '172', '224']
['34', '56', '107', '220', '222', '255', '256', '273', '296', '297']
['5', '7', '24', '26', '115', '148', '221', '251', '261', '277']
['4', '6', '11', '13', '17', '83', '95', '104', '119', '234']
['19', '46', '66', '75', '89', '92', '106', '204', '257', '258']
['100', '102', '110', '125', '179', '203', '238', '248', '270', '295']
['38', '50', '70', '81', '82', '130', '131', '132', '230', '284']
['55', '93', '144', '147', '229', '240', '280', '285', '294', '300']
['23', '29', '78', '123', '133', '195', '209', '235', '242', '262']
['20', '101', '146', '154', '176', '180', '202', '239', '245', '252']
['22', '32', '39', '40', '76', '128', '149', '171', '181', '237']
['35', '49', '51', '61', '65', '116', '141', '169', '250', '282']
['2', '71', '103', '142', '191', '219', '227', '228', '232', '299']
['10', '52', '85', '165', '196', '205', '218', '226', '271', '291']
['21', '30', '37', '84', '188', '199', '264', '275', '278', '293']
['27', '53', '94', '139', '151', '183', '186', '231', '246', '290']
['31', '98', '114', '129', '158', '189', '201', '274', '281', '287']
['16', '59', '67', '86', '137', '164', '170', '174', '213', '268']
['18', '47', '135', '156', '159', '184', '208', '212', '223', '283']
['3', '8', '36', '90', '120', '168', '187', '225', '241', '269']
['14', '97', '118', '161', '177', '192', '194', '211', '259', '272']
['43', '57', '79', '134', '138', '140', '175', '193', '236', '244']
