['663', '204', '311', '879', '627', '255', '623', '318', '134', '520', '813', '431', '969', '988', '456', '851', '527', '568', '624', '423']
['301', '607', '446', '509', '227', '787', '743', '955', '200', '158', '230', '449', '291', '275', '926', '274', '990', '20', '393', '23']
['231', '694', '38', '575', '582', '807', '701', '316', '936', '343', '944', '720', '147', '452', '421', '847', '411', '145', '818', '191']
['176', '746', '414', '170', '671', '486', '125', '916', '880', '989', '471', '676', '330', '27', '63', '305', '282', '521', '540', '798']
['523', '464', '661', '99', '728', '999', '88', '635', '31', '863', '722', '927', '629', '555', '201', '336', '254', '964', '560', '697']
['189', '248', '951', '109', '252', '149', '846', '700', '342', '713', '58', '783', '415', '210', '573', '680', '967', '491', '822', '493']
['949', '395', '655', '877', '192', '430', '68', '317', '786', '737', '270', '887', '208', '26', '763', '539', '832', '586', '692', '28']
['909', '278', '739', '457', '830', '698', '519', '196', '221', '823', '828', '303', '897', '924', '686', '549', '361', '49', '845', '811']
['351', '466', '611', '172', '858', '755', '563', '234', '469', '842', '71', '690', '107', '300', '438', '169', '589', '950', '157', '908']
['576', '391', '410', '972', '874', '159', '665', '253', '691', '817', '206', '139', '250', '56', '321', '706', '325', '729', '353', '5']
['76', '346', '284', '992', '638', '412', '872', '435', '541', '776', '693', '314', '48', '386', '286', '441', '80', '538', '344', '646']
['526', '719', '207', '544', '696', '814', '324', '904', '223', '995', '385', '142', '481', '764', '542', '862', '264', '375', '267', '921']
['530', '901', '723', '922', '242', '439', '767', '370', '271', '219', '245', '985', '561', '760', '570', '152', '290', '474', '490', '923']
['702', '70', '378', '981', '472', '957', '293', '463', '558', '397', '477', '800', '123', '307', '889', '935', '65', '232', '622', '190']
['350', '313', '183', '514', '869', '597', '991', '812', '335', '14', '2', '939', '360', '978', '613', '269', '848', '644', '857', '237']
['127', '121', '402', '785', '40', '9', '632', '742', '642', '758', '861', '326', '60', '896', '141', '907', '821', '193', '406', '44']
['837', '478', '442', '87', '799', '69', '337', '803', '662', '797', '104', '21', '762', '320', '182', '113', '90', '946', '93', '319']
['792', '551', '712', '695', '494', '347', '226', '302', '900', '849', '873', '194', '717', '591', '704', '779', '473', '617', '498', '357']
['229', '590', '564', '533', '506', '594', '878', '243', '383', '668', '917', '871', '724', '178', '605', '85', '893', '925', '409', '404']
['43', '114', '444', '281', '606', '238', '258', '618', '7', '215', '881', '721', '180', '455', '835', '129', '22', '833', '759', '658']
['403', '355', '285', '757', '273', '749', '211', '78', '309', '84', '826', '504', '251', '584', '447', '552', '528', '33', '81', '505']
['715', '791', '750', '808', '462', '643', '380', '738', '727', '64', '160', '734', '683', '517', '348', '261', '651', '918', '247', '488']
['529', '416', '277', '581', '940', '765', '0', '341', '815', '365', '899', '804', '943', '131', '130', '500', '19', '249', '332', '124']
['912', '103', '310', '66', '587', '485', '239', '631', '956', '974', '12', '789', '748', '565', '645', '454', '289', '367', '235', '502']
['973', '422', '515', '156', '358', '371', '894', '331', '92', '574', '168', '16', '652', '480', '451', '110', '553', '445', '648', '566']
['181', '356', '976', '937', '659', '840', '323', '122', '754', '111', '212', '512', '224', '816', '475', '205', '287', '954', '911', '636']
['312', '910', '545', '487', '408', '148', '608', '322', '599', '470', '392', '572', '895', '54', '685', '819', '443', '625', '531', '640']
['732', '46', '29', '495', '711', '684', '101', '968', '214', '436', '736', '639', '931', '377', '304', '174', '222', '930', '688', '577']
['747', '825', '45', '483', '173', '699', '433', '993', '467', '329', '703', '744', '137', '919', '827', '806', '963', '140', '778', '883']
['537', '501', '666', '669', '413', '709', '932', '678', '203', '769', '834', '297', '459', '771', '707', '831', '146', '770', '95', '958']
['628', '891', '489', '17', '460', '554', '793', '556', '220', '796', '867', '583', '616', '381', '164', '359', '960', '996', '788', '913']
['368', '780', '363', '105', '1', '165', '419', '805', '546', '52', '971', '259', '75', '855', '984', '25', '569', '279', '186', '94']
['875', '352', '980', '115', '143', '998', '507', '62', '425', '32', '619', '761', '677', '598', '844', '673', '941', '384', '649', '578']
['961', '768', '256', '217', '882', '705', '620', '839', '593', '682', '781', '983', '468', '820', '853', '333', '354', '396', '601', '37']
['428', '497', '61', '233', '294', '890', '653', '458', '283', '450', '260', '876', '50', '479', '41', '756', '184', '263', '373', '199']
['898', '741', '349', '299', '120', '513', '681', '886', '187', '854', '654', '794', '630', '810', '966', '595', '716', '244', '197', '859']
['836', '634', '36', '650', '920', '276', '868', '772', '35', '154', '424', '510', '163', '34', '947', '888', '503', '856', '674', '4']
['550', '482', '970', '660', '484', '731', '6', '773', '802', '133', '218', '609', '116', '959', '884', '945', '162', '388', '905', '328']
['108', '74', '852', '733', '151', '102', '202', '543', '59', '339', '118', '150', '179', '15', '962', '948', '829', '675', '55', '782']
['571', '79', '801', '112', '496', '860', '657', '870', '637', '288', '10', '119', '382', '977', '621', '417', '740', '753', '437', '843']
['228', '934', '516', '714', '387', '986', '132', '547', '166', '171', '892', '975', '57', '915', '933', '838', '257', '334', '53', '534']
['401', '952', '30', '126', '67', '841', '982', '91', '195', '994', '735', '175', '272', '522', '432', '418', '153', '427', '850', '225']
['725', '8', '400', '726', '672', '579', '987', '185', '188', '306', '98', '476', '407', '585', '448', '730', '604', '864', '144', '138']
['42', '161', '106', '790', '795', '345', '679', '364', '965', '308', '265', '600', '198', '426', '379', '752', '434', '603', '508', '710']
['656', '268', '903', '647', '167', '745', '155', '979', '372', '511', '72', '592', '997', '689', '453', '615', '809', '440', '588', '390']
['280', '667', '135', '3', '262', '535', '938', '612', '296', '73', '567', '246', '24', '96', '641', '13', '777', '209', '784', '399']
['266', '775', '559', '687', '610', '389', '928', '177', '524', '86', '866', '614', '865', '942', '902', '51', '298', '362', '11', '664']
['633', '461', '766', '580', '18', '295', '213', '548', '292', '327', '562', '117', '136', '429', '47', '824', '376', '338', '315', '374']
['929', '525', '405', '626', '39', '82', '241', '465', '369', '398', '420', '718', '216', '77', '394', '906', '240', '100', '236', '340']
['536', '596', '492', '602', '499', '97', '83', '557', '518', '89', '532', '914', '953', '366', '708', '774', '670', '128', '885', '751']
