['468', '291', '27', '544', '149']
['671', '340', '761', '334', '923']
['199', '486', '33', '108', '174']
['800', '736', '60', '278', '13']
['280', '54', '22', '290', '725']
['79', '225', '488', '816', '452']
['531', '151', '868', '317', '941']
['196', '390', '369', '513', '568']
['565', '302', '548', '62', '574']
['508', '813', '325', '95', '766']
['534', '561', '477', '884', '582']
['720', '569', '6', '758', '822']
['537', '348', '932', '42', '821']
['4', '759', '464', '28', '411']
['432', '413', '224', '655', '958']
['37', '450', '262', '300', '525']
['496', '410', '88', '230', '998']
['141', '826', '587', '500', '286']
['847', '490', '307', '893', '509']
['659', '991', '129', '437', '737']
['633', '789', '117', '270', '791']
['379', '25', '647', '681', '980']
['137', '19', '493', '764', '575']
['894', '596', '676', '968', '206']
['711', '841', '241', '268', '160']
['138', '599', '353', '127', '478']
['907', '335', '588', '535', '590']
['555', '629', '608', '888', '299']
['981', '238', '143', '448', '607']
['678', '846', '875', '580', '818']
['865', '858', '364', '209', '305']
['682', '833', '943', '163', '201']
['398', '931', '675', '832', '237']
['114', '859', '744', '31', '77']
['986', '613', '467', '624', '825']
['911', '120', '997', '885', '279']
['995', '618', '352', '125', '130']
['732', '338', '782', '746', '401']
['365', '212', '917', '837', '451']
['593', '78', '422', '318', '520']
['614', '337', '831', '895', '750']
['363', '470', '315', '783', '304']
['375', '584', '604', '428', '566']
['703', '908', '158', '972', '529']
['844', '772', '469', '743', '247']
['100', '41', '481', '170', '842']
['728', '409', '443', '200', '429']
['763', '510', '664', '526', '685']
['227', '91', '157', '802', '205']
['978', '606', '423', '412', '922']
['597', '815', '172', '817', '594']
['480', '289', '519', '460', '197']
['636', '256', '1', '80', '807']
['883', '292', '668', '251', '945']
['255', '271', '311', '559', '433']
['974', '208', '195', '501', '806']
['441', '267', '598', '709', '68']
['349', '310', '632', '495', '380']
['942', '479', '232', '602', '940']
['937', '281', '516', '707', '372']
['187', '220', '462', '952', '419']
['297', '670', '797', '649', '58']
['879', '546', '699', '234', '663']
['473', '111', '192', '869', '557']
['438', '453', '57', '134', '239']
['912', '880', '183', '507', '312']
['45', '194', '701', '769', '320']
['779', '204', '94', '823', '393']
['288', '366', '374', '202', '436']
['956', '752', '913', '667', '918']
['223', '381', '899', '240', '131']
['474', '333', '110', '182', '282']
['992', '295', '595', '386', '695']
['756', '554', '265', '605', '731']
['934', '329', '148', '882', '152']
['370', '341', '646', '558', '570']
['751', '216', '890', '799', '90']
['735', '616', '324', '920', '385']
['521', '628', '803', '712', '339']
['987', '15', '704', '662', '938']
['326', '84', '583', '874', '999']
['638', '357', '539', '313', '153']
['947', '765', '442', '399', '301']
['692', '961', '635', '625', '38']
['953', '505', '285', '272', '485']
['623', '964', '106', '742', '714']
['697', '870', '5', '838', '820']
['642', '533', '221', '622', '400']
['343', '344', '835', '254', '184']
['407', '359', '387', '119', '336']
['634', '977', '264', '144', '394']
['179', '408', '355', '512', '543']
['757', '776', '660', '124', '650']
['948', '909', '896', '258', '553']
['902', '793', '745', '560', '863']
['824', '836', '115', '284', '215']
['796', '406', '781', '506', '864']
['210', '690', '871', '21', '132']
['193', '862', '630', '273', '322']
['439', '235', '444', '716', '417']
['910', '250', '786', '154', '523']
['373', '424', '207', '706', '804']
['142', '589', '705', '128', '455']
['528', '75', '988', '979', '30']
['214', '421', '715', '564', '886']
['878', '287', '536', '967', '72']
['8', '935', '435', '738', '362']
['854', '10', '627', '166', '990']
['573', '167', '615', '687', '40']
['792', '657', '787', '518', '56']
['809', '356', '283', '96', '669']
['530', '3', '814', '18', '498']
['551', '391', '36', '459', '872']
['233', '845', '708', '248', '643']
['20', '905', '873', '382', '107']
['175', '586', '228', '644', '308']
['983', '963', '135', '975', '331']
['892', '101', '243', '547', '610']
['396', '249', '718', '550', '724']
['754', '959', '2', '679', '53']
['147', '726', '446', '585', '316']
['944', '86', '345', '190', '492']
['155', '538', '332', '855', '87']
['661', '69', '960', '415', '389']
['641', '556', '434', '73', '440']
['274', '640', '484', '637', '603']
['156', '658', '775', '612', '461']
['881', '330', '970', '957', '829']
['226', '116', '572', '405', '727']
['306', '617', '631', '768', '828']
['11', '454', '32', '619', '620']
['904', '231', '696', '951', '71']
['785', '431', '897', '43', '177']
['853', '517', '245', '867', '146']
['502', '755', '189', '717', '126']
['244', '378', '522', '34', '150']
['503', '722', '430', '730', '563']
['966', '666', '266', '621', '63']
['314', '360', '576', '70', '173']
['102', '487', '903', '416', '889']
['83', '328', '748', '93', '665']
['447', '540', '39', '969', '471']
['954', '790', '92', '552', '674']
['794', '368', '984', '367', '919']
['112', '840', '798', '532', '567']
['819', '694', '777', '252', '700']
['219', '66', '996', '67', '645']
['611', '55', '771', '710', '476']
['246', '578', '402', '218', '298']
['350', '82', '698', '425', '466']
['849', '651', '810', '801', '327']
['857', '136', '418', '168', '198']
['118', '293', '747', '652', '388']
['475', '64', '74', '499', '122']
['211', '113', '545', '767', '504']
['16', '103', '639', '949', '511']
['702', '851', '515', '61', '472']
['403', '426', '900', '955', '89']
['186', '739', '51', '397', '683']
['176', '993', '686', '52', '303']
['939', '346', '29', '901', '962']
['673', '275', '680', '99', '17']
['601', '269', '562', '760', '965']
['140', '780', '7', '581', '133']
['319', '876', '361', '848', '497']
['50', '35', '541', '729', '774']
['139', '489', '795', '65', '592']
['217', '924', '458', '925', '936']
['354', '860', '927', '371', '383']
['376', '59', '982', '524', '259']
['654', '48', '81', '749', '213']
['866', '600', '26', '926', '626']
['914', '358', '741', '456', '483']
['482', '203', '445', '830', '0']
['723', '688', '805', '549', '263']
['514', '105', '46', '44', '753']
['928', '861', '933', '342', '915']
['145', '457', '843', '253', '839']
['463', '713', '222', '414', '950']
['171', '719', '778', '773', '449']
['808', '465', '494', '23', '834']
['384', '180', '165', '770', '591']
['721', '887', '404', '185', '104']
['677', '577', '159', '788', '294']
['178', '976', '609', '929', '733']
['242', '734', '427', '930', '323']
['693', '321', '12', '123', '811']
['971', '985', '973', '527', '827']
['784', '571', '672', '684', '236']
['296', '395', '164', '420', '229']
['377', '181', '989', '850', '76']
['898', '188', '542', '9', '257']
['161', '277', '994', '740', '24']
['653', '916', '392', '97', '351']
['906', '852', '689', '946', '109']
['47', '856', '309', '762', '491']
['98', '891', '169', '162', '347']
['85', '648', '579', '921', '276']
['812', '121', '191', '49', '691']
['14', '260', '656', '877', '261']
