['845', '555', '689', '443', '667', '319', '302', '285', '937', '799']
['166', '89', '457', '461', '64', '76', '71', '307', '576', '281']
['223', '26', '70', '449', '371', '532', '167', '545', '795', '961']
['446', '140', '271', '969', '824', '101', '479', '480', '438', '874']
['497', '933', '179', '195', '61', '434', '944', '713', '521', '367']
['268', '708', '946', '733', '402', '220', '546', '370', '750', '183']
['289', '305', '339', '84', '191', '537', '52', '586', '197', '60']
['672', '527', '525', '834', '891', '142', '942', '298', '918', '833']
['854', '423', '310', '164', '774', '320', '738', '578', '760', '69']
['598', '327', '656', '304', '98', '861', '88', '321', '193', '365']
['949', '683', '855', '267', '102', '885', '693', '613', '353', '929']
['762', '793', '535', '251', '308', '517', '396', '452', '165', '783']
['465', '363', '404', '611', '471', '968', '334', '652', '159', '850']
['397', '703', '935', '950', '276', '632', '520', '709', '342', '822']
['560', '136', '784', '474', '85', '553', '563', '755', '422', '934']
['644', '375', '410', '104', '236', '688', '651', '741', '247', '78']
['717', '269', '748', '153', '653', '46', '203', '63', '585', '782']
['129', '380', '608', '648', '803', '309', '492', '589', '864', '257']
['65', '900', '879', '675', '806', '851', '848', '682', '718', '877']
['797', '694', '681', '97', '1', '685', '666', '468', '541', '118']
['899', '638', '288', '596', '90', '12', '705', '544', '686', '636']
['226', '418', '287', '745', '451', '710', '439', '261', '145', '911']
['377', '427', '59', '347', '394', '211', '18', '170', '403', '416']
['38', '133', '572', '440', '908', '814', '144', '991', '556', '194']
['454', '924', '595', '765', '888', '770', '53', '516', '369', '317']
['646', '209', '974', '222', '626', '815', '591', '606', '984', '393']
['707', '225', '456', '566', '240', '116', '316', '660', '241', '86']
['865', '734', '291', '884', '620', '892', '744', '513', '174', '926']
['66', '998', '433', '789', '196', '605', '957', '818', '506', '547']
['243', '318', '960', '322', '311', '381', '354', '890', '798', '523']
['232', '488', '4', '831', '72', '426', '696', '539', '253', '96']
['701', '392', '590', '315', '156', '255', '258', '524', '623', '871']
['274', '134', '11', '487', '519', '24', '625', '444', '583', '504']
['467', '132', '810', '509', '990', '260', '175', '588', '973', '7']
['337', '967', '56', '314', '186', '510', '552', '962', '95', '436']
['228', '987', '898', '673', '736', '766', '244', '374', '932', '221']
['778', '743', '122', '912', '706', '604', '352', '678', '629', '599']
['641', '928', '47', '977', '265', '202', '700', '633', '218', '493']
['324', '376', '470', '177', '294', '975', '328', '464', '155', '409']
['615', '849', '139', '819', '919', '301', '385', '573', '722', '567']
['431', '280', '455', '106', '180', '386', '913', '508', '875', '463']
['930', '387', '715', '496', '594', '147', '67', '486', '388', '640']
['429', '571', '647', '459', '992', '986', '73', '597', '728', '447']
['811', '32', '575', '341', '627', '31', '859', '55', '29', '829']
['366', '904', '839', '724', '30', '873', '235', '980', '773', '580']
['542', '430', '940', '719', '238', '775', '472', '312', '581', '917']
['411', '389', '458', '503', '559', '112', '830', '971', '813', '846']
['761', '577', '978', '825', '909', '714', '562', '361', '163', '51']
['976', '299', '970', '826', '936', '23', '739', '135', '837', '286']
['178', '210', '772', '758', '536', '208', '655', '54', '41', '522']
['229', '345', '729', '249', '28', '126', '146', '979', '779', '876']
['769', '171', '189', '412', '143', '981', '832', '408', '511', '894']
['323', '246', '277', '92', '120', '168', '564', '643', '245', '602']
['476', '800', '887', '93', '650', '720', '424', '902', '994', '999']
['485', '821', '343', '956', '357', '630', '282', '198', '275', '80']
['809', '964', '836', '634', '48', '863', '786', '206', '501', '726']
['730', '757', '231', '867', '185', '561', '256', '224', '373', '113']
['852', '985', '252', '68', '609', '777', '781', '114', '823', '896']
['190', '207', '239', '77', '847', '383', '428', '15', '827', '767']
['273', '233', '731', '199', '413', '654', '593', '6', '916', '477']
['500', '759', '684', '349', '149', '938', '954', '384', '0', '751']
['953', '141', '382', '903', '217', '169', '295', '34', '943', '99']
['213', '857', '212', '712', '401', '554', '866', '419', '348', '499']
['801', '182', '379', '346', '941', '658', '528', '742', '351', '481']
['882', '398', '787', '927', '600', '870', '807', '621', '484', '780']
['989', '505', '543', '362', '665', '540', '415', '889', '988', '687']
['214', '283', '215', '110', '475', '677', '512', '897', '35', '869']
['338', '406', '947', '491', '483', '698', '645', '43', '420', '270']
['997', '557', '951', '105', '624', '518', '507', '776', '959', '579']
['906', '791', '691', '115', '340', '533', '805', '768', '437', '2']
['462', '838', '356', '39', '790', '124', '886', '616', '587', '732']
['872', '716', '9', '81', '966', '747', '764', '972', '945', '558']
['721', '817', '13', '37', '290', '172', '792', '400', '868', '130']
['121', '137', '862', '75', '332', '391', '668', '234', '490', '489']
['303', '514', '395', '117', '662', '108', '336', '955', '91', '469']
['344', '551', '264', '313', '293', '432', '697', '20', '635', '358']
['569', '125', '466', '735', '925', '219', '657', '584', '550', '445']
['952', '248', '266', '331', '100', '181', '534', '441', '948', '740']
['123', '325', '350', '292', '842', '237', '582', '538', '296', '216']
['460', '242', '154', '176', '820', '531', '10', '661', '49', '637']
['502', '36', '804', '40', '162', '995', '188', '262', '816', '631']
['601', '94', '574', '753', '355', '157', '333', '965', '109', '138']
['45', '205', '79', '473', '883', '548', '22', '435', '111', '360']
['450', '107', '103', '756', '495', '549', '227', '151', '880', '21']
['3', '840', '699', '659', '421', '763', '330', '173', '254', '843']
['746', '702', '498', '858', '306', '329', '300', '671', '618', '150']
['187', '405', '642', '610', '664', '184', '771', '364', '372', '42']
['131', '931', '152', '158', '335', '603', '272', '910', '390', '279']
['921', '617', '663', '754', '963', '16', '907', '983', '128', '828']
['920', '83', '50', '670', '628', '378', '478', '33', '482', '915']
['679', '44', '570', '592', '414', '442', '57', '622', '619', '278']
['727', '417', '737', '676', '893', '704', '259', '853', '204', '856']
['14', '841', '27', '881', '802', '529', '680', '25', '526', '690']
['749', '399', '515', '692', '939', '8', '982', '530', '725', '649']
['796', '785', '711', '612', '914', '19', '723', '905', '87', '639']
['425', '844', '808', '192', '669', '161', '160', '860', '62', '284']
['201', '58', '958', '674', '17', '230', '263', '368', '788', '82']
['148', '895', '614', '326', '250', '74', '922', '200', '993', '565']
['996', '607', '695', '127', '835', '453', '448', '407', '923', '901']
['297', '794', '812', '752', '5', '119', '359', '878', '494', '568']
