['492', '16', '106', '74', '178', '122', '119', '55', '31', '277', '316', '150', '272', '204', '389', '168', '443', '454', '522', '351', '297', '324', '402']
['124', '18', '68', '30', '235', '236', '99', '137', '388', '185', '128', '385', '377', '399', '27', '439', '257', '161', '7', '155', '286', '329', '186']
['510', '275', '403', '248', '85', '381', '405', '228', '238', '302', '220', '136', '418', '410', '407', '58', '39', '118', '453', '222', '13', '8', '190']
['92', '52', '34', '342', '130', '205', '259', '502', '78', '426', '203', '26', '293', '336', '111', '146', '319', '246', '100', '428', '196', '247', '446']
['207', '392', '501', '250', '231', '82', '206', '437', '491', '217', '338', '383', '347', '162', '355', '5', '4', '11', '50', '61', '518', '462', '208']
['140', '23', '63', '214', '62', '191', '500', '288', '494', '332', '348', '193', '69', '414', '431', '432', '89', '417', '87', '91', '9', '496', '400']
['72', '423', '147', '283', '261', '406', '88', '29', '33', '276', '145', '240', '296', '482', '455', '12', '163', '306', '343', '334', '472', '46', '295']
['364', '490', '133', '215', '271', '375', '421', '201', '425', '76', '166', '245', '188', '98', '142', '32', '435', '218', '488', '442', '183', '37', '84']
['86', '320', '234', '376', '330', '268', '394', '42', '353', '356', '429', '314', '77', '369', '60', '372', '489', '519', '6', '379', '67', '90', '143']
['508', '198', '262', '281', '344', '242', '473', '514', '80', '451', '339', '97', '282', '17', '317', '515', '135', '132', '382', '476', '241', '456', '164']
['294', '287', '173', '380', '232', '484', '386', '160', '189', '521', '458', '94', '512', '224', '105', '280', '445', '237', '340', '416', '474', '327', '152']
['255', '397', '368', '434', '274', '165', '154', '233', '298', '461', '138', '433', '252', '398', '391', '361', '41', '436', '366', '126', '430', '0', '493']
['331', '396', '373', '395', '48', '345', '393', '299', '333', '81', '15', '47', '144', '43', '211', '349', '358', '117', '181', '401', '470', '438', '441']
['49', '28', '45', '103', '459', '413', '411', '279', '51', '303', '54', '134', '475', '313', '504', '520', '21', '172', '480', '176', '447', '59', '3']
['481', '323', '291', '239', '227', '309', '64', '312', '131', '195', '478', '506', '507', '269', '308', '304', '109', '95', '36', '404', '65', '157', '171']
['363', '523', '96', '56', '114', '270', '35', '121', '486', '328', '487', '167', '378', '390', '511', '149', '182', '127', '123', '325', '184', '357', '216']
['104', '337', '202', '70', '469', '108', '371', '387', '244', '112', '419', '230', '450', '102', '354', '352', '200', '273', '499', '301', '370', '254', '263']
['350', '229', '516', '374', '180', '10', '267', '210', '525', '151', '464', '249', '365', '258', '310', '420', '460', '25', '116', '265', '315', '158', '53']
['24', '141', '300', '485', '422', '251', '125', '498', '384', '284', '93', '465', '75', '292', '285', '449', '457', '212', '463', '174', '497', '524', '362']
['192', '66', '290', '341', '57', '318', '479', '467', '278', '213', '221', '38', '187', '477', '79', '513', '139', '83', '110', '1', '505', '129', '199']
['409', '197', '177', '175', '359', '107', '2', '266', '528', '360', '264', '427', '226', '44', '503', '311', '219', '509', '22', '243', '115', '20', '159']
['253', '495', '289', '326', '73', '322', '40', '194', '101', '14', '307', '209', '153', '415', '170', '321', '346', '444', '223', '335', '527', '408', '305']
['452', '468', '120', '225', '526', '466', '71', '113', '448', '424', '440', '367', '471', '148', '517', '483', '179', '169', '412', '19', '260', '256', '156']
