['513', '302', '305', '264', '244', '274', '99', '737', '198', '612', '446', '655', '550', '614', '660', '517', '430', '16', '418', '223', '296', '527', '745', '404', '146', '440', '161', '73', '515', '507']
['197', '333', '224', '142', '554', '295', '270', '129', '570', '598', '420', '414', '111', '492', '324', '639', '153', '22', '48', '267', '730', '271', '83', '357', '226', '724', '75', '694', '134', '569']
['578', '278', '325', '744', '123', '698', '180', '382', '565', '419', '391', '45', '41', '562', '126', '84', '552', '709', '164', '659', '678', '1', '21', '339', '703', '24', '691', '50', '330', '68']
['299', '235', '212', '176', '470', '276', '104', '649', '657', '689', '643', '344', '291', '609', '61', '585', '51', '108', '292', '35', '140', '603', '349', '231', '181', '379', '218', '625', '620', '445']
['66', '354', '665', '452', '611', '583', '428', '638', '747', '531', '572', '2', '713', '91', '121', '118', '718', '63', '571', '415', '165', '693', '449', '18', '706', '144', '549', '335', '384', '250']
['580', '321', '128', '52', '183', '4', '532', '663', '237', '90', '439', '476', '81', '700', '495', '26', '347', '400', '370', '559', '283', '326', '239', '263', '360', '207', '484', '510', '529', '579']
['67', '192', '116', '501', '451', '322', '5', '230', '143', '11', '699', '607', '544', '222', '323', '675', '631', '279', '536', '528', '219', '433', '652', '101', '467', '461', '189', '595', '70', '72']
['406', '489', '338', '399', '247', '416', '179', '503', '654', '390', '105', '483', '725', '213', '201', '738', '677', '317', '671', '8', '25', '626', '472', '425', '103', '502', '514', '469', '423', '310']
['591', '162', '743', '137', '444', '605', '621', '58', '669', '262', '511', '327', '582', '59', '553', '525', '145', '697', '286', '494', '411', '584', '265', '438', '378', '685', '6', '177', '136', '332']
['682', '633', '301', '726', '318', '727', '56', '592', '380', '386', '656', '690', '39', '717', '505', '316', '371', '313', '290', '732', '57', '736', '7', '311', '113', '702', '666', '89', '289', '119']
['44', '427', '714', '187', '184', '3', '486', '618', '107', '49', '542', '356', '410', '629', '47', '273', '96', '457', '541', '680', '42', '141', '487', '65', '593', '319', '405', '589', '673', '272']
['55', '708', '259', '715', '40', '662', '125', '329', '555', '437', '681', '441', '260', '60', '604', '711', '377', '186', '728', '634', '38', '600', '275', '43', '407', '722', '710', '471', '33', '613']
['560', '705', '31', '628', '303', '135', '701', '132', '133', '672', '548', '257', '424', '251', '82', '199', '403', '79', '190', '17', '100', '185', '359', '171', '522', '735', '27', '596', '32', '309']
['204', '13', '687', '561', '567', '156', '210', '608', '597', '748', '205', '456', '236', '252', '69', '695', '228', '297', '392', '221', '261', '586', '284', '460', '364', '352', '422', '575', '342', '519']
['464', '741', '623', '733', '216', '746', '191', '479', '373', '293', '394', '674', '477', '393', '29', '19', '436', '78', '530', '163', '155', '334', '558', '434', '499', '576', '245', '341', '350', '256']
['398', '731', '749', '281', '76', '480', '648', '30', '599', '498', '54', '93', '413', '298', '601', '493', '87', '127', '526', '442', '729', '277', '94', '168', '587', '166', '366', '466', '432', '465']
['28', '112', '114', '253', '740', '448', '149', '574', '343', '500', '120', '478', '130', '220', '337', '566', '12', '453', '723', '721', '524', '712', '636', '557', '421', '577', '455', '115', '233', '234']
['686', '637', '169', '328', '34', '508', '331', '62', '547', '537', '454', '348', '178', '229', '203', '110', '85', '518', '148', '512', '160', '491', '468', '704', '556', '206', '622', '653', '720', '358']
['590', '255', '131', '546', '594', '581', '282', '606', '209', '573', '383', '196', '175', '266', '172', '462', '543', '304', '23', '217', '387', '504', '520', '249', '564', '684', '450', '152', '658', '679']
['195', '375', '92', '401', '36', '320', '154', '351', '102', '122', '287', '540', '376', '676', '696', '232', '355', '306', '397', '640', '496', '482', '497', '353', '683', '211', '372', '95', '381', '388']
['200', '285', '240', '248', '346', '139', '402', '716', '632', '647', '458', '650', '345', '475', '336', '214', '14', '447', '588', '615', '509', '670', '10', '294', '443', '80', '77', '258', '98', '651']
['312', '742', '734', '396', '644', '109', '435', '365', '707', '395', '624', '242', '86', '167', '202', '389', '314', '641', '385', '194', '227', '668', '619', '340', '37', '506', '412', '473', '173', '474']
['174', '481', '545', '409', '117', '538', '408', '46', '362', '182', '431', '71', '151', '739', '429', '215', '417', '645', '158', '138', '241', '367', '521', '124', '238', '315', '20', '516', '53', '97']
['0', '533', '15', '268', '539', '363', '459', '280', '193', '368', '616', '463', '361', '688', '551', '106', '159', '188', '490', '374', '170', '74', '88', '610', '150', '630', '646', '602', '300', '288']
['568', '369', '64', '269', '147', '243', '225', '488', '627', '157', '642', '664', '426', '534', '719', '308', '485', '535', '563', '692', '523', '307', '667', '9', '661', '617', '635', '246', '208', '254']
