['41', '137', '150', '329', '394']
['167', '181', '189', '410', '477']
['116', '122', '194', '269', '348']
['14', '184', '205', '290', '460']
['17', '63', '86', '156', '158']
['170', '259', '277', '448', '488']
['146', '197', '301', '316', '487']
['177', '320', '330', '374', '483']
['40', '152', '383', '395', '426']
['132', '261', '324', '367', '446']
['3', '107', '141', '195', '305']
['11', '47', '94', '403', '474']
['66', '71', '172', '223', '361']
['70', '183', '190', '430', '499']
['57', '192', '400', '462', '476']
['19', '29', '304', '311', '405']
['33', '145', '340', '342', '447']
['8', '270', '445', '461', '484']
['96', '224', '273', '336', '493']
['118', '175', '244', '363', '391']
['87', '166', '349', '401', '450']
['111', '207', '236', '306', '413']
['0', '22', '143', '287', '435']
['23', '30', '126', '202', '214']
['7', '169', '279']
['39', '148', '263', '380', '486']
['24', '103', '120', '343', '382']
['27', '74', '321', '354', '436']
['204', '266', '278', '411', '478']
['121', '285', '286', '314', '424']
['16', '246', '344', '393', '433']
['61', '72', '97', '216', '416']
['35', '56', '136', '240', '295']
['69', '112', '289', '293', '457']
['79', '211', '254', '258', '268']
['123', '125', '318', '358', '365']
['36', '53', '262', '464', '497']
['218', '241', '247', '303', '420']
['43', '92', '481', '491']
['32', '239', '327', '341', '369']
['26', '149', '188', '288', '328']
['105', '185', '227', '284', '291']
['42', '77', '90', '135', '409']
['55', '230', '248', '387', '459']
['164', '198', '298', '375', '498']
['88', '154', '237', '333', '440']
['138', '229', '250', '307', '325']
['9', '28', '309', '334', '364']
['191', '234', '275', '299', '357']
['6', '128', '171', '339', '452']
['50', '113', '165', '179', '421']
['60', '82', '161', '200', '252']
['95', '157', '222', '479', '480']
['174', '215', '408', '453', '475']
['54', '127', '245', '317', '396']
['4', '38', '93', '193', '332']
['173', '226', '347', '406', '423']
['31', '46', '147', '313', '485']
['140', '203', '422', '439', '463']
['12', '265', '419', '456', '482']
['48', '117', '131', '160', '442']
['98', '130', '326', '427', '451']
['178', '256', '294', '346', '431']
['52', '84', '134', '219', '378']
['162', '196', '208', '310', '494']
['1', '62', '210', '280', '370']
['104', '163', '199', '418', '443']
['67', '76', '232', '264', '296']
['49', '351', '356', '362', '377']
['83', '220', '251', '253', '312']
['5', '25', '58', '337', '428']
['21', '81', '91', '142', '469']
['114', '155', '206', '221', '373']
['212', '242', '359', '372', '429']
['59', '139', '182', '389', '438']
['228', '271', '302', '417', '471']
['238', '366', '371', '415', '449']
['68', '144', '186', '355']
['65', '102', '109', '255', '496']
['37', '45', '233', '412', '467']
['18', '274', '353', '399', '489']
['2', '10', '257', '398', '454']
['20', '110', '187', '249']
['106', '153', '209', '308', '492']
['78', '315', '385', '386', '392']
['44', '75', '85', '350', '472']
['180', '323', '345', '379', '490']
['34', '292', '335', '360', '465']
['51', '159', '414', '432', '434']
['89', '176', '213', '407', '455']
['80', '115', '201', '267', '402']
['99', '101', '119', '376', '437']
['73', '124', '168', '276', '297']
['133', '243', '397', '425', '441']
['15', '331', '388', '444', '458']
['13', '151', '235', '282', '283']
['217', '225', '272', '319', '338']
['64', '231', '300', '352', '381']
['384', '390', '404', '466', '470']
['108', '129', '260', '281', '495']
['100', '322', '368', '468', '473']
