['0', '29', '46', '48', '118', '143', '156', '172', '184', '210', '238', '272', '279', '289', '353', '360', '368', '378', '388', '397', '430', '440', '443', '446', '457']
['53', '71', '75', '78', '161', '185', '226', '243', '261', '263', '266', '268', '332', '363', '372', '380', '385', '417', '420', '439', '448', '456', '460', '474', '488']
['31', '37', '47', '57', '86', '112', '115', '125', '189', '200', '201', '205', '229', '233', '255', '293', '299', '300', '355', '365', '377', '435', '458', '475', '476']
['22', '44', '68', '72', '85', '88', '99', '100', '134', '166', '174', '187', '190', '194', '240', '249', '251', '281', '319', '320', '330', '357', '391', '404', '489']
['5', '20', '27', '32', '35', '41', '105', '109', '129', '137', '155', '195', '213', '217', '223', '236', '264', '321', '366', '381', '422', '429', '436', '450', '477']
['11', '15', '23', '26', '87', '95', '111', '124', '141', '203', '245', '274', '283', '318', '326', '345', '374', '383', '390', '400', '449', '464', '479', '487', '490']
['7', '19', '49', '58', '76', '93', '101', '150', '154', '220', '244', '254', '285', '309', '316', '322', '337', '406', '411', '421', '441', '444', '455', '466', '483']
['33', '36', '38', '50', '90', '102', '127', '165', '181', '197', '206', '211', '216', '227', '230', '248', '256', '275', '288', '298', '346', '361', '452', '454', '482']
['1', '4', '63', '66', '89', '135', '145', '146', '176', '183', '209', '214', '231', '241', '269', '287', '296', '315', '325', '351', '379', '395', '399', '415', '473']
['2', '24', '64', '80', '81', '84', '92', '114', '116', '159', '164', '215', '292', '301', '312', '333', '342', '348', '364', '367', '425', '431', '432', '459', '493']
['6', '25', '34', '43', '55', '91', '103', '108', '113', '120', '186', '188', '196', '198', '218', '252', '253', '317', '338', '349', '424', '461', '465', '478', '486']
['17', '39', '59', '67', '83', '96', '139', '158', '162', '191', '222', '228', '235', '250', '270', '273', '286', '329', '339', '370', '384', '408', '419', '451', '468']
['74', '97', '106', '126', '149', '160', '163', '182', '276', '278', '304', '305', '308', '313', '314', '328', '387', '405', '416', '428', '434', '447', '471', '494']
['12', '14', '16', '21', '30', '52', '70', '94', '128', '151', '152', '153', '175', '178', '192', '219', '271', '347', '354', '398', '401', '412', '481', '492', '495']
['28', '77', '104', '117', '130', '132', '133', '167', '202', '224', '234', '237', '291', '302', '311', '340', '343', '352', '382', '389', '392', '403', '409', '433', '485']
['8', '13', '61', '73', '98', '123', '168', '171', '193', '225', '246', '277', '290', '307', '310', '356', '371', '386', '393', '407', '427', '442', '445', '462', '463']
['3', '42', '65', '82', '110', '122', '131', '207', '212', '280', '284', '295', '327', '336', '344', '359', '375', '394', '410', '413', '414', '437', '438', '496', '497']
['9', '10', '60', '79', '121', '138', '140', '170', '180', '199', '208', '221', '239', '242', '247', '257', '258', '259', '265', '297', '335', '373', '418', '484', '491']
['18', '40', '45', '51', '107', '136', '142', '144', '169', '177', '262', '267', '306', '324', '334', '350', '358', '362', '396', '426', '453', '469', '470', '472', '498']
['54', '56', '62', '69', '119', '147', '148', '157', '173', '179', '204', '232', '260', '282', '294', '303', '323', '331', '341', '369', '376', '402', '423', '467', '480']
