['a390', 'a116', 'a20', 'a93', 'a245', 'a99', 'a102', 'a186', 'a18', 'a331', 'a109', 'a26', 'a59', 'a365', 'a64', 'a375', 'a17', 'a340', 'a150', 'a289']
['a143', 'a277', 'a352', 'a61', 'a75', 'a56', 'a37', 'a203', 'a369', 'a304', 'a198', 'a68', 'a382', 'a221', 'a306', 'a384', 'a359', 'a281', 'a178', 'a278']
['a388', 'a377', 'a41', 'a179', 'a51', 'a316', 'a383', 'a187', 'a129', 'a265', 'a117', 'a110', 'a15', 'a9', 'a196', 'a66', 'a310', 'a327', 'a190', 'a85']
['a94', 'a268', 'a314', 'a193', 'a39', 'a372', 'a6', 'a255', 'a65', 'a252', 'a162', 'a345', 'a195', 'a319', 'a322', 'a329', 'a254', 'a53', 'a362', 'a67']
['a48', 'a389', 'a89', 'a38', 'a283', 'a52', 'a290', 'a8', 'a62', 'a286', 'a371', 'a63', 'a33', 'a145', 'a354', 'a333', 'a144', 'a24', 'a136', 'a204']
['a133', 'a321', 'a47', 'a230', 'a81', 'a168', 'a123', 'a183', 'a308', 'a200', 'a0', 'a360', 'a210', 'a181', 'a151', 'a301', 'a288', 'a330', 'a169', 'a177']
['a115', 'a155', 'a149', 'a146', 'a82', 'a285', 'a282', 'a211', 'a106', 'a77', 'a197', 'a208', 'a7', 'a44', 'a142', 'a161', 'a263', 'a236', 'a324', 'a199']
['a262', 'a134', 'a363', 'a158', 'a128', 'a91', 'a95', 'a57', 'a228', 'a269', 'a148', 'a74', 'a349', 'a1', 'a231', 'a2', 'a274', 'a292', 'a43', 'a276']
['a397', 'a305', 'a346', 'a127', 'a227', 'a303', 'a341', 'a174', 'a297', 'a248', 'a14', 'a188', 'a386', 'a266', 'a131', 'a399', 'a90', 'a25', 'a80', 'a50']
['a137', 'a398', 'a69', 'a270', 'a5', 'a173', 'a72', 'a46', 'a152', 'a240', 'a206', 'a235', 'a159', 'a385', 'a334', 'a226', 'a312', 'a126', 'a10', 'a279']
['a342', 'a295', 'a92', 'a381', 'a213', 'a101', 'a307', 'a160', 'a35', 'a271', 'a347', 'a356', 'a100', 'a135', 'a13', 'a318', 'a323', 'a335', 'a182', 'a287']
['a29', 'a11', 'a259', 'a257', 'a180', 'a332', 'a28', 'a79', 'a217', 'a336', 'a60', 'a367', 'a163', 'a176', 'a267', 'a338', 'a328', 'a192', 'a326', 'a219']
['a3', 'a395', 'a23', 'a373', 'a350', 'a122', 'a31', 'a98', 'a284', 'a185', 'a105', 'a58', 'a396', 'a140', 'a139', 'a119', 'a118', 'a70', 'a302', 'a358']
['a215', 'a293', 'a242', 'a124', 'a237', 'a220', 'a214', 'a156', 'a299', 'a320', 'a184', 'a21', 'a97', 'a86', 'a392', 'a107', 'a108', 'a243', 'a339', 'a309']
['a300', 'a250', 'a291', 'a317', 'a55', 'a264', 'a49', 'a209', 'a175', 'a34', 'a311', 'a4', 'a216', 'a207', 'a315', 'a27', 'a364', 'a154', 'a313', 'a166']
['a393', 'a111', 'a394', 'a246', 'a153', 'a353', 'a147', 'a258', 'a280', 'a380', 'a164', 'a247', 'a351', 'a239', 'a344', 'a391', 'a45', 'a233', 'a370', 'a16']
['a368', 'a224', 'a361', 'a222', 'a343', 'a22', 'a234', 'a296', 'a238', 'a78', 'a249', 'a232', 'a244', 'a71', 'a138', 'a172', 'a36', 'a348', 'a298', 'a87']
['a202', 'a273', 'a189', 'a201', 'a337', 'a374', 'a157', 'a84', 'a379', 'a73', 'a205', 'a256', 'a42', 'a275', 'a387', 'a260', 'a225', 'a355', 'a130', 'a103']
['a191', 'a132', 'a378', 'a141', 'a272', 'a30', 'a294', 'a325', 'a167', 'a165', 'a261', 'a357', 'a120', 'a376', 'a32', 'a212', 'a125', 'a54', 'a19', 'a223']
['a121', 'a12', 'a76', 'a251', 'a241', 'a229', 'a171', 'a113', 'a40', 'a170', 'a88', 'a96', 'a114', 'a253', 'a194', 'a218', 'a112', 'a104', 'a83', 'a366']
