['0', '2', '16', '32', '48', '73', '89', '96', '112', '128', '144', '160', '176', '192', '208', '240']
['11', '27', '59', '75', '91', '107', '134', '139', '141', '148', '155', '203', '219', '228', '235', '251']
['17', '18', '34', '45', '66', '82', '98', '114', '130', '146', '162', '178', '194', '210', '226', '242']
['3', '19', '43', '51', '67', '83', '99', '115', '133', '147', '163', '179', '195', '211', '227', '243']
['31', '46', '47', '63', '79', '90', '111', '127', '142', '143', '159', '161', '175', '207', '209', '255']
['5', '21', '37', '53', '69', '85', '101', '117', '140', '149', '152', '165', '197', '213', '229', '245']
['9', '41', '57', '64', '80', '105', '121', '137', '153', '169', '185', '201', '217', '224', '233', '249']
['15', '20', '36', '38', '52', '68', '84', '100', '116', '132', '164', '180', '196', '212', '223', '244']
['8', '24', '40', '56', '72', '95', '104', '120', '136', '168', '184', '191', '200', '216', '232', '248']
['10', '26', '42', '58', '74', '106', '122', '138', '151', '154', '170', '186', '202', '218', '234', '250']
['6', '22', '35', '54', '65', '70', '86', '102', '118', '150', '166', '181', '182', '214', '230', '246']
['4', '7', '14', '30', '62', '78', '88', '94', '110', '126', '158', '174', '190', '206', '222', '254']
['12', '28', '44', '60', '76', '92', '108', '123', '124', '156', '172', '188', '204', '220', '236', '252']
['13', '29', '50', '61', '77', '93', '109', '125', '157', '173', '189', '205', '221', '237', '239', '253']
['1', '25', '33', '49', '81', '97', '113', '129', '145', '171', '177', '187', '193', '198', '225', '241']
['23', '39', '55', '71', '87', '103', '119', '131', '135', '167', '183', '199', '215', '231', '238', '247']
