['92', '294', '185', '411', '14', '299', '455', '387', '179', '233', '379', '131', '195', '456', '359', '243', '149', '263', '383', '439', '148', '215']
['100', '477', '134', '398', '314', '353', '21', '223', '143', '219', '335', '462', '433', '146', '363', '213', '286', '234', '26', '17', '271', '284']
['42', '36', '188', '192', '214', '260', '269', '114', '229', '351', '126', '32', '275', '7', '170', '155', '49', '261', '172', '251', '321', '330']
['177', '43', '430', '422', '181', '147', '292', '106', '443', '249', '196', '350', '75', '347', '338', '76', '328', '288', '224', '203', '468', '218']
['45', '354', '52', '326', '267', '226', '37', '400', '85', '446', '12', '55', '428', '9', '258', '480', '460', '277', '367', '305', '47', '104']
['2', '144', '295', '475', '293', '268', '340', '64', '283', '445', '403', '127', '5', '54', '69', '30', '423', '395', '407', '141', '60', '435']
['220', '101', '272', '331', '208', '95', '129', '358', '419', '40', '227', '183', '136', '389', '410', '313', '451', '298', '436', '254', '412', '142']
['19', '238', '73', '259', '88', '319', '382', '41', '405', '242', '473', '128', '332', '65', '79', '151', '102', '235', '135', '123', '168', '376']
['483', '297', '241', '300', '199', '63', '84', '212', '217', '173', '318', '289', '325', '83', '200', '94', '160', '53', '434', '255', '424', '421']
['20', '59', '205', '210', '187', '472', '399', '381', '425', '390', '402', '165', '35', '118', '10', '409', '388', '339', '281', '139', '237', '18']
['163', '374', '392', '231', '253', '427', '164', '169', '110', '130', '391', '264', '138', '296', '327', '236', '34', '70', '416', '48', '317', '15']
['469', '80', '13', '482', '448', '162', '28', '341', '117', '107', '302', '50', '247', '115', '16', '280', '122', '465', '343', '46', '454', '31']
['74', '361', '124', '356', '91', '82', '119', '273', '307', '132', '342', '116', '166', '466', '266', '182', '478', '396', '174', '442', '432', '156']
['287', '145', '375', '450', '265', '479', '303', '98', '418', '230', '481', '137', '447', '191', '323', '322', '337', '246', '320', '167', '113', '186']
['157', '240', '89', '437', '93', '245', '97', '471', '458', '171', '25', '6', '393', '140', '457', '279', '368', '133', '153', '312', '415', '39']
['346', '464', '150', '176', '394', '121', '0', '461', '66', '11', '189', '401', '125', '239', '276', '228', '426', '209', '4', '194', '270', '67']
['440', '344', '184', '334', '29', '248', '250', '57', '178', '345', '193', '369', '109', '408', '71', '372', '198', '357', '202', '329', '87', '362']
['201', '377', '225', '78', '81', '333', '108', '380', '420', '474', '336', '256', '216', '38', '348', '86', '3', '105', '8', '352', '96', '290']
['257', '154', '431', '310', '72', '197', '51', '274', '463', '221', '158', '252', '366', '282', '206', '222', '406', '384', '385', '444', '23', '232']
['103', '370', '204', '429', '33', '360', '24', '364', '315', '99', '378', '470', '44', '62', '111', '349', '453', '159', '441', '207', '120', '58']
['452', '371', '476', '77', '311', '68', '467', '244', '413', '175', '316', '161', '1', '414', '56', '278', '90', '152', '324', '449', '27', '112']
['386', '459', '404', '262', '373', '190', '365', '417', '61', '291', '301', '308', '309', '438', '211', '306', '397', '355', '304', '180', '22', '285']
