['97', '101', '129', '296']
['64', '80', '88', '184']
['100', '175', '358', '402']
['106', '132', '272', '433']
['93', '249', '254', '420']
['322', '431', '460', '468']
['134', '146', '389', '391']
['66', '83', '301', '464']
['348', '457', '459', '462']
['44', '139', '337', '418']
['18', '111', '152', '202']
['6', '10', '15', '181']
['148', '320', '409', '413']
['136', '235', '432', '437']
['160', '165', '217', '222']
['189', '244', '465', '470']
['24', '65', '69', '70']
['1', '4', '13', '42']
['234', '386', '387', '390']
['59', '237', '339', '342']
['46', '186', '330', '336']
['131', '445', '469', '471']
['104', '109', '419', '422']
['105', '108', '124', '441']
['48', '195', '198', '208']
['140', '200', '400', '472']
['142', '261', '267', '270']
['77', '194', '199', '338']
['177', '179', '182', '248']
['227', '230', '324', '440']
['313', '315', '316', '318']
['117', '137', '304', '427']
['329', '333', '341', '452']
['204', '232', '349', '484']
['99', '102', '266', '271']
['56', '164', '211', '243']
['203', '206', '207', '323']
['76', '171', '174', '327']
['81', '84', '85', '87']
['2', '19', '22', '68']
['239', '265', '269', '277']
['155', '256', '264', '268']
['178', '183', '346', '351']
['5', '89', '92', '242']
['38', '47', '58', '396']
['193', '197', '308', '436']
['75', '78', '205', '428']
['123', '188', '334', '343']
['176', '443', '446', '447']
['0', '233', '238', '253']
['27', '30', '34', '39']
['43', '326', '335', '399']
['259', '262', '473', '485']
['90', '95', '157', '159']
['72', '122', '252', '450']
['223', '282', '371', '374']
['53', '55', '120', '410']
['365', '377', '380', '403']
['489', '490', '494', '495']
['169', '172', '225', '395']
['67', '118', '126', '127']
['128', '226', '328', '384']
['7', '73', '212', '425']
['379', '382', '383', '483']
['40', '45', '354', '482']
['185', '353', '356', '392']
['33', '444', '451', '480']
['274', '279', '291', '417']
['12', '50', '220', '458']
['98', '310', '311', '491']
['20', '286', '295', '474']
['149', '321', '350', '359']
['361', '401', '404', '406']
['273', '347', '370', '375']
['388', '416', '421', '423']
['25', '114', '119', '368']
['54', '151', '325', '438']
['82', '340', '454', '463']
['112', '115', '168', '173']
['11', '14', '23', '191']
['107', '209', '214', '362']
['86', '113', '276', '475']
['52', '355', '439', '442']
['103', '250', '305', '394']
['180', '280', '285', '287']
['32', '37', '156', '366']
['345', '478', '486', '487']
['187', '312', '317', '319']
['116', '147', '297', '309']
['130', '170', '275', '278']
['17', '21', '29', '31']
['28', '158', '167', '231']
['162', '224', '229', '284']
['263', '357', '466', '492']
['41', '96', '110', '378']
['8', '288', '408', '434']
['290', '344', '369', '373']
['393', '398', '405', '407']
['219', '424', '481', '493']
['61', '63', '283', '385']
['196', '303', '331', '456']
['246', '247', '360', '363']
['60', '412', '414', '415']
['57', '62', '71', '192']
['3', '16', '26', '36']
['74', '79', '307', '426']
['49', '153', '218', '429']
['138', '141', '143', '435']
['51', '448', '453', '467']
['163', '228', '332', '411']
['94', '190', '255', '292']
['125', '150', '236', '364']
['135', '166', '258', '314']
['201', '299', '302', '367']
['240', '241', '245', '372']
['216', '221', '300', '397']
['121', '133', '251', '298']
['210', '449', '461', '476']
['9', '35', '306', '455']
['145', '352', '430', '488']
['91', '144', '281', '293']
['154', '161', '477', '479']
['213', '215', '289', '294']
['257', '260', '376', '381']
