['0', '43', '60', '85', '102', '123', '148', '176', '193', '195', '203', '230', '252', '253', '263', '284', '292', '333', '349', '381', '398', '428', '478']
['6', '31', '75', '115', '135', '139', '156', '158', '166', '190', '192', '322', '338', '394', '402', '406', '419', '420', '427', '451', '458', '464', '499']
['30', '67', '91', '143', '154', '160', '202', '262', '274', '278', '281', '314', '316', '345', '350', '357', '393', '424', '435', '438', '480', '486', '491']
['51', '98', '107', '136', '140', '150', '152', '157', '175', '178', '219', '229', '242', '255', '261', '291', '389', '413', '417', '441', '442', '456', '497']
['15', '25', '35', '59', '66', '73', '104', '113', '144', '199', '238', '309', '310', '370', '380', '386', '390', '392', '396', '411', '431', '454', '482']
['2', '5', '10', '14', '29', '32', '38', '44', '99', '134', '168', '173', '235', '259', '282', '295', '296', '408', '422', '429', '452', '463', '495']
['13', '57', '133', '167', '171', '181', '198', '210', '234', '243', '245', '268', '271', '285', '297', '334', '343', '363', '399', '433', '462', '474', '493']
['28', '33', '46', '101', '119', '169', '206', '225', '227', '240', '244', '247', '298', '318', '344', '347', '375', '387', '423', '426', '461', '465', '468']
['4', '40', '65', '95', '129', '189', '191', '209', '211', '224', '226', '237', '286', '287', '294', '320', '331', '383', '409', '425', '469', '473', '484']
['7', '9', '16', '36', '69', '74', '77', '110', '130', '138', '188', '250', '267', '283', '304', '368', '395', '403', '404', '455', '457', '488', '494']
['12', '21', '37', '55', '62', '103', '120', '127', '137', '165', '236', '251', '306', '339', '340', '352', '355', '364', '369', '391', '450', '466', '479']
['17', '84', '86', '114', '118', '197', '200', '205', '218', '232', '257', '270', '273', '279', '325', '353', '376', '377', '379', '385', '430', '471', '489']
['22', '47', '63', '94', '100', '109', '116', '177', '184', '186', '214', '220', '222', '254', '256', '302', '319', '329', '332', '335', '366', '434', '475']
['20', '80', '82', '88', '163', '164', '196', '233', '241', '246', '249', '277', '346', '354', '371', '373', '388', '416', '436', '444', '470', '476', '477']
['1', '45', '71', '83', '128', '142', '146', '153', '172', '180', '266', '311', '321', '365', '382', '407', '412', '415', '421', '446', '467', '472', '498']
['39', '50', '76', '122', '126', '141', '149', '187', '207', '305', '308', '315', '330', '348', '440', '448', '460']
['8', '42', '48', '53', '54', '58', '151', '185', '204', '212', '228', '248', '280', '323', '328', '362', '367', '384', '410', '432', '453', '483', '496']
['26', '41', '79', '90', '106', '125', '179', '194', '223', '231', '265', '288', '299', '317', '324', '359', '361', '397', '401', '414', '437', '443', '447']
['18', '68', '92', '108', '117', '131', '145', '155', '159', '183', '217', '221', '239', '264', '276', '290', '307', '326', '336', '351', '372', '374', '492']
['3', '19', '23', '64', '70', '81', '87', '97', '112', '147', '201', '208', '216', '272', '293', '300', '313', '327', '356', '378', '418', '439', '487']
['11', '24', '34', '49', '52', '72', '89', '93', '96', '105', '111', '121', '170', '182', '213', '275', '289', '312', '337', '342', '360', '449', '459']
['27', '56', '61', '78', '124', '132', '161', '162', '174', '215', '258', '260', '269', '301', '303', '341', '358', '400', '405', '445', '481', '485', '490']
