['1', '31', '130', '147', '173', '264', '378', '397', '421', '492']
['9', '89', '101', '190', '243', '244', '291', '340', '354', '498']
['56', '90', '91', '126', '127', '180', '251', '343', '398', '399']
['7', '110', '164', '170', '171', '222', '440', '455', '464', '486']
['109', '139', '154', '245', '246', '272', '345', '396', '461', '468']
['26', '102', '155', '158', '239', '294', '331', '335', '379', '494']
['36', '50', '166', '195', '219', '238', '269', '384', '400', '413']
['71', '105', '153', '159', '227', '242', '321', '325', '407', '415']
['296', '299', '302', '304', '412', '424', '471', '472', '477', '480']
['39', '225', '279', '286', '311', '385', '394', '446', '474', '475']
['13', '48', '60', '78', '103', '300', '359', '374', '389', '476']
['17', '25', '80', '97', '183', '230', '392', '426', '484', '490']
['54', '82', '149', '150', '191', '237', '253', '336', '357', '469']
['187', '281', '288', '301', '308', '328', '353', '364', '414', '496']
['76', '88', '129', '197', '214', '235', '266', '292', '467', '489']
['61', '83', '111', '132', '194', '226', '270', '365', '449', '453']
['46', '162', '205', '326', '344', '356', '380', '442', '457', '459']
['4', '172', '189', '229', '285', '348', '351', '441', '482', '483']
['94', '223', '257', '289', '352', '408', '411', '429', '433', '444']
['20', '87', '161', '196', '273', '274', '387', '401', '436', '439']
['47', '65', '117', '119', '298', '309', '317', '428', '430', '478']
['14', '22', '233', '261', '265', '280', '313', '373', '377', '473']
['55', '74', '81', '99', '115', '118', '177', '263', '283', '456']
['24', '95', '145', '182', '186', '188', '275', '324', '355', '432']
['69', '165', '167', '198', '203', '207', '256', '383', '386', '458']
['33', '42', '63', '73', '85', '320', '369', '382', '448', '487']
['66', '77', '141', '224', '228', '248', '250', '254', '333', '363']
['15', '28', '218', '234', '297', '305', '306', '403', '450', '454']
['21', '29', '86', '160', '232', '371', '393', '409', '416', '422']
['12', '16', '72', '131', '217', '260', '341', '462', '488', '497']
['30', '58', '75', '107', '112', '114', '135', '136', '252', '255']
['32', '38', '59', '62', '133', '144', '310', '329', '406', '479']
['5', '10', '35', '123', '140', '157', '184', '295', '367', '493']
['64', '125', '138', '178', '215', '277', '334', '339', '375', '391']
['8', '84', '98', '179', '185', '236', '338', '370', '405', '452']
['49', '67', '92', '168', '169', '175', '358', '372', '417', '445']
['43', '68', '142', '212', '267', '315', '318', '332', '368', '443']
['176', '199', '220', '262', '314', '323', '418', '427', '481', '495']
['11', '23', '122', '128', '143', '163', '420', '434', '435', '451']
['40', '41', '276', '290', '316', '322', '346', '347', '381', '460']
['19', '120', '192', '193', '240', '241', '330', '395', '447', '491']
['3', '45', '70', '201', '216', '268', '337', '366', '402', '404']
['6', '51', '106', '121', '134', '137', '156', '303', '342', '425']
['2', '18', '116', '148', '200', '211', '221', '249', '388', '500']
['52', '53', '96', '100', '113', '204', '282', '284', '312', '390']
['27', '108', '206', '208', '287', '360', '362', '437', '465', '485']
['44', '104', '151', '213', '231', '293', '327', '419', '423', '431']
['37', '79', '124', '152', '174', '202', '247', '410', '463', '470']
['146', '259', '278', '319', '349', '350', '361', '438', '466', '499']
['34', '57', '93', '181', '209', '210', '258', '271', '307', '376']
