['863', '776', '876', '146', '172', '210', '909', '600', '961', '684']
['518', '447', '996', '788', '702', '557', '898', '622', '629', '104']
['205', '983', '888', '842', '777', '866', '161', '384', '438', '958']
['563', '538', '853', '720', '618', '820', '941', '204', '111', '284']
['378', '747', '728', '456', '712', '187', '515', '731', '421', '97']
['406', '121', '203', '907', '566', '492', '539', '436', '778', '758']
['277', '533', '649', '871', '3', '564', '44', '816', '39', '92']
['746', '610', '803', '654', '134', '884', '49', '793', '276', '812']
['417', '715', '54', '226', '754', '189', '139', '87', '878', '791']
['43', '258', '400', '596', '90', '714', '34', '902', '906', '568']
['96', '623', '397', '805', '657', '502', '920', '364', '367', '581']
['257', '63', '213', '479', '851', '616', '109', '455', '473', '670']
['801', '879', '211', '171', '337', '35', '173', '904', '669', '21']
['705', '94', '942', '137', '328', '765', '687', '990', '619', '391']
['338', '914', '273', '297', '530', '296', '117', '609', '541', '272']
['579', '55', '636', '71', '36', '873', '331', '676', '224', '19']
['305', '162', '690', '387', '857', '590', '882', '227', '489', '559']
['143', '802', '366', '326', '695', '4', '247', '395', '238', '543']
['757', '582', '756', '591', '354', '119', '17', '831', '125', '166']
['66', '483', '666', '807', '193', '611', '748', '316', '497', '201']
['72', '60', '288', '182', '992', '810', '268', '833', '413', '81']
['57', '5', '29', '893', '185', '491', '918', '280', '529', '771']
['389', '142', '815', '286', '52', '642', '114', '823', '148', '952']
['67', '269', '414', '931', '743', '835', '346', '612', '165', '973']
['404', '307', '176', '711', '608', '569', '177', '513', '405', '191']
['535', '401', '183', '433', '255', '415', '194', '734', '528', '237']
['388', '23', '585', '153', '993', '144', '379', '924', '950', '484']
['970', '478', '900', '939', '792', '978', '325', '68', '390', '834']
['836', '374', '20', '476', '808', '233', '988', '647', '220', '784']
['639', '517', '887', '818', '398', '330', '630', '798', '106', '9']
['737', '61', '342', '317', '299', '938', '223', '854', '225', '658']
['841', '419', '264', '426', '488', '667', '361', '675', '922', '671']
['638', '789', '946', '960', '490', '229', '759', '259', '147', '561']
['800', '923', '218', '381', '115', '178', '362', '936', '322', '794']
['795', '782', '430', '962', '356', '169', '156', '874', '699', '200']
['216', '738', '73', '662', '577', '785', '240', '974', '412', '935']
['309', '844', '450', '190', '13', '915', '881', '360', '551', '403']
['827', '18', '927', '587', '303', '449', '913', '814', '154', '140']
['663', '411', '481', '245', '84', '394', '174', '62', '318', '83']
['10', '521', '58', '864', '313', '617', '37', '324', '572', '943']
['393', '480', '108', '732', '310', '1', '250', '275', '472', '917']
['31', '761', '508', '336', '928', '760', '170', '252', '733', '826']
['380', '14', '340', '25', '556', '697', '929', '540', '339', '262']
['677', '977', '822', '375', '251', '75', '724', '409', '122', '371']
['369', '967', '212', '830', '869', '825', '891', '451', '261', '113']
['749', '921', '120', '522', '520', '135', '554', '986', '353', '454']
['953', '291', '897', '392', '311', '659', '829', '431', '989', '548']
['998', '99', '589', '872', '188', '919', '643', '124', '105', '243']
['355', '341', '499', '207', '446', '804', '545', '372', '164', '231']
['427', '552', '327', '790', '107', '51', '665', '129', '547', '570']
['604', '320', '537', '674', '149', '308', '546', '493', '890', '933']
['363', '716', '494', '786', '809', '707', '370', '40', '764', '319']
['260', '434', '302', '868', '894', '293', '806', '510', '453', '469']
['949', '885', '332', '602', '653', '254', '462', '678', '418', '729']
['420', '118', '416', '151', '562', '467', '838', '197', '428', '550']
['718', '399', '750', '660', '365', '301', '673', '42', '862', '294']
['6', '937', '425', '975', '343', '385', '214', '773', '709', '482']
['516', '402', '865', '797', '819', '408', '963', '772', '221', '987']
['2', '698', '645', '444', '710', '708', '558', '959', '908', '703']
['889', '357', '12', '739', '47', '266', '287', '504', '95', '688']
['828', '567', '607', '130', '239', '899', '15', '102', '192', '947']
['892', '976', '315', '631', '779', '877', '110', '80', '583', '333']
['799', '445', '740', '672', '593', '321', '895', '626', '274', '696']
['100', '573', '283', '184', '845', '424', '787', '312', '997', '466']
['198', '553', '407', '534', '847', '640', '222', '680', '334', '28']
['11', '574', '512', '145', '944', '966', '523', '597', '452', '751']
['745', '753', '351', '506', '652', '945', '839', '323', '741', '542']
['150', '685', '850', '474', '968', '755', '926', '242', '681', '634']
['875', '576', '289', '930', '500', '955', '614', '651', '664', '359']
['158', '624', '443', '752', '840', '82', '196', '903', '856', '461']
['783', '689', '232', '575', '396', '131', '954', '382', '496', '186']
['628', '580', '128', '386', '578', '8', '896', '595', '304', '860']
['536', '180', '693', '565', '460', '41', '377', '849', '679', '725']
['811', '271', '241', '487', '859', '916', '723', '471', '594', '956']
['112', '208', '505', '123', '116', '85', '458', '682', '27', '637']
['290', '940', '281', '485', '282', '88', '846', '507', '45', '627']
['78', '824', '694', '648', '253', '202', '620', '588', '295', '706']
['159', '769', '848', '980', '422', '598', '912', '592', '969', '348']
['59', '64', '74', '141', '358', '167', '781', '265', '373', '138']
['306', '867', '437', '79', '464', '195', '509', '463', '971', '267']
['236', '77', '982', '700', '527', '215', '964', '440', '932', '347']
['448', '796', '717', '650', '486', '775', '905', '300', '7', '999']
['726', '383', '152', '285', '948', '766', '132', '410', '774', '514']
['230', '429', '163', '127', '843', '886', '994', '248', '736', '901']
['181', '526', '615', '525', '985', '69', '263', '279', '601', '349']
['16', '344', '46', '126', '770', '701', '925', '832', '256', '646']
['883', '632', '468', '98', '298', '605', '719', '742', '56', '965']
['531', '335', '584', '314', '532', '136', '217', '744', '30', '735']
['38', '683', '621', '503', '817', '606', '352', '613', '656', '880']
['625', '995', '763', '571', '234', '65', '179', '470', '168', '870']
['350', '209', '655', '101', '704', '199', '292', '511', '249', '91']
['244', '0', '376', '76', '599', '951', '86', '495', '722', '603']
['767', '442', '465', '477', '633', '560', '22', '911', '555', '246']
['544', '157', '459', '24', '432', '435', '235', '270', '934', '50']
['368', '441', '984', '661', '586', '475', '228', '32', '730', '206']
['635', '48', '972', '691', '423', '329', '89', '981', '70', '692']
['686', '278', '457', '668', '549', '439', '644', '103', '498', '861']
['713', '155', '979', '852', '641', '991', '762', '727', '160', '53']
['93', '26', '519', '910', '813', '855', '345', '768', '780', '837']
['33', '501', '175', '957', '821', '524', '219', '133', '721', '858']
