['80', '83', '84', '114', '237']
['6', '60', '61', '180', '184']
['165', '253', '272', '273', '290']
['154', '220', '222', '223', '224']
['192', '250', '251', '252', '254']
['260', '261', '262', '263', '264']
['10', '13', '14', '132', '236']
['168', '210', '211', '213', '214']
['190', '191', '193', '194', '216']
['112', '113', '155', '158', '176']
['40', '41', '43', '44', '221']
['93', '105', '200', '202', '204']
['65', '69', '295', '298', '299']
['110', '111', '150', '151', '152']
['157', '291', '292', '293', '294']
['12', '147', '148', '149', '258']
['182', '245', '247', '248', '259']
['119', '138', '226', '228', '229']
['2', '195', '196', '198', '274']
['42', '73', '240', '241', '243']
['27', '32', '55', '58', '59']
['103', '130', '131', '133', '218']
['46', '47', '48', '49', '62']
['136', '137', '139', '270', '271']
['11', '115', '117', '118', '122']
['96', '100', '281', '283', '284']
['146', '163', '175', '177', '179']
['124', '173', '187', '188', '189']
['25', '26', '28', '29', '178']
['70', '71', '74', '99', '249']
['63', '64', '166', '242', '244']
['20', '21', '22', '76', '164']
['5', '7', '8', '9', '159']
['123', '265', '267', '268', '269']
['45', '143', '255', '256', '257']
['67', '75', '77', '78', '79']
['30', '31', '183', '296', '297']
['1', '4', '201', '217', '219']
['19', '51', '120', '121', '134']
['23', '24', '246', '285', '287']
['88', '140', '141', '142', '144']
['82', '85', '86', '87', '89']
['3', '116', '171', '172', '181']
['56', '57', '106', '107', '109']
['90', '92', '94', '135', '207']
['0', '33', '34', '108', '215']
['101', '102', '104', '278', '282']
['203', '275', '277', '279', '280']
['169', '227', '235', '238', '239']
['91', '230', '231', '232', '234']
['125', '126', '127', '128', '156']
['72', '160', '161', '167', '209']
['81', '153', '286', '288', '289']
['66', '68', '95', '97', '98']
['129', '185', '186', '197', '212']
['15', '18', '145', '162', '199']
['17', '170', '174', '225', '266']
['35', '36', '37', '38', '39']
['16', '205', '206', '208', '276']
['50', '52', '53', '54', '233']
