['D3', 'C18', 'G37']
['A3', 'C3', '3']
['C33', 'D33', 'B40']
['A15', 'B15', 'A21']
['A19', 'D19', 'G21']
['38', '55', '59']
['G2', 'D53', 'E53']
['G4', 'G30', 'H30']
['H7', 'H8', 'G40']
['F10', 'A25', 'D25']
['F7', 'F15', 'E31']
['F2', 'F35', 'G54']
['31', '34', '52']
['A1', 'F1', 'H4']
['F14', 'D18', 'B39']
['A9', 'D9', 'G42']
['A35', 'B35', 'C35']
['F39', 'E40', 'G50']
['G28', 'A47', 'H47']
['F4', 'E6', 'H23']
['B7', 'E18', 'B31']
['E14', 'H14', 'H16']
['A7', 'E9', 'G9']
['A5', 'B5', 'D5']
['E20', 'G27', 'B30']
['G35', 'A44', 'F44']
['B6', 'C32', 'G52']
['G11', 'H18', 'D37']
['H33', 'C49', 'D49']
['35', '47', '53']
['G1', 'C11', 'B14']
['G25', 'H45', 'B52']
['D10', 'E10', '14']
['C23', 'D23', 'F47']
['A40', 'C42', 'D42']
['F5', 'A39']
['C0', 'D0', 'C17']
['E5', 'A42', 'D43']
['1', '18', '29']
['E3', 'C28', 'D28']
['A10', 'B10', 'E42']
['42', '45', '49']
['B12', 'H13', 'H20']
['G39', 'C50', 'C51']
['E12', 'F13', 'H27']
['H22', 'H29', 'F54']
['8', '21', '23']
['F24', 'A36', 'F36']
['B23', 'G48', 'H54']
['F6', 'E11', 'F11']
['G49', 'A52', 'F52']
['A6', 'D6', 'B17']
['C21', 'E30', 'F30']
['E36', 'G36', 'C38']
['B3', 'H6', 'B16']
['C12', '33', '39']
['F8', 'B19', 'H24']
['H5', 'H35', 'H52']
['A2', 'D2', 'F34']
['F22', 'B37', 'C48']
['G3', 'A50', 'F50']
['E43', 'G43', 'A51']
['G20', 'C40', 'D40']
['C27', '2', '15']
['F31', 'B36', 'B53']
['B51', 'D51', 'E51']
['H9', 'H10', 'H11']
['E48', 'H48', 'H53']
['B9', 'E24', 'A43']
['F0', 'G17', 'F41']
['C34', '22', '25']
['E0', 'G0', 'H0']
['G6', 'B48', 'D48']
['G13', 'H42', '51']
['E2', 'C8', 'C9']
['E41', 'H41', 'C54']
['B0', 'D15', 'H40']
['B38', '19', '26']
['D39', 'E39', 'A48']
['G16', 'F17', 'G24']
['E17', 'H31', 'D36']
['E45', 'B54', 'D54']
['0', '4', '24']
['G14', 'E26', 'H26']
['B11', 'F51', 'E54']
['7', '12', '17']
['H2', 'D32', 'E32']
['D11', 'G32', 'B46']
['F3', 'B26', 'F46']
['C4', 'E38', 'G46']
['H36', 'D52', 'E52']
['H3', 'G51', 'C52']
['B8', 'D20', 'B25']
['C26', 'D30', 'C43']
['C1', 'D1', 'E1']
['A26', 'F26', 'B45']
['A22', 'H39', 'F49']
['C16', 'C41', 'D41']
['A31', 'D31', 'A41']
['E16', 'F16', '48']
['A11', 'A33', 'B33']
['D26', 'B44', 'D44']
['C19', 'B43', 'H43']
['A24', 'C44', 'C45']
['E28', 'F28', 'F40']
['F12', 'B29', 'A54']
['5', '6', '20']
['C7', 'H21', 'A32']
['A4', 'D4', 'E4']
['A28', 'B28', 'D50']
['D14', 'H17', 'B24']
['41', '43', '54']
['G8', 'A12', 'G53']
['C2', 'A46', 'H46']
['H12', 'A17', 'E49']
['B22', 'A38', 'D38']
['E23', 'G23', 'G34']
['D7', 'C29', 'D29']
['D8', 'E8', 'C15']
['E21', 'G31', '10']
['H1', 'H25', 'F32']
['D17', 'A20', 'B20']
['E22', 'G26', 'F27']
['C6', 'A45', 'F45']
['H15', 'F42', '9']
['B1', 'B21', 'A23']
['30', '44', '46']
['C5', 'G7', 'D12']
['A18', 'E25', 'F25']
['C36', 'A37', 'C37']
['F18', 'A49', 'B49']
['C10', 'H38', '16']
['G33', 'G45', '28']
['A16', 'D16', 'F23']
['A14', 'C14', 'C39']
['B4', '40', '56']
['G18', 'F20', 'C22']
['E27', 'B42', 'F48']
['36', '37', '58']
['E15', 'C31', 'G41']
['H32', 'A53', 'C53']
['F21', 'C46', 'D46']
['E7', 'D21', '32']
['A30', 'C30', 'F43']
['D35', 'E35', 'D47']
['F38', 'E44', 'G44']
['G10', 'B13', '50']
['B18', 'D24', 'E29']
['A13', 'C13', 'H51']
['H34', 'D45', '57']
['B2', 'E19', 'F19']
['A8', 'E33', 'F33']
['E37', 'F37', 'H37']
['G5', 'B32', 'B47']
['H19', 'D34', 'E34']
['H49', 'E50', 'H50']
['D13', 'E13', 'D22']
['C24', 'C25', 'G38']
['A27', 'D27', 'C47']
['F9', 'G12', 'E46']
['11', '13', '27']
['A0', 'A29', 'F29']
['C20', 'G22', 'A34']
['G29', 'B50', 'F53']
['B27', 'H28', 'B34']
['G15', 'E47', 'G47']
['G19', 'B41', 'H44']
