['89', '94', '152', '157', '161', '166', '171', '192', '308', '313', '316', '318', '321', '395', '400', '405', '410', '419', '424', '430']
['145', '154', '159', '164', '172', '196', '201', '242', '250', '291', '314', '319', '324', '326', '331', '394', '399', '404', '434', '439']
['55', '177', '182', '186', '224', '229', '302', '307', '351', '356', '361', '386', '428', '459', '464', '469', '474', '479', '485', '490']
['57', '100', '115', '120', '125', '126', '130', '131', '287', '392', '397', '433', '435', '438', '440', '457', '462', '467', '493', '498']
['76', '81', '83', '85', '86', '88', '90', '91', '96', '213', '215', '218', '223', '248', '253', '312', '317', '379', '384', '391']
['1', '6', '21', '26', '47', '128', '133', '160', '165', '228', '233', '241', '246', '251', '256', '282', '355', '360', '365', '370']
['16', '23', '28', '33', '52', '153', '158', '163', '168', '173', '195', '258', '349', '377', '388', '393', '407', '412', '463', '468']
['11', '29', '38', '179', '184', '189', '194', '199', '212', '214', '217', '219', '222', '227', '328', '333', '341', '346', '368', '373']
['31', '37', '101', '106', '111', '121', '170', '175', '180', '203', '329', '334', '339', '344', '345', '408', '413', '415', '420', '425']
['13', '84', '103', '108', '113', '118', '123', '135', '136', '140', '141', '178', '183', '188', '244', '323', '389', '489', '494', '495']
['42', '49', '60', '65', '75', '80', '143', '148', '230', '237', '260', '265', '279', '294', '299', '304', '309', '366', '371', '448']
['73', '78', '190', '191', '315', '322', '327', '332', '378', '383', '414', '417', '422', '427', '432', '456', '461', '466', '471', '476']
['2', '7', '62', '67', '71', '72', '77', '105', '110', '138', '206', '211', '216', '336', '380', '385', '390', '472', '477', '481']
['0', '44', '58', '63', '68', '82', '87', '92', '97', '102', '116', '261', '263', '268', '286', '406', '411', '416', '421', '455']
['139', '144', '149', '150', '155', '162', '167', '176', '181', '247', '252', '257', '262', '363', '375', '396', '401', '402', '418', '423']
['3', '8', '34', '39', '99', '104', '235', '266', '271', '273', '276', '278', '283', '288', '293', '338', '343', '348', '453', '458']
['12', '17', '22', '43', '48', '93', '98', '142', '147', '169', '174', '197', '200', '255', '267', '284', '289', '292', '297', '350']
['18', '127', '132', '137', '202', '207', '272', '277', '295', '300', '337', '342', '436', '441', '446', '451', '482', '487', '492', '497']
['51', '56', '61', '66', '74', '79', '204', '209', '249', '264', '269', '274', '285', '290', '296', '301', '357', '478', '483', '488']
['14', '19', '24', '109', '114', '117', '119', '122', '124', '129', '134', '270', '275', '280', '320', '325', '381', '470', '475', '480']
['53', '185', '205', '210', '234', '238', '239', '243', '354', '359', '362', '367', '372', '376', '398', '403', '426', '431', '437', '499']
['59', '64', '69', '146', '151', '156', '281', '298', '303', '306', '311', '443', '444', '449', '454', '460', '465', '486', '491', '496']
['27', '32', '40', '45', '50', '54', '221', '226', '231', '236', '305', '310', '330', '335', '340', '442', '445', '447', '450', '452']
['4', '9', '20', '25', '30', '35', '70', '95', '107', '112', '193', '198', '232', '240', '245', '382', '387', '409', '429', '484']
['5', '10', '15', '36', '41', '46', '187', '208', '220', '225', '254', '259', '347', '352', '353', '358', '364', '369', '374', '473']
