['6', '127', '258', '262', '353', '434', '475']
['86', '215', '220', '248', '294', '332', '352']
['2', '58', '81', '189', '191', '193', '201']
['50', '171', '207', '375', '388', '415', '478']
['1', '67', '178', '185', '403', '458', '482']
['25', '36', '165', '311', '316', '354', '433']
['157', '162', '217', '397', '443', '448', '468']
['73', '216', '222', '366', '387', '410', '416']
['45', '66', '75', '126', '153', '420', '481']
['15', '65', '149', '221', '230', '362', '474']
['14', '35', '121', '234', '272', '306', '343']
['11', '28', '29', '54', '160', '268', '341']
['46', '130', '379', '405', '454', '485', '486']
['168', '208', '276', '373', '386', '408', '473']
['151', '235', '284', '400', '412', '422', '488']
['264', '303', '360', '370', '384', '461', '477']
['12', '40', '117', '129', '298', '337', '363']
['74', '97', '203', '251', '307', '358', '471']
['0', '21', '56', '123', '139', '147', '152']
['39', '64', '177', '209', '240', '277', '300']
['368', '376', '380', '399', '428', '445', '480']
['60', '161', '173', '179', '212', '350', '460']
['19', '53', '62', '150', '175', '320', '321']
['112', '166', '214', '323', '359', '371', '426']
['8', '48', '109', '270', '274', '312', '325']
['3', '44', '98', '125', '156', '218', '295']
['103', '106', '113', '249', '263', '344', '417']
['213', '293', '324', '339', '407', '452', '470']
['33', '69', '283', '299', '309', '421', '444']
['9', '38', '93', '279', '281', '404', '472']
['367', '377', '390', '393', '429', '432', '436']
['76', '144', '148', '194', '244', '246', '296']
['92', '122', '229', '237', '356', '365']
['24', '43', '84', '238', '348', '450', '465']
['71', '115', '135', '184', '391', '467', '479']
['59', '137', '172', '223', '389', '402', '440']
['114', '154', '195', '206', '287', '401', '487']
['99', '100', '102', '253', '255', '297', '439']
['145', '224', '381', '414', '431', '441', '442']
['57', '72', '159', '180', '326', '423', '463']
['197', '271', '374', '437', '438', '453', '476']
['37', '68', '82', '116', '158', '211', '357']
['87', '205', '219', '242', '273', '447', '459']
['70', '163', '183', '267', '269', '308', '334']
['17', '88', '89', '133', '225', '291', '317']
['23', '80', '164', '261', '288', '328', '336']
['7', '26', '47', '107', '188', '259', '466']
['42', '128', '169', '170', '315', '383', '455']
['41', '78', '104', '257', '364', '396', '462']
['49', '124', '141', '278', '340', '409', '464']
['13', '77', '120', '190', '302', '304', '361']
['101', '136', '143', '200', '265', '333', '451']
['91', '142', '199', '342', '372', '392', '427']
['111', '181', '280', '310', '327', '330', '484']
['34', '119', '155', '186', '305', '345', '351']
['63', '176', '192', '256', '290', '382', '419']
['110', '132', '198', '239', '275', '335', '355']
['16', '22', '51', '79', '105', '138', '314']
['31', '52', '61', '174', '196', '424', '446']
['243', '250', '266', '338', '435', '456', '483']
['5', '134', '245', '247', '252', '260', '413']
['4', '231', '233', '236', '241', '292', '418']
['85', '94', '146', '182', '187', '204', '289']
['10', '30', '96', '282', '285', '286', '301']
['118', '140', '227', '228', '313', '369', '425']
['18', '95', '232', '254', '319', '398', '449']
['32', '83', '108', '346', '347', '349', '385']
['131', '202', '318', '329', '378', '395', '430']
['20', '27', '55', '167', '322', '394', '411']
['90', '210', '226', '331', '406', '457', '469']
