['11', '32', '115', '117', '123', '135', '137', '152', '159', '205', '216', '237', '239', '268', '273', '344', '360', '363', '384', '411', '427', '444', '447', '469', '488']
['23', '62', '73', '76', '141', '172', '176', '182', '188', '192', '215', '223', '232', '244', '255', '271', '281', '286', '294', '409', '438', '448', '451', '473', '485']
['26', '29', '52', '54', '94', '149', '153', '163', '167', '201', '204', '224', '308', '322', '323', '346', '357', '392', '403', '424', '429', '443', '454', '464', '481']
['3', '7', '15', '120', '125', '127', '164', '200', '208', '238', '249', '261', '291', '301', '309', '325', '386', '395', '399', '400', '404', '452', '462', '477', '499']
['4', '22', '102', '114', '146', '162', '166', '178', '245', '247', '258', '302', '303', '312', '347', '355', '364', '371', '372', '380', '383', '394', '449', '482', '486']
['17', '44', '49', '78', '88', '90', '129', '131', '142', '197', '213', '214', '235', '240', '279', '313', '332', '342', '343', '368', '376', '397', '416', '461', '495']
['56', '98', '99', '111', '132', '145', '151', '202', '210', '250', '257', '265', '284', '297', '349', '369', '379', '390', '430', '435', '450', '467', '476', '484', '498']
['18', '21', '27', '28', '48', '108', '134', '160', '169', '173', '194', '218', '234', '254', '256', '327', '352', '375', '393', '406', '415', '417', '491', '492', '497']
['38', '51', '59', '61', '68', '83', '179', '211', '225', '248', '260', '275', '290', '306', '317', '321', '326', '331', '373', '381', '396', '402', '419', '458', '493']
['0', '9', '33', '65', '74', '79', '87', '124', '140', '143', '144', '148', '157', '228', '241', '283', '298', '316', '334', '341', '358', '389', '445', '463', '483']
['42', '47', '77', '96', '107', '112', '113', '174', '177', '181', '184', '203', '267', '277', '282', '314', '315', '330', '338', '339', '345', '374', '405', '407', '422']
['10', '43', '45', '64', '95', '109', '156', '168', '183', '186', '221', '253', '266', '310', '328', '359', '370', '413', '421', '423', '425', '436', '440', '468', '496']
['8', '24', '30', '36', '39', '53', '103', '110', '150', '189', '191', '198', '212', '226', '246', '251', '280', '329', '361', '366', '401', '457', '471', '472', '478']
['13', '31', '40', '69', '80', '105', '126', '154', '171', '187', '190', '195', '229', '289', '292', '293', '299', '318', '350', '367', '378', '410', '420', '426', '437']
['2', '12', '16', '20', '60', '66', '82', '92', '93', '97', '122', '230', '269', '295', '307', '311', '335', '340', '351', '365', '382', '418', '428', '466', '479']
['6', '50', '67', '70', '72', '104', '106', '119', '128', '130', '139', '219', '220', '274', '333', '336', '356', '377', '408', '433', '453', '456', '475', '487', '490']
['14', '37', '57', '81', '85', '89', '161', '165', '180', '185', '227', '242', '262', '272', '305', '320', '388', '391', '412', '431', '434', '442', '459', '470', '489']
['19', '35', '75', '100', '118', '138', '170', '175', '196', '206', '209', '217', '222', '243', '264', '276', '288', '296', '348', '353', '354', '432', '439', '455', '465']
['1', '34', '46', '55', '63', '71', '84', '86', '91', '101', '116', '133', '155', '199', '207', '236', '252', '285', '287', '300', '304', '337', '441', '446', '480']
['5', '25', '41', '58', '121', '136', '147', '158', '193', '231', '233', '259', '263', '270', '278', '319', '324', '362', '385', '387', '398', '414', '460', '474', '494']
