['43FE78', '6C5208', '2215AE', '2EDC82', '099A40', 'E1B665', '0CFFC9', 'DBF47C', '30C157', '00CD58', '71AC6D', 'BE5B1D', '99E133', 'DDB7C8', '1F6554', '01E026', 'E8A38A', '608F21', 'EE9200', '2961DB']
['DBDDB5', '6DCBC8', '4AE7C7', '189812', 'EB7E6A', '0FC6EE', 'F2B7FD', '244528', '92C42A', '0AFD91', '4C0FCD', '539972', '9C4F00', 'F9EB1F', '4C1D36', 'F32B0B', 'DE6241', 'D6F426', '865328', '5B4152']
['FFD642', '8963E1', '5BC875', 'D8A834', 'BA6187', '992AEE', 'B2A692', 'B8B01F', 'B2CB4D', '160ED4', '7F8E1D', '463E2C', '0C4437', 'E0044F', '97D861', '1A770B', '29D22B', 'B166D1', 'FBF275', '5248A9']
['45CE10', 'C96CD6', '93D432', '2D56C1', '739ABF', 'B2C27D', 'D363AB', '3D830C', '2B3DD7', 'A911EF', '81E0FA', '1E571E', 'FAB638', '26C6B9', '94AED5', 'C19610', 'F1B367', '672145', '6C3CD5', 'AAAF0B']
['4DBE20', '5D4F2F', '82BD08', '7B325B', '29267F', '3FAE1E', '0D6A28', 'FCB503', '5A681E', 'B85F11', '66B93A', '2819EE', '98497D', '893D61', '73F93C', 'D79D49', '2F46CD', 'C4882F', '0FE5DD', 'CB5EDA']
['0C3AFF', 'BC38A8', '5AF312', '747199', '4E8355', 'D78532', 'EC2626', 'CC66B0', 'F28C7F', 'DF5F9C', '81DA52', 'FCD63D', 'EEF23E', '71AE93', '4A32EA', '3E6399', '940AC5', 'DFE9C6', '8EC8D8', 'DB6CBF']
['113E1F', 'DCB902', '1D39ED', 'F545E1', '1FBE40', 'D9180C', '6833E8', '511040', 'BB9072', '8F75EC', '1743CD', '89A551', '09CFE9', '6E7E64', '2D2248', 'EDB261', '415552', '0E78AA', '037831', 'CC08F5']
['18D668', 'CD5322', '52FB79', 'D049CD', 'CBE0EA', '6EEE66', '2B8E0B', '0A3E48', '04279E', '40C7FF', 'F4EDF8', '8883AC', 'D0E5BE', '55B952', '34ACF3', 'F7F9CB', 'AD6105', 'E191B0', '8806E7', '4430C2']
['D883C0', '5ADC6D', '95F017', 'F33ACF', 'D8849E', 'E277CB', 'F4C13E', '3CB50A', '1350AD', '9923B4', 'B0F05D', '52BFE5', '3A0D10', 'E77DD8', 'C54164', '1D528C', '7CC3A7', 'E33128', '6D4DDC', '66C38E']
['DF44F5', '94C20E', '2B8F4B', '9BAC71', '7334F9', '14A3E7', '3235BA', 'F448AE', 'EED7BB', '187923', '601CA7', '31C6A3', '219F75', 'B38307', '51197D', '4FCF52', 'FECCAB', '9ABAFB', '5A5DE8', 'CD374A']
['83ACF7', '22394B', 'EB9D60', '78DB65', '7FE1F2', '7848BA', '54C37C', '1600AD', '9C5DCF', '5C0D69', '7AADBC', '326662', '7C730C', 'CC9A13', '068D28', '77042F', '5F88E7', '029563', '82F466', 'A4EAD9']
['D65E29', 'B49939', '9B09E5', '38515C', 'BA7ED0', '9330C0', '316244', '0231A4', 'C2A74D', '1D9893', '7647CD', '33ABEE', '5ABFA9', '62BC31', '6BF4D3', '8254EB', 'A5F27A', 'E492E0', '49EEB4', 'DDA295']
['5A3E90', 'BCD2F5', 'EB3718', 'F85131', 'AF83FA', '3D4600', '1B06C5', '833C34', 'FBB00D', '09944C', '1986A0', '364B78', '57FCD8', 'F3EDD7', '88FFF8', '380FF7', '7C8A3D', '29BFBC', '718436', 'E81232']
['0264AF', 'B56D74', '861E09', '83752D', 'B4257C', 'FC75E7', '69FD70', 'E46F9E', 'FD33F7', '1DD8D0', '47063A', 'E15D93', 'FE7E47', '6AFCAC', '5E2607', '552199', '5C91EE', '503A55', '81A0D3', 'C5416A']
['82B105', '88E0AE', '77B9A5', '696B37', '4BD8B1', '43F505', 'C8F1A7', 'D31361', '206150', '2C02B7', '24A4D1', '035E05', '38EA17', 'C3678B', 'E9F19A', '823C51', 'D83AF7', '8BEC15', '6E3DED', '943005']
['98B1CA', '398310', 'F8B91A', 'BB986B', 'E7EFA5', 'F37211', '9D6554', 'A34095', '26DA83', '929578', '6246E1', 'E3583F', '39CAB7', '25B295', '369765', 'C34593', 'AB96B9', '5C4F81', '36FCBF', 'B0C2D3']
['5C016B', '848C87', 'D98FB6', '3B6837', 'B78EF9', '75002A', 'C1CAB9', 'E8C5B8', '5E4F6B', '7FADE3', '0525B9', 'E4C3BA', 'A4F4BB', '0E6FA7', '9FCB42', '0B99EF', '935873', '8D43AD', 'CA893B', '8E8C76']
['99392B', '1330B3', '2D4D61', '026256', '49EB71', 'CC4384', '2BEC39', '7D4045', '18AEFC', '2E4B9D', '58ED2B', '882258', '8FF839', '35DA72', '2E6B38', '80F9BC', '920715', '770A4C', '917501', '1CAAAC']
['9D8AD8', 'B6ACFC', 'C60FE7', '1656DC', '605983', '26DB4C', '3E7F60', 'F1DB81', '6C1A62', 'ABE83F', '03B42D', 'E1A380', '81A856', '30EA83', '593AF4', '478A7C', 'B13536', '1F4650', '28CCA5', '414B77']
