['43', '118', '208', '247']
['45', '101', '113', '217']
['55', '102', '159', '207']
['10', '89', '112', '170']
['71', '94', '103', '189']
['20', '49', '176', '183']
['29', '64', '87', '134']
['121', '126', '171', '222']
['16', '17', '131', '215']
['47', '169', '172', '179']
['40', '114', '168', '181']
['163', '210', '214', '229']
['73', '92', '240']
['13', '105', '124', '157']
['66', '85', '133', '135']
['7', '83', '188', '237']
['65', '77', '119', '248']
['36', '190', '205', '245']
['32', '95', '154', '212']
['2', '125', '156', '193']
['27', '37', '93', '196']
['8', '39', '84', '244']
['3', '90', '231', '232']
['59', '60', '180', '223']
['72', '129', '147', '213']
['23', '166', '175', '220']
['149', '153', '221', '236']
['81', '82', '178', '228']
['6', '19', '123', '243']
['128', '160', '174', '234']
['120', '148', '155', '242']
['25', '58', '161', '225']
['18', '98', '152', '195']
['75', '141', '150', '241']
['191', '216', '239', '246']
['22', '52', '79', '143']
['117', '145', '206', '219']
['41', '70', '78', '227']
['158', '203', '235']
['48', '56', '138', '218']
['51', '96', '162', '177']
['24', '42', '185', '197']
['74', '76', '100', '130']
['31', '107', '164', '204']
['14', '80', '106', '192']
['28', '139', '211', '226']
['9', '61', '86', '173']
['62', '132', '201', '209']
['4', '57', '110', '249']
['5', '11', '30', '146']
['116', '199', '202', '233']
['97', '115', '144', '194']
['15', '108', '182', '186']
['12', '63', '68', '136']
['35', '69', '184', '187']
['38', '91', '111', '127']
['21', '46', '140', '165']
['33', '88', '104', '238']
['142', '198', '200', '230']
['53', '54', '109', '151']
['34', '67', '99', '137']
['1', '26', '44', '224']
['0', '50', '122', '167']
