['v10', 'y9', 'r10', 't8', 't3', 'o5', 'p6', 'p5', 'p9', 'v2']
['y8', 'w5', 'w8', 'y6', 'q8', 'c2', 'b6', 'g1', 's7', 'i4']
['q5', 'o1', 'e5', 'e6', 'f10', 'm4', 'f2', 'v6', 'v7', 'd6']
['q9', 't9', 'u5', 'u4', 'u1', 'u2', 'w7', 'p8', 'k3', 'b10']
['y1', 'y2', 'd1', 'j1', 'b2', 'y3', 'y4', 'a2', 'y10', 'u10']
['c5', 'a6', 'h8', 'a7', 'a3', 'k10', 'u9', 'm6', 'f4', 'a1']
['q7', 'g6', 'n10', 'j5', 'j7', 'w9', 'q10', 'm9', 'i9', 'n2']
['d8', 'd4', 'y5', 'j9', 'o6', 'o2', 'r4', 'r5', 's8', 'i2']
['x10', 'e2', 'r6', 'r1', 'a4', 'o10', 'x6', 'x7', 'p7', 'c7']
['g8', 'l6', 'l3', 'b4', 'w3', 'b3', 'a5', 'w1', 'a8', 'a10']
['j10', 'd2', 's10', 'e3', 'h6', 's1', 's4', 'v8', 'n5', 'n6']
['d3', 'l7', 'l5', 'l2', 'j4', 'o9', 'o3', 'f9', 'n8', 'n9']
['m10', 'u8', 'm5', 'm1', 'm3', 'm2', 'j3', 's3', 's5', 'k1']
['g7', 'g5', 'g4', 't7', 'w10', 'e9', 'r8', 'c1', 's6', 'i5']
['q1', 'c6', 'l4', 'l1', 'l8', 'x1', 'c8', 'f7', 's9', 'v9']
['d7', 'g9', 'w6', 'e1', 'p1', 'b5', 'v1', 'v4', 'v5', 'n1']
['e10', 'g2', 'o4', 'x4', 't2', 'r3', 'h5', 'i8', 'i10', 'x9']
['l9', 'j6', 'r7', 'r2', 'h3', 'u6', 'm7', 'p2', 'k7', 'k8']
['c4', 'q2', 'p10', 'j8', 'j2', 'r9', 'm8', 'b9', 'c9', 'p4']
['d9', 'w2', 'b8', 'e7', 'h2', 'h1', 'u3', 'h10', 'd10', 'i3']
['a9', 'u7', 'x2', 'x3', 'x5', 'f5', 'k6', 'k4', 'k9', 'i1']
['q6', 't5', 't10', 'o8', 'e4', 'x8', 'h7', 'n7', 'c3', 'v3']
['c10', 'h9', 'h4', 'w4', 'g3', 's2', 'k2', 'k5', 'n3', 'g10']
['q3', 'q4', 'b7', 'd5', 'o7', 'f1', 'f3', 'i7', 'i6', 'n4']
['y7', 'p3', 'e8', 't6', 't4', 't1', 'l10', 'b1', 'f6', 'f8']
