['227', '805', '773', '231', '591']
['159', '829', '119', '241', '932']
['211', '845', '234', '710', '57']
['249', '19', '472', '483', '518']
['836', '494', '758', '602', '106']
['638', '82', '329', '210', '962']
['617', '901', '709', '890', '268']
['939', '161', '441', '824', '259']
['904', '530', '695', '52', '585']
['2', '334', '417', '547', '278']
['883', '819', '186', '854', '473']
['396', '982', '452', '339', '206']
['373', '468', '513', '200', '652']
['438', '84', '929', '811', '626']
['754', '970', '355', '940', '820']
['693', '275', '126', '26', '802']
['180', '520', '598', '708', '131']
['306', '250', '103', '277', '317']
['732', '714', '263', '322', '990']
['608', '850', '610', '58', '893']
['121', '39', '38', '781', '506']
['833', '544', '783', '168', '523']
['375', '295', '313', '574', '980']
['536', '841', '386', '797', '690']
['985', '761', '348', '976', '649']
['246', '896', '700', '7', '279']
['794', '878', '454', '32', '888']
['235', '444', '593', '183', '433']
['755', '541', '680', '190', '923']
['496', '924', '55', '897', '381']
['577', '463', '839', '77', '372']
['280', '475', '403', '674', '423']
['642', '840', '136', '614', '332']
['18', '631', '457', '222', '552']
['482', '233', '378', '627', '799']
['432', '171', '135', '198', '451']
['294', '996', '68', '724', '685']
['908', '609', '464', '174', '28']
['534', '535', '422', '60', '166']
['242', '793', '734', '368', '933']
['271', '8', '926', '400', '748']
['808', '439', '413', '673', '142']
['880', '718', '521', '192', '73']
['255', '69', '522', '240', '882']
['528', '682', '321', '356', '823']
['45', '813', '172', '117', '549']
['398', '844', '481', '634', '394']
['545', '105', '224', '726', '572']
['879', '487', '978', '916', '270']
['503', '945', '264', '936', '282']
['340', '795', '379', '445', '25']
['597', '618', '293', '110', '419']
['430', '390', '140', '686', '644']
['659', '910', '776', '402', '743']
['983', '729', '774', '116', '747']
['792', '997', '902', '957', '616']
['223', '165', '156', '812', '524']
['907', '891', '943', '435', '553']
['728', '376', '966', '655', '778']
['12', '974', '15', '885', '345']
['405', '385', '999', '925', '150']
['20', '938', '239', '603', '299']
['254', '740', '426', '900', '557']
['814', '91', '984', '236', '226']
['715', '675', '61', '104', '30']
['533', '96', '532', '401', '998']
['899', '526', '414', '195', '331']
['502', '790', '859', '325', '580']
['187', '703', '155', '716', '53']
['281', '698', '826', '81', '164']
['656', '505', '404', '922', '197']
['588', '721', '847', '834', '746']
['865', '370', '562', '137', '109']
['178', '449', '229', '247', '478']
['887', '860', '273', '579', '127']
['346', '85', '181', '95', '766']
['853', '517', '765', '267', '542']
['949', '118', '830', '298', '827']
['701', '667', '352', '872', '436']
['311', '462', '920', '446', '327']
['986', '987', '800', '679', '76']
['416', '122', '561', '723', '511']
['657', '221', '182', '566', '132']
['319', '357', '927', '392', '828']
['730', '639', '538', '111', '201']
['492', '485', '918', '501', '261']
['217', '911', '779', '537', '691']
['407', '991', '129', '683', '570']
['548', '179', '148', '9', '207']
['238', '653', '662', '914', '741']
['995', '751', '204', '461', '753']
['145', '992', '292', '256', '101']
['784', '551', '508', '952', '395']
['176', '83', '630', '194', '582']
['589', '705', '365', '807', '681']
['870', '169', '665', '173', '411']
['629', '56', '0', '863', '303']
['409', '309', '188', '434', '512']
['571', '672', '633', '736', '801']
['302', '349', '583', '228', '87']
['772', '684', '789', '108', '13']
['906', '203', '935', '35', '202']
['47', '476', '67', '645', '804']
['260', '529', '1', '323', '471']
['3', '909', '338', '648', '915']
['86', '113', '704', '272', '97']
['771', '251', '440', '832', '237']
['554', '189', '314', '184', '383']
['283', '500', '477', '305', '817']
['354', '287', '486', '594', '94']
['112', '310', '489', '822', '391']
['937', '777', '10', '205', '42']
['947', '525', '418', '24', '320']
['66', '646', '884', '519', '838']
