['312', '318', '746', '439', '344', '373', '291', '713', '389', '688', '660', '16', '695', '397', '159', '415', '732', '520', '472', '284', '706', '38', '144', '207', '466', '24', '378', '620', '300', '234']
['169', '187', '546', '52', '123', '608', '503', '649', '647', '175', '287', '393', '462', '543', '229', '721', '387', '588', '385', '158', '586', '88', '249', '349', '271', '443', '434', '211', '384', '673']
['590', '235', '560', '224', '114', '594', '737', '135', '198', '130', '266', '157', '477', '14', '431', '223', '639', '709', '719', '306', '22', '699', '403', '339', '311', '360', '720', '27', '465', '423']
['184', '581', '64', '5', '225', '382', '476', '643', '58', '650', '202', '483', '582', '201', '51', '96', '729', '626', '57', '678', '307', '556', '124', '77', '499', '450', '364', '50', '613', '288']
['427', '532', '451', '402', '210', '689', '408', '498', '446', '345', '54', '118', '571', '127', '745', '485', '277', '704', '263', '94', '536', '101', '405', '208', '254', '575', '245', '658', '710', '75']
['299', '580', '686', '281', '416', '328', '179', '448', '40', '143', '654', '612', '478', '441', '337', '717', '45', '601', '518', '429', '496', '222', '241', '528', '653', '275', '372', '98', '471', '350']
['67', '338', '248', '302', '142', '726', '554', '501', '435', '547', '500', '30', '274', '102', '172', '214', '41', '314', '447', '151', '106', '615', '619', '74', '468', '367', '593', '421', '173', '97']
['354', '481', '741', '268', '727', '322', '701', '681', '47', '262', '85', '63', '273', '221', '659', '442', '541', '141', '610', '412', '722', '438', '484', '691', '473', '73', '388', '651', '474', '256']
['321', '682', '533', '116', '663', '508', '120', '572', '459', '599', '105', '540', '517', '676', '453', '436', '297', '308', '712', '457', '10', '17', '292', '564', '359', '353', '9', '381', '589', '694']
['195', '200', '708', '375', '583', '333', '743', '744', '149', '209', '648', '458', '420', '566', '400', '260', '213', '182', '504', '215', '186', '491', '730', '7', '522', '514', '469', '625', '177', '507']
['734', '464', '183', '623', '109', '331', '716', '303', '390', '395', '132', '565', '690', '725', '551', '426', '370', '82', '509', '42', '497', '140', '440', '506', '411', '43', '238', '309', '250', '119']
['444', '295', '733', '193', '463', '361', '12', '677', '228', '313', '711', '525', '512', '340', '286', '460', '728', '634', '161', '622', '433', '103', '549', '630', '666', '679', '189', '646', '579', '68']
['28', '611', '561', '253', '369', '644', '365', '107', '597', '39', '669', '505', '23', '492', '670', '535', '165', '138', '736', '294', '576', '219', '502', '181', '246', '461', '20', '445', '33', '569']
['212', '162', '137', '154', '269', '276', '99', '538', '488', '327', '609', '205', '29', '376', '585', '738', '604', '553', '164', '490', '668', '544', '1', '603', '449', '587', '407', '352', '341', '136']
['452', '489', '128', '282', '638', '470', '139', '156', '125', '531', '280', '409', '707', '49', '542', '419', '414', '413', '167', '11', '696', '552', '527', '199', '188', '227', '697', '600', '231', '516']
['742', '278', '346', '574', '698', '31', '56', '243', '104', '479', '555', '380', '356', '203', '304', '562', '664', '324', '739', '153', '8', '680', '170', '487', '279', '425', '455', '432', '32', '115']
['66', '398', '749', '55', '247', '15', '4', '320', '606', '230', '621', '700', '598', '19', '110', '78', '48', '640', '87', '148', '163', '25', '404', '185', '631', '171', '577', '596', '342', '53']
['174', '255', '301', '539', '363', '237', '264', '537', '81', '410', '394', '86', '616', '178', '655', '336', '642', '267', '323', '693', '168', '675', '206', '735', '703', '661', '70', '332', '272', '134']
['591', '197', '578', '399', '36', '480', '747', '662', '351', '628', '147', '180', '122', '133', '121', '418', '355', '671', '524', '160', '108', '21', '80', '265', '683', '152', '83', '89', '233', '519']
['44', '665', '396', '605', '657', '191', '117', '454', '624', '570', '368', '548', '627', '475', '748', '362', '61', '232', '69', '718', '317', '641', '607', '526', '417', '494', '521', '113', '702', '95']
['204', '568', '406', '259', '428', '3', '62', '196', '242', '220', '672', '550', '91', '298', '424', '251', '296', '371', '392', '377', '190', '100', '35', '557', '667', '65', '319', '685', '226', '289']
['731', '715', '34', '216', '343', '545', '129', '383', '348', '386', '629', '430', '60', '217', '316', '194', '482', '334', '645', '558', '37', '146', '584', '684', '150', '335', '358', '602', '6', '724']
['176', '637', '131', '112', '714', '0', '76', '325', '270', '495', '26', '46', '71', '111', '59', '155', '145', '261', '374', '563', '692', '523', '652', '258', '366', '617', '467', '218', '72', '330']
['285', '513', '192', '92', '13', '240', '567', '740', '305', '573', '632', '329', '2', '293', '391', '347', '511', '236', '493', '723', '126', '534', '84', '559', '166', '379', '595', '529', '515', '310']
['687', '705', '401', '633', '486', '90', '592', '244', '618', '437', '656', '674', '93', '614', '257', '456', '252', '290', '530', '283', '79', '326', '239', '636', '18', '422', '635', '315', '357', '510']
