['a291', 'a149', 'a251', 'a343', 'a31', 'a95', 'a4', 'a164', 'a40', 'a152', 'a7', 'a181', 'a107', 'a119', 'a338', 'a274', 'a310', 'a161', 'a263', 'a223']
['a388', 'a215', 'a115', 'a94', 'a368', 'a317', 'a224', 'a264', 'a394', 'a69', 'a102', 'a156', 'a184', 'a171', 'a198', 'a86', 'a375', 'a225', 'a318', 'a226']
['a143', 'a242', 'a93', 'a395', 'a141', 'a11', 'a245', 'a129', 'a62', 'a320', 'a203', 'a208', 'a238', 'a367', 'a392', 'a139', 'a24', 'a53', 'a192', 'a178']
['a300', 'a61', 'a75', 'a237', 'a101', 'a307', 'a280', 'a128', 'a311', 'a304', 'a18', 'a344', 'a135', 'a207', 'a13', 'a145', 'a163', 'a74', 'a108', 'a364']
['a397', 'a268', 'a111', 'a12', 'a272', 'a222', 'a383', 'a39', 'a205', 'a299', 'a22', 'a200', 'a297', 'a60', 'a386', 'a281', 'a190', 'a172', 'a276', 'a348']
['a378', 'a277', 'a124', 'a314', 'a49', 'a257', 'a160', 'a72', 'a91', 'a240', 'a195', 'a206', 'a159', 'a231', 'a243', 'a359', 'a54', 'a112', 'a324', 'a10']
['a116', 'a121', 'a89', 'a294', 'a92', 'a187', 'a381', 'a261', 'a110', 'a284', 'a15', 'a252', 'a170', 'a248', 'a114', 'a125', 'a288', 'a340', 'a313', 'a182']
['a3', 'a189', 'a76', 'a373', 'a220', 'a122', 'a265', 'a262', 'a98', 'a286', 'a9', 'a63', 'a331', 'a105', 'a396', 'a66', 'a118', 'a154', 'a309', 'a233']
['a191', 'a342', 'a293', 'a155', 'a352', 'a270', 'a325', 'a84', 'a213', 'a379', 'a332', 'a79', 'a229', 'a106', 'a345', 'a68', 'a253', 'a382', 'a212', 'a279']
['a321', 'a273', 'a38', 'a137', 'a350', 'a258', 'a165', 'a256', 'a34', 'a162', 'a296', 'a14', 'a376', 'a355', 'a70', 'a138', 'a19', 'a169', 'a166', 'a362']
['a41', 'a179', 'a51', 'a147', 'a73', 'a290', 'a46', 'a275', 'a88', 'a351', 'a196', 'a96', 'a260', 'a58', 'a333', 'a148', 'a221', 'a17', 'a103', 'a87']
['a246', 'a259', 'a30', 'a346', 'a180', 'a113', 'a97', 'a315', 'a322', 'a32', 'a301', 'a306', 'a266', 'a385', 'a399', 'a43', 'a177', 'a302', 'a287', 'a16']
['a202', 'a393', 'a374', 'a353', 'a167', 'a123', 'a8', 'a255', 'a282', 'a77', 'a319', 'a120', 'a269', 'a27', 'a1', 'a218', 'a130', 'a199', 'a366', 'a126']
['a361', 'a146', 'a52', 'a127', 'a214', 'a227', 'a35', 'a271', 'a82', 'a303', 'a65', 'a360', 'a21', 'a33', 'a357', 'a249', 'a327', 'a80', 'a50', 'a219']
['a250', 'a55', 'a209', 'a6', 'a117', 'a234', 'a216', 'a371', 'a239', 'a140', 'a232', 'a349', 'a90', 'a2', 'a45', 'a136', 'a254', 'a36', 'a104', 'a67']
['a48', 'a377', 'a47', 'a283', 'a157', 'a99', 'a211', 'a387', 'a109', 'a210', 'a188', 'a354', 'a59', 'a44', 'a194', 'a71', 'a85', 'a335', 'a204', 'a278']
['a133', 'a20', 'a295', 'a337', 'a230', 'a5', 'a173', 'a285', 'a0', 'a197', 'a186', 'a78', 'a26', 'a64', 'a142', 'a235', 'a292', 'a330', 'a236', 'a289']
['a132', 'a389', 'a23', 'a29', 'a153', 'a341', 'a37', 'a336', 'a228', 'a247', 'a356', 'a365', 'a176', 'a151', 'a267', 'a384', 'a144', 'a328', 'a370', 'a326']
['a193', 'a81', 'a398', 'a316', 'a175', 'a134', 'a241', 'a28', 'a158', 'a183', 'a174', 'a347', 'a57', 'a380', 'a185', 'a131', 'a339', 'a334', 'a83', 'a298']
['a390', 'a305', 'a201', 'a56', 'a372', 'a168', 'a363', 'a308', 'a217', 'a42', 'a369', 'a100', 'a244', 'a329', 'a391', 'a25', 'a312', 'a323', 'a358', 'a150']
