['66', '73', '194', '206', '212', '243', '245', '261', '302', '308', '323', '387', '406', '418', '432', '451', '456', '477', '482', '497']
['20', '77', '116', '119', '147', '179', '186', '233', '311', '317', '321', '322', '329', '334', '379', '383', '410', '411', '416', '476']
['14', '15', '63', '125', '180', '190', '226', '229', '236', '251', '272', '300', '316', '327', '396', '405', '423', '453', '468', '485']
['13', '27', '29', '89', '101', '118', '120', '140', '170', '193', '225', '238', '262', '274', '325', '373', '380', '440', '449', '473']
['24', '26', '36', '62', '94', '134', '135', '141', '162', '202', '256', '315', '336', '362', '369', '374', '393', '412', '462', '486']
['32', '33', '38', '57', '83', '115', '126', '191', '196', '198', '210', '220', '257', '258', '263', '288', '305', '345', '489', '499']
['2', '90', '92', '128', '153', '171', '209', '224', '237', '240', '244', '249', '255', '264', '267', '284', '304', '389', '402', '467']
['0', '12', '18', '74', '78', '79', '121', '123', '132', '139', '148', '152', '168', '219', '259', '268', '347', '409', '472', '496']
['9', '19', '48', '84', '110', '146', '159', '178', '199', '201', '221', '253', '301', '303', '314', '358', '376', '391', '399', '415']
['28', '35', '40', '53', '109', '113', '122', '217', '260', '270', '307', '354', '365', '375', '381', '422', '437', '445', '478', '483']
['39', '47', '52', '70', '82', '103', '150', '155', '207', '234', '297', '341', '343', '352', '427', '459', '460', '480', '487', '492']
['25', '75', '105', '129', '136', '169', '195', '232', '310', '332', '340', '377', '408', '424', '450', '464', '466', '475', '490', '494']
['11', '51', '61', '88', '99', '112', '151', '174', '275', '278', '280', '326', '331', '333', '361', '386', '397', '400', '417', '498']
['3', '44', '49', '55', '86', '104', '117', '137', '166', '172', '200', '282', '306', '320', '370', '420', '435', '461', '465', '471']
['10', '41', '68', '96', '98', '100', '111', '114', '142', '165', '211', '218', '230', '330', '382', '390', '441', '448', '474', '491']
['16', '45', '64', '127', '133', '144', '184', '189', '192', '208', '228', '252', '269', '281', '285', '359', '442', '443', '470', '484']
['6', '164', '188', '204', '216', '250', '287', '298', '313', '324', '328', '355', '398', '401', '414', '421', '428', '433', '452', '458']
['69', '80', '154', '160', '161', '235', '271', '283', '348', '353', '363', '366', '429', '431', '434', '436', '438', '447', '454', '495']
['4', '5', '23', '43', '106', '108', '157', '197', '215', '276', '293', '294', '295', '309', '312', '337', '385', '413', '455', '481']
['8', '42', '54', '67', '81', '131', '143', '176', '181', '203', '213', '222', '231', '247', '273', '289', '344', '388', '419', '463']
['56', '85', '130', '149', '156', '173', '214', '227', '241', '254', '279', '286', '291', '296', '339', '351', '426', '444', '446', '479']
['17', '30', '58', '72', '87', '91', '95', '97', '102', '145', '182', '187', '266', '342', '371', '372', '395', '404', '407', '430']
['7', '21', '22', '71', '138', '163', '175', '239', '246', '290', '299', '318', '319', '357', '360', '378', '403', '425', '488', '493']
['37', '60', '93', '107', '124', '177', '183', '185', '205', '223', '242', '248', '350', '356', '364', '367', '384', '392', '394', '439']
['1', '31', '34', '46', '50', '59', '65', '76', '158', '167', '265', '277', '292', '335', '338', '346', '349', '368', '457', '469']
