['83', '113', '245', '257', '278']
['12', '14', '50', '61', '69', '73', '116', '136', '180', '190', '191', '229', '241', '248', '268']
['4', '67', '99', '125', '170', '179', '207', '219', '225', '243', '255', '258', '261', '262', '284']
['18', '64', '96', '106', '114', '118', '134', '144', '154', '164', '189', '204', '210', '220', '221']
['20', '35', '49', '75', '82', '100', '183', '184', '194', '216', '232', '264', '270', '291', '306']
['19', '31', '39', '58', '103', '115', '119', '165', '201', '208', '233', '236', '242', '244', '265']
['13', '24', '34', '41', '53', '97', '117', '127', '129', '131', '142', '195', '237', '269', '296']
['0', '10', '28', '36', '65', '80', '93', '95', '104', '128', '153', '168', '235', '272', '304']
['1', '23', '68', '81', '84', '145', '166', '174', '177', '213', '228', '260', '279', '288', '294']
['2', '42', '74', '85', '105', '139', '140', '143', '146', '150', '159', '171', '178', '223', '276']
['3', '25', '45', '70', '71', '78', '79', '91', '101', '163', '181', '187', '193', '202', '212']
['15', '37', '44', '51', '56', '60', '66', '77', '94', '98', '120', '132', '230', '256', '289']
['16', '29', '90', '102', '107', '110', '169', '218', '226', '231', '249', '250', '280', '290', '292']
['11', '26', '30', '63', '92', '112', '123', '135', '137', '156', '173', '211', '259', '283', '298']
['8', '48', '87', '122', '148', '188', '200', '222', '227', '240', '253', '267', '273', '299', '302']
['21', '55', '86', '89', '108', '126', '130', '133', '141', '147', '152', '198', '214', '251', '297']
['47', '76', '88', '160', '167', '209', '217', '238', '275']
['7', '22', '32', '38', '57', '62', '151', '199', '234', '246', '247', '263', '266', '282', '305']
['17', '27', '72', '158', '161', '176', '192', '196', '197', '205', '215', '252', '271', '286', '301']
['109', '124', '138', '186', '203', '206', '287', '293']
['9', '33', '40', '43', '46', '52', '54', '59', '149', '157', '172', '185', '274', '277', '285']
['5', '6', '111', '121', '155', '162', '175', '182', '224', '239', '254', '281', '295', '300', '303']
