['a40', 'a213', 'a337', 'a391', 'a417', 'a422', 'a428', 'a431', 'a438', 'a525', 'a541', 'a543', 'a650', 'a776', 'a837']
['a2', 'a111', 'a159', 'a229', 'a318', 'a381', 'a421', 'a533', 'a542', 'a546', 'a564', 'a625', 'a795', 'a855', 'a894']
['a3', 'a29', 'a82', 'a139', 'a248', 'a300', 'a370', 'a440', 'a470', 'a654', 'a716', 'a722', 'a784', 'a818', 'a850']
['a14', 'a116', 'a135', 'a261', 'a297', 'a382', 'a521', 'a620', 'a628', 'a696', 'a713', 'a728', 'a783', 'a840', 'a853']
['a17', 'a109', 'a162', 'a270', 'a309', 'a350', 'a356', 'a365', 'a413', 'a491', 'a509', 'a590', 'a619', 'a624', 'a673']
['a18', 'a45', 'a48', 'a104', 'a126', 'a147', 'a149', 'a299', 'a432', 'a495', 'a530', 'a599', 'a603', 'a723', 'a874']
['a86', 'a226', 'a282', 'a334', 'a396', 'a407', 'a490', 'a747', 'a757', 'a761', 'a771', 'a789', 'a826', 'a885', 'a893']
['a15', 'a38', 'a79', 'a92', 'a275', 'a328', 'a405', 'a499', 'a534', 'a571', 'a698', 'a770', 'a799', 'a829', 'a846']
['a16', 'a36', 'a65', 'a127', 'a144', 'a273', 'a351', 'a367', 'a566', 'a691', 'a710', 'a737', 'a745', 'a746', 'a848']
['a119', 'a186', 'a307', 'a411', 'a540', 'a604', 'a617', 'a623', 'a712', 'a732', 'a753', 'a802', 'a805', 'a809', 'a830']
['a11', 'a99', 'a152', 'a182', 'a201', 'a235', 'a276', 'a298', 'a402', 'a443', 'a465', 'a473', 'a512', 'a526', 'a720']
['a6', 'a64', 'a209', 'a217', 'a274', 'a375', 'a406', 'a519', 'a583', 'a585', 'a636', 'a657', 'a754', 'a762', 'a831']
['a130', 'a204', 'a344', 'a371', 'a609', 'a610', 'a615', 'a643', 'a662', 'a706', 'a708', 'a777', 'a827', 'a847', 'a859']
['a108', 'a179', 'a197', 'a227', 'a228', 'a302', 'a305', 'a327', 'a444', 'a474', 'a494', 'a559', 'a740', 'a854', 'a862']
['a49', 'a50', 'a224', 'a263', 'a304', 'a339', 'a456', 'a516', 'a537', 'a700', 'a719', 'a766', 'a858', 'a871', 'a886']
['a4', 'a26', 'a290', 'a317', 'a460', 'a484', 'a527', 'a553', 'a565', 'a606', 'a661', 'a675', 'a735', 'a842', 'a898']
