['gy', 'fa', 'em', 'jn', 'ca', 'pu', 'ho', 'uk', 'ap', 'ni']
['vc', 'l', 'ku', 'qk', 'cb', 'ps', 'hi', 'ad', 'ai', 'am']
['gv', 'gs', 'gd', 'eb', 'rv', 'rm', 'jk', 'cs', 'br', 'og']
['tj', 'p', 'mt', 'll', 'rk', 'kk', 'qt', 'jb', 'iv', 'o']
['tp', 'tm', 'fr', 'fj', 'rl', 'dh', 'dw', 'qn', 'ht', 'ab']
['vu', 'ee', 'ec', 'df', 'qz', 'jr', 'pr', 'bb', 'ov', 'nw']
['tz', 'se', 'jz', 'jt', 'jl', 'cl', 'pg', 'ic', 'oi', 'vq']
['tq', 'vm', 'fe', 'so', 'ly', 'sk', 'kv', 'pe', 'im', 'hk']
['mj', 'ld', 'eo', 'qu', 'wb', 'pk', 'po', 'ik', 'ox', 'al']
['gw', 'md', 'lj', 'li', 're', 'cf', 'if', 'bk', 'uh', 'ah']
['mm', 'si', 'sl', 'ev', 'ra', 'dm', 'ol', 'he', 'uo', 'ar']
['gz', 'sq', 'ey', 'qe', 'ck', 'iq', 'vy', 'bx', 'ob', 'hh']
['gq', 'fz', 'ki', 'qq', 'x', 'qm', 'uv', 'oh', 'hb', 'uu']
['gl', 'ma', 'et', 'ry', 'kl', 'do', 'co', 'od', 'ub', 'aq']
['lk', 'lz', 'kj', 'dg', 'da', 'pi', 'pn', 've', 'hz', 'nz']
['tr', 'mb', 'fh', 'qd', 'jq', 'js', 'cg', 'n', 'bw', 'nl']
['tx', 'fu', 'dp', 'qi', 'vd', 'oy', 'hr', 'hg', 'an', 'm']
['gu', 'me', 'ew', 'ru', 'kf', 'dz', 'pa', 'iz', 'in', 'j']
['mq', 'fd', 'qf', 'pq', 'bj', 'bs', 'hu', 'hj', 'ua', 'ag']
['tl', 'rd', 'ks', 'dj', 'qg', 'pt', 'px', 'ia', 'ut', 'no']
['gr', 'mk', 'jm', 'jg', 'ch', 'vf', 'bd', 'oj', 'ud', 'ns']
['tg', 'mw', 'sw', 'sh', 'ls', 'ea', 'kr', 'bu', 'bz', 'nh']
['fv', 'sn', 'ep', 'rc', 'qw', 'wa', 'iw', 'by', 'au', 'nx']
['v', 'fc', 'su', 'lo', 'ed', 'eu', 'jw', 'os', 'ul', 'av']
['to', 'tb', 'fp', 'rr', 'qh', 'r', 'vb', 'be', 'us', 'aa']
['gi', 'mr', 'rt', 'jy', 'cj', 'cz', 'pj', 'oq', 'nj', 'ng']
['fq', 'el', 'es', 'ko', 'jx', 'bi', 'hl', 'hc', 'nm', 'u']
['ty', 'tk', 'sp', 'la', 'kp', 'pb', 'on', 'oc', 'uq', 'nr']
['tf', 'fo', 'ql', 'pv', 'ir', 'io', 'oo', 'oz', 'ue', 'nu']
['vk', 'ml', 'vw', 'fy', 'sv', 'dl', 'db', 'ds', 'dq', 'ow']
['gn', 'ms', 'fi', 'qs', 'ju', 'cr', 'pw', 'iy', 'aw', 'nb']
['vi', 'vn', 'vo', 'mh', 'vv', 'ei', 'rs', 'rh', 'w', 'cm']
['gm', 'sy', 'st', 'sb', 'jp', 'ij', 'bq', 'z', 'ay', 'ne']
['tt', 'sa', 'sg', 'sf', 'kg', 'qo', 'jo', 'um', 'ui', 'as']
['ge', 'gc', 'th', 'ti', 'rx', 'du', 'pf', 'hn', 'un', 'af']
['tw', 'mo', 'vt', 'lv', 'dx', 'h', 'ci', 'hd', 'nk', 'nf']
['go', 'gh', 'fb', 'sj', 'lf', 'eh', 'dk', 'cp', 'pz', 'op']
['sc', 'rp', 'ky', 'qj', 'jd', 'ce', 'cd', 'bo', 'om', 'uy']
['mu', 'mx', 'vx', 'rw', 'kt', 'cy', 'hs', 'hm', 'ug', 'nd']
['ts', 'vh', 'mg', 'fs', 'qy', 'vr', 'bt', 'aj', 'az', 'nt']
['my', 'ex', 'kz', 's', 'cn', 'ph', 'ig', 'bh', 'ok', 'ax']
['tn', 'le', 'je', 'cu', 'pl', 'd', 'vs', 'bp', 'ot', 'ac']
['gx', 'ga', 'va', 'fx', 'lh', 'eg', 'rn', 'ka', 'i', 'hy']
['ta', 'f', 'mv', 'rg', 'cc', 'ii', 'ib', 'bc', 'hv', 'nn']
['gp', 'qx', 'er', 'rb', 'g', 'dn', 'jv', 'jc', 'of', 'ux']
['te', 'mz', 'lx', 'ej', 'kn', 'km', 'qp', 'qr', 'pc', 'hp']
['ff', 'sx', 'lm', 'kb', 'dd', 'pp', 'oe', 'ae', 'nc', 'np']
['fl', 'en', 'kw', 'dv', 'dt', 'jj', 'c', 'pd', 'hw', 'up']
['mp', 'ss', 'lc', 'lr', 'ez', 'dr', 'jh', 'cx', 'bg', 'bl']
['gg', 'gf', 'fw', 'kc', 'ke', 'qv', 'it', 'bf', 'bn', 'nv']
['tu', 'tc', 'fk', 'fm', 'lu', 'kh', 'cv', 'ie', 'ny', 'nq']
['k', 'sr', 'q', 'sd', 'ro', 'b', 'py', 'ih', 'bm', 'hq']
['mc', 'sm', 'lb', 'ln', 'lp', 'kq', 'di', 'dc', 'ix', 'vp']
['mn', 'ft', 'dy', 'cq', 'cw', 'il', 'y', 't', 'ha', 'ur']
['gb', 'mf', 'lw', 'rz', 'kd', 'qa', 'uf', 'ct', 'is', 'uj']
['gt', 'vj', 'a', 'sz', 'kx', 'de', 'ji', 'ip', 'hf', 'uw']
['gj', 'vl', 'lg', 'lt', 'eq', 'rf', 'qb', 'iu', 'uc', 'na']
['gk', 'mi', 'ek', 'rj', 'jf', 'ja', 'vg', 'zz', 'or', 'uz']
['tv', 'td', 'oa', 'fg', 'ef', 'bv', 'ou', 'ao', 'at', 'e']
['vz', 'fn', 'lq', 'rq', 'ri', 'qc', 'pm', 'ba', 'hx', 'ak']
