['3', '11', '27', '50', '87', '94', '105', '121', '186', '203', '208', '306', '307', '319', '320', '328', '333', '356', '458', '480', '486', '507', '520', '546', '552', '568', '641', '652', '686', '699', '759', '803', '834', '850', '902', '920', '925', '945', '976', '981']
['12', '13', '33', '64', '65', '81', '109', '126', '136', '157', '237', '238', '254', '264', '285', '291', '302', '324', '360', '368', '398', '409', '444', '478', '519', '542', '560', '677', '712', '747', '784', '800', '825', '828', '829', '859', '864', '866', '874', '888']
['31', '34', '98', '99', '103', '117', '123', '132', '165', '180', '231', '235', '239', '240', '269', '289', '297', '313', '339', '357', '359', '411', '416', '457', '499', '500', '535', '539', '610', '613', '622', '723', '732', '777', '794', '811', '855', '877', '914', '953']
['0', '82', '129', '204', '232', '265', '277', '311', '347', '381', '384', '438', '439', '489', '550', '562', '569', '572', '575', '582', '595', '620', '643', '647', '668', '674', '682', '700', '703', '708', '728', '748', '753', '765', '840', '878', '886', '937', '960', '974']
['15', '16', '41', '56', '135', '145', '148', '166', '201', '215', '226', '250', '258', '292', '318', '327', '453', '488', '496', '579', '611', '623', '642', '654', '657', '685', '688', '725', '770', '774', '775', '802', '822', '837', '868', '913', '933', '941', '944', '949']
['5', '14', '73', '91', '104', '108', '142', '196', '241', '246', '346', '383', '385', '413', '424', '425', '429', '447', '474', '487', '490', '497', '502', '511', '540', '577', '584', '587', '593', '664', '710', '742', '789', '821', '843', '871', '893', '923', '934', '964']
['17', '40', '57', '79', '106', '125', '128', '146', '214', '227', '275', '308', '345', '366', '369', '386', '410', '418', '431', '476', '504', '505', '524', '532', '617', '626', '631', '632', '640', '644', '690', '734', '751', '781', '795', '831', '911', '950', '967', '993']
['4', '20', '35', '42', '69', '118', '137', '141', '152', '213', '271', '273', '293', '312', '361', '417', '448', '449', '461', '503', '536', '567', '583', '627', '649', '691', '695', '705', '746', '824', '839', '842', '858', '873', '881', '898', '912', '921', '961', '973']
['6', '10', '21', '22', '61', '100', '144', '147', '151', '175', '225', '301', '362', '373', '375', '401', '412', '421', '441', '459', '477', '518', '558', '581', '589', '612', '638', '666', '675', '681', '697', '740', '744', '804', '814', '818', '838', '947', '963', '970']
['1', '45', '52', '58', '60', '84', '113', '134', '185', '198', '229', '283', '337', '371', '390', '402', '434', '437', '450', '473', '481', '484', '491', '495', '512', '528', '585', '588', '661', '737', '766', '788', '799', '830', '879', '907', '922', '984', '987', '996']
['26', '66', '72', '75', '124', '153', '171', '184', '192', '210', '230', '234', '290', '296', '304', '329', '341', '343', '348', '349', '355', '428', '435', '513', '530', '533', '534', '564', '592', '607', '801', '809', '849', '880', '906', '952', '956', '975', '982', '997']
['70', '78', '80', '83', '86', '127', '173', '206', '236', '251', '322', '326', '367', '382', '391', '443', '494', '508', '549', '594', '636', '648', '665', '683', '694', '702', '719', '733', '741', '776', '816', '820', '927', '929', '932', '938', '962', '972', '980', '992']
['18', '102', '115', '156', '170', '172', '188', '199', '221', '281', '298', '363', '370', '389', '456', '506', '509', '531', '543', '544', '545', '573', '599', '603', '605', '616', '663', '667', '706', '773', '791', '792', '841', '865', '885', '899', '943', '958', '977', '985']
['24', '36', '71', '160', '163', '202', '233', '249', '263', '286', '404', '405', '407', '436', '451', '455', '514', '527', '554', '555', '578', '609', '650', '659', '672', '676', '678', '684', '687', '689', '709', '711', '730', '769', '827', '835', '851', '901', '904', '926']
['32', '114', '167', '179', '182', '191', '200', '209', '212', '220', '243', '253', '272', '287', '299', '309', '310', '336', '365', '393', '403', '423', '517', '547', '618', '692', '707', '716', '721', '729', '745', '785', '807', '815', '903', '918', '939', '968', '983', '995']
