['a215', 'a587', 'a389', 'a41', 'a268', 'a259', 'a245', 'a82', 'a290', 'a123', 'a280', 'a46', 'a185', 'a238', 'a357', 'a623', 'a396', 'a114', 'a71', 'a125', 'a161', 'a172', 'a526', 'a313', 'a326']
['a486', 'a472', 'a111', 'a294', 'a283', 'a398', 'a258', 'a475', 'a262', 'a0', 'a545', 'a610', 'a528', 'a428', 'a33', 'a210', 'a1', 'a318', 'a54', 'a263', 'a45', 'a192', 'a204', 'a491', 'a219']
['a538', 'a460', 'a613', 'a394', 'a525', 'a442', 'a173', 'a183', 'a618', 'a453', 'a409', 'a197', 'a551', 'a195', 'a461', 'a529', 'a58', 'a365', 'a329', 'a385', 'a292', 'a281', 'a276', 'a566', 'a445']
['a116', 'a295', 'a435', 'a521', 'a38', 'a448', 'a513', 'a572', 'a594', 'a22', 'a216', 'a407', 'a106', 'a371', 'a96', 'a333', 'a267', 'a221', 'a423', 'a436', 'a499', 'a328', 'a535', 'a335', 'a67']
['a321', 'a20', 'a506', 'a608', 'a69', 'a469', 'a543', 'a561', 'a217', 'a282', 'a42', 'a297', 'a422', 'a196', 'a26', 'a140', 'a417', 'a190', 'a226', 'a532', 'a309', 'a616', 'a507', 'a348', 'a358']
['a562', 'a484', 'a75', 'a374', 'a316', 'a353', 'a214', 'a487', 'a168', 'a492', 'a286', 'a424', 'a489', 'a315', 'a249', 'a595', 'a151', 'a66', 'a399', 'a80', 'a104', 'a302', 'a287', 'a619', 'a429']
['a94', 'a624', 'a179', 'a337', 'a325', 'a432', 'a332', 'a581', 'a579', 'a170', 'a152', 'a437', 'a386', 'a508', 'a194', 'a349', 'a159', 'a415', 'a330', 'a457', 'a584', 'a324', 'a447', 'a550', 'a16']
['a48', 'a413', 'a597', 'a444', 'a272', 'a537', 'a350', 'a157', 'a257', 'a523', 'a343', 'a205', 'a265', 'a520', 'a256', 'a271', 'a556', 'a174', 'a380', 'a239', 'a548', 'a392', 'a253', 'a340', 'a50']
['a202', 'a450', 'a293', 'a124', 'a155', 'a425', 'a314', 'a193', 'a567', 'a578', 'a8', 'a184', 'a113', 'a228', 'a473', 'a522', 'a206', 'a463', 'a301', 'a414', 'a312', 'a564', 'a126', 'a279', 'a289']
['a300', 'a470', 'a596', 'a141', 'a149', 'a72', 'a485', 'a583', 'a164', 'a60', 'a592', 'a319', 'a260', 'a462', 'a439', 'a59', 'a533', 'a546', 'a510', 'a359', 'a24', 'a136', 'a568', 'a83', 'a606']
['a47', 'a598', 'a534', 'a102', 'a122', 'a165', 'a483', 'a299', 'a509', 'a79', 'a612', 'a95', 'a18', 'a418', 'a248', 'a198', 'a617', 'a354', 'a384', 'a474', 'a480', 'a574', 'a236', 'a454', 'a494']
['a242', 'a393', 'a502', 'a5', 'a363', 'a28', 'a622', 'a554', 'a603', 'a9', 'a211', 'a336', 'a208', 'a536', 'a412', 'a455', 'a232', 'a64', 'a32', 'a497', 'a212', 'a144', 'a431', 'a575', 'a411']
['a390', 'a305', 'a395', 'a39', 'a187', 'a381', 'a482', 'a569', 'a128', 'a240', 'a21', 'a14', 'a7', 'a322', 'a74', 'a108', 'a17', 'a464', 'a549', 'a288', 'a500', 'a327', 'a514', 'a490', 'a87']
['a559', 'a527', 'a189', 'a121', 'a76', 'a373', 'a209', 'a227', 'a467', 'a34', 'a162', 'a512', 'a78', 'a367', 'a607', 'a97', 'a145', 'a518', 'a139', 'a451', 'a496', 'a620', 'a334', 'a169', 'a323']
['a273', 'a459', 'a615', 'a419', 'a246', 'a167', 'a588', 'a542', 'a6', 'a590', 'a539', 'a156', 'a98', 'a311', 'a171', 'a252', 'a77', 'a387', 'a356', 'a135', 'a401', 'a244', 'a391', 'a25', 'a10']
['a277', 'a264', 'a346', 'a56', 'a237', 'a213', 'a403', 'a31', 'a600', 'a369', 'a186', 'a586', 'a181', 'a44', 'a163', 'a107', 'a501', 'a243', 'a90', 'a274', 'a547', 'a402', 'a466', 'a182', 'a178']
['a378', 'a352', 'a29', 'a589', 'a146', 'a52', 'a563', 'a427', 'a147', 'a560', 'a73', 'a241', 'a91', 'a37', 'a576', 'a585', 'a345', 'a68', 'a120', 'a488', 'a235', 'a479', 'a118', 'a541', 'a166']
