['8', '15', '16', '668', '701', '741', '747', '753', '776', '793']
['178', '201', '203', '220', '228', '247', '505', '523', '531', '551']
['129', '236', '250', '258', '286', '295', '430', '475', '492', '495']
['87', '90', '161', '166', '186', '488', '535', '584', '598', '601']
['176', '254', '256', '266', '270', '282', '294', '477', '487', '500']
['106', '173', '217', '297', '337', '346', '357', '433', '440', '442']
['14', '21', '30', '734', '743', '746', '764', '770', '784', '789']
['130', '189', '196', '225', '229', '249', '447', '490', '536', '549']
['252', '322', '340', '342', '372', '374', '393', '394', '396', '403']
['192', '219', '235', '265', '274', '406', '470', '515', '516', '525']
['36', '85', '119', '120', '121', '577', '632', '638', '656', '674']
['0', '138', '147', '162', '163', '455', '471', '534', '619', '620']
['37', '58', '60', '66', '538', '642', '664', '672', '696', '716']
['3', '9', '27', '545', '720', '724', '762', '782', '785', '795']
['326', '353', '378', '384', '385', '387', '389', '399', '400', '410']
['142', '143', '188', '213', '251', '255', '465', '502', '509', '529']
['195', '226', '227', '234', '242', '269', '496', '512', '514', '522']
['35', '67', '92', '97', '510', '612', '624', '643', '661', '693']
['77', '122', '131', '154', '574', '575', '585', '589', '618', '621']
['48', '290', '325', '361', '379', '390', '391', '395', '402', '404']
['99', '167', '185', '207', '506', '527', '530', '570', '586', '590']
['11', '49', '69', '73', '654', '673', '677', '692', '706', '712']
['168', '276', '327', '333', '341', '350', '364', '370', '417', '421']
['17', '20', '653', '732', '765', '766', '773', '779', '786', '791']
['54', '55', '80', '158', '177', '449', '576', '603', '605', '622']
['98', '289', '343', '348', '355', '359', '365', '414', '424', '434']
['62', '75', '81', '83', '501', '614', '616', '678', '681', '704']
['2', '10', '32', '711', '755', '756', '761', '771', '790', '794']
['42', '65', '102', '111', '126', '508', '641', '659', '670', '671']
['187', '259', '264', '273', '283', '302', '466', '474', '493', '497']
['128', '198', '215', '231', '267', '268', '456', '458', '482', '521']
['104', '110', '132', '133', '588', '609', '634', '639', '648', '655']
['123', '184', '194', '232', '244', '469', '517', '528', '533', '544']
['7', '22', '636', '667', '689', '726', '767', '777', '787', '796']
['330', '344', '358', '369', '377', '383', '386', '388', '392', '405']
['172', '179', '208', '222', '238', '284', '435', '478', '486', '546']
['44', '50', '51', '63', '649', '652', '682', '718', '727', '730']
['4', '684', '697', '722', '745', '772', '775', '792', '798', '799']
['19', '24', '33', '573', '717', '725', '731', '738', '748', '758']
['124', '141', '153', '174', '175', '524', '541', '580', '599', '613']
['237', '279', '287', '291', '292', '304', '409', '450', '476', '491']
['260', '332', '347', '351', '354', '366', '380', '415', '416', '418']
['262', '293', '298', '299', '315', '454', '459', '473', '479', '480']
['94', '116', '157', '190', '485', '511', '552', '554', '592', '600']
['45', '64', '72', '625', '669', '676', '694', '702', '719', '723']
['96', '103', '109', '146', '149', '461', '628', '630', '640', '647']
['183', '349', '367', '368', '373', '375', '382', '408', '411', '412']
['134', '156', '160', '169', '171', '532', '553', '559', '563', '611']
['243', '288', '311', '334', '360', '362', '363', '407', '413', '425']
['13', '43', '47', '591', '644', '714', '721', '735', '739', '744']
['112', '139', '148', '151', '209', '224', '498', '565', '568', '572']
['18', '646', '703', '709', '737', '759', '763', '774', '781', '797']
['46', '52', '53', '650', '660', '690', '699', '710', '715', '740']
['210', '309', '312', '329', '336', '338', '428', '446', '452', '460']
['12', '25', '26', '472', '729', '733', '736', '750', '768', '778']
['135', '212', '216', '233', '257', '484', '489', '499', '520', '543']
['40', '41', '86', '88', '610', '623', '658', '662', '691', '698']
['218', '221', '261', '278', '307', '321', '420', '431', '437', '444']
['155', '164', '181', '202', '211', '562', '564', '567', '581', '583']
['193', '199', '300', '303', '308', '313', '427', '448', '481', '483']
['1', '31', '700', '749', '751', '752', '760', '769', '783', '788']
['34', '39', '71', '114', '560', '566', '604', '645', '675', '685']
['204', '245', '263', '314', '316', '319', '328', '426', '453', '468']
['137', '191', '197', '285', '306', '310', '423', '432', '438', '451']
['5', '6', '28', '665', '695', '728', '742', '754', '757', '780']
['56', '115', '127', '140', '241', '457', '539', '548', '555', '657']
['277', '323', '335', '339', '371', '376', '381', '397', '398', '401']
['76', '79', '101', '152', '540', '542', '579', '596', '608', '637']
['23', '144', '180', '182', '526', '578', '582', '587', '594', '597']
['61', '70', '82', '84', '615', '663', '679', '687', '688', '705']
['93', '105', '145', '159', '571', '593', '602', '606', '617', '629']
['150', '214', '253', '301', '320', '352', '422', '429', '439', '445']
['113', '136', '205', '223', '230', '494', '504', '519', '557', '561']
['68', '91', '107', '108', '607', '626', '627', '631', '633', '683']
['239', '246', '296', '305', '317', '318', '443', '462', '463', '464']
['240', '271', '275', '324', '331', '345', '356', '419', '436', '441']
['57', '59', '74', '78', '635', '666', '686', '707', '708', '713']
['29', '38', '89', '100', '556', '558', '569', '595', '651', '680']
['95', '118', '125', '165', '200', '248', '467', '537', '547', '550']
['117', '170', '206', '272', '280', '281', '503', '507', '513', '518']
