['G58', 'E98', 'E109']
['51', '55', '66']
['E2', 'D44', 'B66']
['D55', 'E55', 'A89']
['E21', 'A33', 'B33']
['B62', 'C77', 'G95']
['E4', 'G4', 'B103']
['A14', 'B85', 'G105']
['D21', 'D86', 'B100']
['G31', 'F52', 'A69']
['A18', 'A83', 'D100']
['E14', 'E57', 'A104']
['F12', 'F36', 'B81']
['E48', 'G48', 'G104']
['A28', 'G51', 'A75']
['B26', 'A87', 'D87']
['C14', 'A34', 'F34']
['E26', 'F26', 'H26']
['B14', 'E53', 'H53']
['F13', 'G22', 'F66']
['A10', 'G92', 'C96']
['A46', 'A98', 'C98']
['C17', 'G67', 'H102']
['D39', 'A103', 'C103']
['B45', 'C68', 'E95']
['D29', '56', '64']
['B77', 'D77', 'E77']
['A56', 'D56', 'C78']
['A64', 'D64', 'G82']
['A43', 'D43', 'F82']
['A42', 'B106', 'G115']
['A78', 'D78', 'B109']
['G44', 'B101', 'F101']
['B71', 'B87', 'C89']
['H47', 'F58', 'F114']
['C45', 'B84', 'D106']
['F0', 'F15', 'D18']
['B29', 'A77', 'H103']
['B2', 'E34', 'H51']
['E17', 'C94', 'F97']
['E35', 'H35', 'B79']
['C7', 'D67', 'H104']
['E92', 'G97', 'D99']
['E32', 'H55', 'B102']
['C2', 'C3', 'G66']
['D15', 'D47', 'D61']
['C37', 'F38', 'H95']
['E12', 'E101', 'G101']
['E20', 'G20', 'H20']
['B0', 'E41', 'F56']
['G15', 'B89', 'H113']
['F11', 'H96', 'D115']
['A39', 'F39', 'E106']
['E45', 'F45', 'F83']
['B44', 'C51', 'H57']
['A53', 'E62', 'H62']
['A57', 'B57', 'B60']
['C58', 'D58', 'E58']
['G35', 'B56', 'E100']
['F81', 'G91', 'G113']
['H36', 'D73', 'E73']
['A30', 'B30']
['C1', 'F63', 'F80']
['G64', 'F100', 'G107']
['A54', 'C54', 'F54']
['C15', 'D69', 'H72']
['B9', 'A40', 'C40']
['E8', 'G46', 'E102']
['C110', 'A111', 'C111']
['F20', 'A93', 'B93']
['E30', 'F65', 'D72']
['1', '26', '29']
['D49', 'A67', 'B67']
['C20', 'D20', 'C90']
['H56', 'H63', 'H76']
['F92', '4', '14']
['F22', 'D103', 'E103']
['A32', 'B32', 'C79']
['E42', 'A58', 'H112']
['F74', 'F103', 'E113']
['E15', 'A35', 'F35']
['G90', '25', '33']
['F53', 'G68', '17']
['H5', 'G33', 'A99']
['C8', 'B75', 'D84']
['H58', 'D63', 'E79']
['G24', 'C67', 'G112']
['A7', 'D7', 'G87']
['C70', 'D70', 'C82']
['B10', 'E99', 'G99']
['E3', 'G8', 'D113']
['24', '27', '45']
['F19', 'H24', 'G77']
['A12', 'B12', 'E63']
['E89', 'H89', 'H90']
['E59', 'G59', 'H114']
['B38', 'H41', 'F108']
['H19', 'B23', 'D23']
['H6', 'G30', 'C63']
['B76', 'B90', 'D96']
['H11', 'H12', 'A95']
['A25', 'D25', 'G102']
['A21', 'C55', '5']
['H65', 'H66', 'H70']
['58', '61', '63']
['G6', 'F28', 'F75']
['53', '54', '69']
['G25', 'G79', 'E93']
['G21', 'E115', 'H115']
['D13', 'D32', 'C76']
['F77', '22', '46']
['A66', 'D66', 'A84']
['G49', 'A109', 'D109']
['2', '7', '37']
['F4', 'A102', 'F109']
['0', '12', '40']
['A8', 'D8', 'F14']
['H9', 'A13', 'C13']
['F6', 'G41', 'D90']
['F1', 'G54', 'C114']
['H78', 'C93', 'D93']
['D0', 'G39', 'G93']
['B34', 'C75', 'F78']
['E40', 'F40', 'E70']
['B69', 'C69', 'B98']
['C24', 'E76', 'G76']
['E67', 'A97', 'B97']
['H33', 'F61', 'E97']
['E10', 'H10', 'B46']
['A24', 'F24', 'H49']
['G2', 'C29', 'B88']
['B15', 'G56', 'B83']
['E27', 'G27', 'D50']
['D17', 'E18', 'F18']
['A49', 'E84', 'F84']
['G38', '13', '38']
['H4', 'E25', 'E50']
['D2', 'C16', 'G47']
['H50', 'G60', '3']
['F16', 'H48', 'B107']
['B20', 'D26', 'B63']
['H40', 'F59', 'G74']
['B13', 'G52', 'A61']
['B8', 'C49', 'B115']
['G19', 'G28', 'G94']
['H7', 'C48', 'E52']
['E1', 'C26', 'G40']
['H1', 'H2', 'G70']
['E72', 'B110', 'D110']
['F93', 'E107', 'H107']
['E0', 'H0', 'B54']
['C80', 'A81', 'C81']
['A5', 'G69', 'H71']
['A44', 'G75', 'G89']
['A22', 'B22', 'C100']
['A0', 'A71', 'C71']
['E43', 'C64', 'C87']
['C36', 'C39', 'D68']
['A31', 'F31', 'G62']
['H25', 'F37', 'H84']
['D36', 'A106', 'F106']
['E23', 'G23', 'E87']
['B21', 'F42', 'C104']
['A62', 'C62', 'D62']
['A76', 'F76', 'F112']
['A1', 'B1', 'H83']
['F23', '67', '68']
['D3', 'B24', 'A26']
['H8', 'F30', 'B114']
['F69', 'B94', 'A101']
['H59', 'B72', '65']
['A4', 'D4', 'E36']
['A6', 'A45', 'B70']
['C6', '35', '36']
['C72', 'A73', 'C73']
['B53', 'D88', 'B112']
['A91', 'B91', 'E108']
['B43', 'H64', 'D80']
['H31', 'H32', 'E83']
['F49', 'D54', 'E68']
['H54', 'D114', 'E114']
['E13', 'G18', 'H27']
['B64', 'D92', 'C101']
['F17', '6', '30']
['F3', 'F32', 'G72']
['B52', 'D52', 'F98']
['G32', 'G42', 'H61']
['E24', 'F68', 'A110']
