['a440', 'a445', 'a87', 'a449', 'a490', 'a499', 'a448', 'a205', 'a443', 'a425']
['a30', 'a39', 'a260', 'a137', 'a209', 'a383', 'a196', 'a442', 'a194', 'a360']
['a374', 'a382', 'a131', 'a134', 'a371', 'a370', 'a372', 'a410', 'a428', 'a188']
['a292', 'a90', 'a62', 'a55', 'a63', 'a96', 'a331', 'a95', 'a112', 'a340']
['a83', 'a85', 'a89', 'a195', 'a220', 'a199', 'a57', 'a493', 'a155', 'a309']
['a20', 'a290', 'a291', 'a91', 'a415', 'a418', 'a417', 'a460', 'a462', 'a311']
['a250', 'a254', 'a255', 'a259', 'a251', 'a320', 'a325', 'a323', 'a329', 'a321']
['a3', 'a377', 'a40', 'a120', 'a128', 'a121', 'a125', 'a7', 'a42', 'a230']
['a38', 'a478', 'a472', 'a274', 'a310', 'a319', 'a313', 'a315', 'a314', 'a312']
['a0', 'a1', 'a9', 'a4', 'a32', 'a77', 'a387', 'a110', 'a367', 'a458']
['a48', 'a47', 'a44', 'a447', 'a183', 'a186', 'a182', 'a184', 'a408', 'a116']
['a65', 'a68', 'a67', 'a100', 'a109', 'a105', 'a106', 'a101', 'a103', 'a253']
['a52', 'a33', 'a37', 'a139', 'a492', 'a247', 'a244', 'a411', 'a419', 'a414']
['a12', 'a16', 'a17', 'a409', 'a430', 'a431', 'a433', 'a435', 'a434', 'a468']
['a268', 'a390', 'a398', 'a221', 'a231', 'a237', 'a236', 'a238', 'a233', 'a239']
['a10', 'a264', 'a270', 'a277', 'a279', 'a271', 'a273', 'a369', 'a436', 'a278']
['a473', 'a272', 'a276', 'a275', 'a300', 'a308', 'a303', 'a480', 'a483', 'a481']
['a73', 'a86', 'a395', 'a72', 'a82', 'a267', 'a223', 'a475', 'a380', 'a366']
['a11', 'a19', 'a18', 'a14', 'a444', 'a141', 'a142', 'a149', 'a143', 'a406']
['a150', 'a153', 'a152', 'a157', 'a450', 'a451', 'a457', 'a459', 'a453', 'a23']
['a8', 'a6', 'a136', 'a200', 'a161', 'a288', 'a287', 'a282', 'a285', 'a327']
['a50', 'a498', 'a45', 'a41', 'a49', 'a43', 'a130', 'a265', 'a269', 'a262']
['a93', 'a88', 'a51', 'a293', 'a373', 'a69', 'a299', 'a397', 'a206', 'a97']
['a389', 'a350', 'a354', 'a352', 'a359', 'a357', 'a356', 'a358', 'a355', 'a2']
['a225', 'a133', 'a81', 'a222', 'a224', 'a132', 'a245', 'a456', 'a351', 'a353']
['a234', 'a341', 'a349', 'a344', 'a346', 'a347', 'a343', 'a345', 'a412', 'a416']
['a5', 'a166', 'a165', 'a169', 'a163', 'a167', 'a489', 'a487', 'a484', 'a104']
['a494', 'a66', 'a178', 'a179', 'a181', 'a217', 'a400', 'a404', 'a405', 'a173']
['a159', 'a113', 'a114', 'a119', 'a115', 'a117', 'a232', 'a402', 'a401', 'a407']
['a381', 'a207', 'a476', 'a384', 'a122', 'a316', 'a317', 'a318', 'a488', 'a482']
['a497', 'a129', 'a126', 'a127', 'a123', 'a256', 'a342', 'a348', 'a289', 'a403']
['a378', 'a59', 'a53', 'a54', 'a170', 'a258', 'a252', 'a257', 'a454', 'a240']
['a333', 'a336', 'a338', 'a193', 'a84', 'a334', 'a227', 'a108', 'a107', 'a452']
['a491', 'a496', 'a376', 'a302', 'a301', 'a304', 'a324', 'a328', 'a326', 'a437']
['a36', 'a266', 'a263', 'a151', 'a332', 'a393', 'a294', 'a176', 'a177', 'a174']
['a64', 'a94', 'a140', 'a147', 'a144', 'a145', 'a248', 'a424', 'a455', 'a148']
['a24', 'a27', 'a171', 'a175', 'a281', 'a286', 'a283', 'a465', 'a102', 'a322']
['a335', 'a379', 'a364', 'a429', 'a423', 'a422', 'a439', 'a461', 'a486', 'a13']
['a375', 'a46', 'a391', 'a241', 'a243', 'a246', 'a307', 'a427', 'a464', 'a485']
['a31', 'a79', 'a261', 'a339', 'a242', 'a249', 'a305', 'a306', 'a438', 'a432']
['a385', 'a197', 'a158', 'a60', 'a388', 'a198', 'a191', 'a190', 'a192', 'a189']
['a21', 'a61', 'a441', 'a446', 'a99', 'a111', 'a215', 'a466', 'a463', 'a469']
['a203', 'a154', 'a180', 'a187', 'a361', 'a368', 'a362', 'a365', 'a363', 'a15']
['a228', 'a98', 'a202', 'a226', 'a229', 'a78', 'a70', 'a204', 'a337', 'a74']
['a470', 'a296', 'a80', 'a474', 'a471', 'a479', 'a495', 'a172', 'a219', 'a164']
['a29', 'a34', 'a56', 'a58', 'a160', 'a168', 'a162', 'a235', 'a124', 'a214']
['a26', 'a22', 'a25', 'a28', 'a156', 'a477', 'a208', 'a392', 'a330', 'a146']
['a35', 'a386', 'a76', 'a201', 'a138', 'a135', 'a185', 'a420', 'a426', 'a421']
['a71', 'a298', 'a92', 'a295', 'a75', 'a297', 'a280', 'a284', 'a467', 'a413']
['a394', 'a396', 'a399', 'a118', 'a210', 'a213', 'a216', 'a212', 'a211', 'a218']
