['215', '220', '222', '262', '302', '304', '395', '618', '698', '704', '860', '900', '902']
['14', '21', '63', '65', '104', '305', '425', '429', '431', '488', '506', '681', '823']
['58', '171', '178', '335', '340', '456', '481', '537', '659', '776', '858', '898', '982']
['81', '231', '247', '438', '444', '449', '680', '713', '718', '800', '834', '878', '882']
['3', '75', '195', '234', '237', '253', '268', '474', '477', '676', '716', '719', '998']
['29', '150', '152', '226', '312', '465', '468', '547', '628', '632', '634', '750', '830']
['94', '123', '319', '321', '323', '325', '326', '327', '328', '341', '805', '917', '959']
['60', '66', '342', '409', '586', '589', '592', '594', '635', '665', '738', '747', '992']
['25', '139', '145', '147', '210', '213', '216', '217', '221', '223', '227', '229', '705']
['51', '91', '131', '407', '527', '559', '569', '649', '769', '809', '811', '929', '931']
['35', '115', '155', '157', '317', '357', '479', '631', '673', '831', '873', '953', '955']
['33', '37', '73', '76', '80', '153', '515', '555', '671', '711', '791', '820', '957']
['39', '45', '102', '173', '180', '279', '533', '615', '620', '639', '643', '655', '977']
['188', '424', '464', '504', '510', '514', '544', '591', '626', '648', '664', '786', '946']
['137', '140', '142', '148', '502', '542', '582', '584', '744', '748', '784', '826', '904']
['31', '71', '311', '313', '316', '467', '473', '587', '789', '827', '829', '909', '949']
['34', '114', '116', '236', '243', '276', '356', '396', '478', '518', '558', '712', '954']
['2', '5', '162', '352', '838', '840', '843', '845', '971', '976', '990', '997', '1000']
['99', '101', '297', '300', '617', '699', '737', '739', '742', '779', '941', '944', '947']
['4', '26', '44', '84', '182', '246', '486', '543', '568', '638', '640', '642', '922']
['194', '434', '548', '550', '551', '554', '621', '623', '630', '636', '785', '832', '915']
['53', '57', '291', '333', '493', '573', '575', '693', '695', '735', '775', '777', '935']
['54', '174', '254', '256', '572', '576', '616', '692', '774', '852', '854', '894', '934']
['12', '92', '127', '163', '169', '283', '588', '605', '609', '645', '650', '927', '932']
['55', '61', '103', '138', '143', '545', '653', '813', '816', '818', '819', '821', '958']
['56', '98', '124', '338', '420', '460', '535', '538', '540', '660', '662', '822', '984']
['513', '564', '570', '715', '717', '721', '757', '839', '879', '886', '919', '923', '926']
['93', '141', '295', '415', '495', '657', '697', '700', '817', '857', '859', '939', '979']
['22', '106', '113', '144', '146', '149', '151', '306', '308', '803', '824', '864', '942']
['64', '68', '110', '224', '386', '426', '428', '466', '666', '668', '706', '788', '908']
['6', '10', '86', '128', '132', '168', '330', '334', '366', '372', '450', '684', '804']
['122', '296', '322', '498', '505', '973', '980', '983', '985', '986', '987', '989', '993']
['20', '42', '88', '204', '324', '484', '490', '526', '606', '686', '888', '968', '970']
['7', '43', '59', '62', '205', '209', '413', '485', '679', '683', '685', '767', '771']
['24', '28', '30', '32', '74', '167', '249', '329', '411', '670', '696', '835', '996']
['36', '156', '196', '238', '318', '358', '600', '714', '760', '910', '913', '914', '916']
['41', '47', '201', '292', '359', '361', '441', '489', '492', '496', '521', '761', '841']
['27', '67', '69', '183', '189', '265', '387', '389', '511', '625', '867', '905', '907']
['95', '251', '252', '255', '437', '453', '455', '457', '497', '499', '691', '815', '937']
['186', '192', '193', '197', '235', '239', '271', '275', '315', '517', '793', '799', '833']
['49', '121', '129', '445', '525', '565', '567', '607', '647', '687', '807', '887', '889']
['191', '507', '549', '629', '633', '667', '669', '709', '869', '871', '911', '951', '991']
['77', '83', '125', '159', '199', '439', '443', '483', '523', '603', '723', '765', '925']
['190', '228', '230', '233', '270', '310', '390', '432', '472', '512', '672', '678', '948']
['40', '109', '211', '274', '787', '790', '792', '794', '796', '798', '912', '918', '952']
['185', '207', '242', '519', '553', '563', '641', '885', '890', '961', '963', '965', '967']
['50', '90', '170', '172', '176', '214', '332', '532', '688', '694', '734', '768', '808']
['1', '154', '355', '435', '557', '593', '597', '599', '601', '675', '837', '995', '999']
['8', '48', '79', '136', '244', '248', '250', '370', '410', '646', '652', '732', '928']
['161', '164', '241', '580', '585', '627', '702', '707', '782', '849', '862', '883', '938']
['363', '433', '561', '577', '595', '795', '797', '801', '877', '881', '899', '921', '975']
['52', '288', '293', '419', '608', '610', '612', '614', '619', '654', '690', '727', '812']
['160', '360', '400', '402', '440', '442', '446', '560', '562', '762', '802', '842', '844']
['82', '202', '282', '362', '920', '960', '962', '969', '974', '978', '981', '988', '994']
['19', '105', '111', '309', '388', '391', '393', '397', '398', '475', '566', '755', '880']
['18', '96', '218', '298', '454', '458', '494', '574', '656', '856', '896', '936', '940']
['85', '87', '277', '278', '280', '281', '284', '285', '286', '287', '289', '290', '367']
['206', '406', '408', '448', '528', '552', '674', '730', '770', '810', '850', '892', '930']
['133', '175', '245', '725', '726', '728', '729', '731', '733', '736', '848', '853', '855']
['107', '126', '187', '261', '267', '307', '463', '469', '651', '825', '865', '945']
['200', '320', '482', '522', '602', '644', '682', '722', '759', '764', '766', '884', '964']
['135', '166', '365', '368', '369', '371', '373', '374', '375', '417', '500', '924', '966']
['46', '354', '404', '436', '476', '556', '596', '598', '604', '720', '724', '758', '972']
['347', '349', '401', '403', '509', '746', '749', '751', '752', '753', '756', '763', '874']
['38', '78', '130', '134', '158', '165', '198', '240', '487', '520', '689', '876', '956']
['118', '120', '203', '399', '405', '470', '480', '740', '743', '745', '773', '847', '851']
['17', '97', '100', '181', '257', '264', '336', '337', '339', '343', '346', '579', '901']
['344', '345', '348', '350', '351', '353', '508', '529', '710', '891', '893', '895', '897']
['11', '212', '294', '412', '414', '416', '418', '536', '578', '778', '780', '783', '836']
['70', '72', '112', '117', '119', '232', '272', '314', '392', '394', '754', '828', '950']
['177', '179', '219', '299', '301', '303', '376', '378', '381', '501', '503', '663', '703']
['9', '13', '15', '16', '89', '331', '451', '491', '531', '534', '571', '613', '933']
['108', '421', '423', '427', '430', '590', '772', '861', '866', '868', '870', '872', '875']
['208', '447', '452', '459', '461', '524', '530', '541', '583', '611', '637', '846', '943']
['23', '225', '259', '516', '539', '581', '661', '701', '741', '781', '863', '903', '906']
['184', '364', '377', '379', '380', '382', '383', '384', '385', '546', '677', '708', '806']
['258', '260', '263', '266', '269', '273', '422', '462', '471', '622', '624', '658', '814']
