['70', '377', '428', '643', '679']
['153', '411', '413', '501', '623']
['264', '389', '525', '597', '634']
['191', '480', '646', '675', '840']
['146', '327', '427', '859', '873']
['193', '450', '596', '674', '889']
['4', '309', '452', '749', '811']
['267', '528', '784', '792', '880']
['181', '463', '514', '635', '746']
['54', '61', '433', '484', '815']
['147', '444', '513', '608', '851']
['362', '376', '399', '824', '956']
['214', '354', '595', '914', '970']
['53', '212', '276', '395', '464']
['336', '468', '539', '609', '922']
['337', '813', '838', '878', '995']
['62', '185', '447', '653', '909']
['133', '140', '291', '417', '604']
['270', '302', '370', '871', '931']
['106', '143', '416', '451', '567']
['24', '27', '104', '348', '592']
['148', '288', '466', '735', '997']
['36', '74', '315', '562', '624']
['89', '304', '479', '584', '983']
['284', '532', '582', '625', '887']
['256', '353', '412', '713', '938']
['48', '79', '98', '747', '805']
['443', '507', '508', '540', '601']
['119', '485', '531', '740', '861']
['91', '436', '761', '774', '806']
['369', '431', '538', '607', '760']
['215', '384', '522', '707', '929']
['44', '301', '650', '790', '945']
['138', '388', '446', '537', '798']
['31', '100', '213', '349', '639']
['125', '226', '277', '551', '928']
['221', '321', '754', '836', '988']
['132', '157', '676', '923', '973']
['262', '616', '636', '737', '978']
['57', '492', '622', '644', '668']
['20', '345', '663', '685', '712']
['76', '175', '241', '282', '959']
['99', '299', '346', '885', '888']
['71', '239', '578', '998', '999']
['43', '187', '585', '640', '795']
['169', '238', '310', '535', '763']
['415', '726', '776', '828', '943']
['113', '329', '722', '918', '946']
['58', '409', '530', '696', '826']
['26', '111', '423', '471', '583']
['41', '90', '97', '545', '590']
['64', '380', '408', '610', '641']
['168', '258', '414', '495', '771']
['155', '184', '260', '322', '934']
['312', '470', '494', '618', '996']
['512', '579', '617', '812', '975']
['130', '174', '202', '486', '602']
['352', '489', '563', '564', '734']
['92', '332', '516', '553', '700']
['8', '374', '704', '890', '908']
['60', '209', '250', '589', '982']
['220', '272', '453', '474', '555']
['9', '556', '775', '787', '800']
['420', '482', '529', '731', '957']
['194', '218', '554', '745', '977']
['17', '286', '292', '614', '791']
['56', '124', '364', '442', '500']
['445', '725', '786', '953', '985']
['206', '807', '808', '900', '989']
['275', '303', '581', '631', '739']
['164', '263', '392', '703', '830']
['600', '842', '898', '899', '976']
['248', '311', '662', '709', '990']
['14', '300', '343', '716', '869']
['80', '612', '823', '955', '968']
['32', '261', '523', '664', '847']
['11', '12', '371', '448', '678']
['145', '434', '863', '866', '875']
['154', '170', '681', '697', '803']
['171', '208', '323', '758', '794']
['5', '368', '719', '906', '947']
['75', '163', '246', '285', '897']
['699', '796', '971', '972', '974']
['139', '273', '472', '729', '950']
['126', '244', '255', '659', '886']
['573', '665', '738', '804', '981']
['112', '458', '690', '781', '958']
['365', '406', '588', '797', '952']
['22', '673', '691', '819', '927']
['123', '151', '326', '694', '750']
['7', '247', '483', '536', '715']
['13', '210', '231', '367', '933']
['66', '67', '424', '454', '669']
['19', '29', '831', '939', '940']
['192', '497', '548', '717', '718']
['235', '236', '341', '344', '698']
['375', '487', '493', '566', '714']
['403', '429', '524', '846', '858']
['252', '253', '254', '405', '991']
['129', '233', '789', '814', '862']
['281', '283', '298', '478', '593']
