['516', '922', '297', '256', '722', '507', '522', '909', '608', '938', '222', '14', '605', '763', '759', '291', '560', '392', '533', '523', '34', '639', '698', '740', '611', '937', '947', '911', '606', '430', '233', '318', '594', '959', '141', '563', '674', '614', '306', '497', '217', '152', '958', '413', '142', '491', '375', '226']
['437', '877', '448', '126', '166', '194', '699', '304', '435', '358', '423', '666', '486', '944', '575', '327', '503', '487', '833', '703', '900', '282', '38', '799', '115', '78', '224', '659', '48', '54', '383', '510', '316', '390', '354', '361', '886', '479', '51', '706', '17', '388', '785', '87', '509', '244', '382', '186']
['728', '852', '537', '308', '401', '162', '53', '189', '707', '414', '145', '374', '830', '201', '544', '403', '646', '696', '278', '156', '82', '808', '585', '274', '402', '348', '157', '883', '183', '663', '328', '356', '69', '360', '84', '779', '76', '464', '239', '774', '324', '474', '317', '818', '495', '208', '752', '399']
['75', '834', '294', '618', '915', '218', '344', '767', '387', '480', '597', '450', '462', '512', '506', '249', '539', '40', '454', '743', '200', '570', '178', '772', '721', '16', '572', '241', '415', '869', '864', '581', '905', '198', '591', '956', '404', '849', '255', '400', '705', '283', '494', '678', '436', '565', '1', '782']
['953', '513', '95', '624', '422', '456', '334', '623', '564', '926', '842', '670', '418', '598', '133', '898', '484', '590', '514', '730', '683', '712', '68', '252', '269', '8', '769', '550', '321', '25', '234', '287', '551', '273', '32', '337', '742', '129', '446', '357', '410', '303', '634', '417', '672', '612', '320', '367']
['378', '773', '225', '557', '120', '15', '906', '85', '619', '266', '28', '633', '554', '190', '127', '822', '70', '616', '824', '733', '771', '817', '573', '622', '175', '238', '343', '681', '214', '265', '466', '809', '890', '866', '576', '865', '246', '333', '292', '859', '589', '577', '875', '777', '749', '652', '766', '955']
['881', '179', '658', '535', '345', '586', '894', '482', '952', '52', '812', '829', '373', '529', '839', '236', '583', '828', '23', '719', '880', '125', '928', '237', '632', '946', '856', '543', '470', '305', '24', '625', '671', '508', '682', '587', '240', '60', '827', '902', '620', '19', '277', '326', '713', '793', '693', '33']
['119', '954', '44', '131', '235', '664', '121', '27', '596', '643', '428', '882', '715', '276', '795', '745', '310', '792', '268', '920', '789', '370', '498', '919', '566', '384', '574', '153', '36', '30', '814', '787', '747', '288', '107', '835', '870', '416', '212', '609', '191', '296', '558', '841', '638', '140', '704', '117']
['801', '151', '807', '346', '656', '876', '547', '63', '434', '110', '655', '755', '150', '690', '764', '555', '71', '438', '248', '62', '94', '170', '485', '734', '72', '735', '37', '406', '927', '936', '112', '219', '298', '173', '838', '299', '805', '815', '389', '751', '778', '901', '912', '351', '644', '477', '545', '258']
['892', '536', '889', '770', '568', '579', '531', '216', '851', '118', '165', '737', '135', '73', '20', '684', '331', '736', '810', '775', '552', '243', '381', '192', '694', '10', '458', '379', '874', '447', '13', '593', '260', '868', '710', '727', '499', '89', '627', '630', '461', '873', '206', '147', '478', '207', '160', '116']
['854', '270', '242', '26', '11', '272', '924', '35', '311', '831', '195', '893', '885', '584', '786', '635', '323', '511', '504', '654', '500', '660', '457', '930', '376', '607', '66', '493', '615', '455', '409', '158', '653', '621', '546', '897', '804', '104', '753', '933', '879', '761', '280', '262', '530', '313', '813', '254']
['532', '540', '471', '245', '441', '526', '105', '662', '50', '181', '365', '215', '340', '64', '556', '524', '631', '903', '861', '65', '368', '154', '432', '442', '661', '184', '380', '695', '227', '49', '957', '781', '475', '187', '108', '369', '210', '394', '708', '649', '301', '860', '917', '132', '800', '155', '932', '429']
