['45', '149', '233', '441', '452', '459']
['1', '3', '8', '288', '359', '468']
['83', '227', '287', '297', '330', '401']
['157', '180', '196', '235', '282', '339']
['29', '70', '190', '245', '417', '447']
['121', '123', '148', '356', '363', '443']
['32', '62', '90', '154', '219', '291']
['52', '142', '203', '215', '371', '498']
['65', '280', '294', '353', '396', '499']
['7', '163', '169', '354', '388', '406']
['73', '86', '289', '344', '440', '458']
['27', '81', '313', '343', '382', '415']
['143', '270', '299', '307', '409', '410']
['80', '160', '182', '187', '274', '322']
['24', '50', '82', '101', '165', '460']
['15', '56', '176', '253', '370']
['118', '207', '320', '364', '483', '486']
['22', '79', '124', '375', '427', '476']
['39', '131', '220', '266', '378', '488']
['26', '129', '139', '326', '338', '422']
['25', '88', '145', '168', '285', '315']
['12', '13', '44', '262', '265', '298']
['42', '49', '161', '318', '469', '494']
['63', '115', '150', '232', '241', '269']
['87', '304', '311', '324', '445', '465']
['55', '84', '178', '179', '181', '195']
['140', '249', '312', '323', '334', '439']
['16', '120', '438', '470', '485', '493']
['189', '197', '278', '302', '348', '349']
['28', '122', '130', '183', '186', '385']
['14', '188', '191', '295', '421', '432']
['100', '112', '125', '199', '260', '392']
['38', '40', '273', '360', '391', '466']
['97', '133', '193', '218', '398', '408']
['57', '208', '257', '327', '430', '489']
['19', '34', '95', '345']
['18', '93', '300', '383', '405', '444']
['21', '59', '67', '221', '263', '325']
['4', '146', '158', '352', '450', '462']
['23', '53', '206', '234', '283', '451']
['110', '128', '177', '223', '355', '400']
['2', '5', '194', '237', '381', '496']
['76', '135', '216', '217', '226', '404']
['127', '151', '198', '255', '264', '377']
['106', '114', '134', '296', '357', '425']
['113', '126', '242', '329', '389', '411']
['61', '159', '192', '309', '442', '480']
['9', '60', '85', '211', '231', '402']
['43', '201', '213', '240', '435', '495']
['174', '268', '275', '336', '412', '463']
['72', '202', '308', '335', '423', '446']
['51', '69', '173', '185', '362', '399']
['0', '109', '137', '243', '301', '478']
['68', '105', '251', '328', '386', '418']
['104', '152', '317', '426', '448', '484']
['31', '71', '395', '419', '467', '474']
['33', '99', '144', '337', '350', '407']
['92', '212', '229', '342', '380', '413']
['58', '141', '267', '397', '414', '481']
['30', '74', '107', '258', '333', '433']
['116', '238', '367', '372', '376', '482']
['103', '205', '224', '236', '431', '464']
['17', '78', '167', '250', '416']
['20', '41', '230', '259', '374', '384']
['36', '54', '214', '222', '321', '332']
['276', '341', '393', '424', '456', '471']
['171', '175', '228', '252', '379', '436']
['117', '204', '246', '247', '293', '490']
['138', '153', '271', '310', '390', '455']
['162', '239', '281', '316', '373', '475']
['35', '75', '89', '98', '155', '286']
['6', '11', '136', '248', '358', '461']
['261', '351', '429', '449', '477', '491']
['166', '225', '254', '303', '346', '479']
['37', '77', '96', '210', '347', '365']
['47', '64', '102', '156', '434', '457']
['48', '172', '292', '306', '369', '453']
['164', '184', '244', '366', '387', '403']
['200', '314', '394', '420', '473', '487']
['46', '119', '277', '279', '368', '492']
['91', '94', '111', '170', '256', '472']
['66', '331', '361', '428', '437', '497']
['147', '272', '305', '319', '340', '454']
['10', '108', '132', '209', '284', '290']
