['s0f17k10', 's0f12k0', 's0f9k21', 's0f5k17', 's0f10k0', 's0f12k14', 's0f0k9', 's0f13k19', 's1f20k4', 's0f10k12', 's1f5k3', 's1f16k1', 's0f15k11', 's1f7k2', 's1f0k8', 's0f4k0', 's0f21k7', 's1f1k1', 's0f12k22', 's0f10k15', 's1f17k7', 's0f1k15', 's0f5k15', 's0f5k19']
['s0f8k10', 's0f21k2', 's0f4k11', 's0f11k8', 's0f13k22', 's0f19k19', 's0f9k13', 's0f13k4', 's0f12k3', 's0f22k5', 's0f14k22', 's1f23k10', 's1f8k6', 's0f9k10', 's1f17k6', 's0f22k0', 's0f1k9', 's0f22k17', 's0f9k15', 's1f22k8', 's1f18k9', 's1f4k0', 's1f3k0', 's0f15k10']
['s1f3k3', 's1f16k4', 's0f7k8', 's0f23k7', 's0f20k14', 's0f17k7', 's1f19k6', 's1f22k5', 's0f13k16', 's1f18k3', 's1f15k1', 's1f22k0', 's0f12k7', 's0f22k1', 's0f10k21', 's0f10k2', 's0f10k7', 's0f17k4', 's0f17k12', 's0f15k16', 's0f1k3', 's0f20k8', 's1f2k5', 's0f2k13']
['s0f14k0', 's0f5k18', 's0f12k11', 's0f8k15', 's1f0k4', 's0f8k1', 's0f10k17', 's1f14k1', 's0f23k18', 's0f22k12', 's1f16k5', 's0f13k9', 's0f19k21', 's0f10k20', 's1f21k2', 's1f11k5', 's1f11k2', 's1f10k4', 's0f16k0', 's0f3k18', 's1f6k10', 's0f19k8', 's1f0k2', 's0f10k19']
['s1f20k3', 's0f10k1', 's0f19k13', 's0f11k10', 's0f20k18', 's1f22k3', 's0f6k2', 's1f11k8', 's0f13k1', 's1f16k6', 's0f17k19', 's0f9k0', 's1f22k2', 's1f23k5', 's1f8k9', 's0f22k15', 's0f4k15', 's0f12k19', 's1f10k7', 's0f0k5', 's0f15k19', 's1f3k5', 's1f5k4', 's0f22k18']
['s0f16k19', 's0f1k21', 's0f8k22', 's0f4k5', 's0f8k17', 's0f16k7', 's0f10k10', 's1f21k0', 's0f20k16', 's1f9k3', 's0f19k5', 's0f14k15', 's0f8k2', 's1f21k3', 's0f13k18', 's0f8k6', 's0f5k13', 's1f5k9', 's0f3k8', 's1f8k8', 's0f18k8', 's1f6k4', 's0f14k4', 's1f23k4']
['s1f19k3', 's0f14k11', 's1f23k0', 's0f9k8', 's1f19k8', 's1f16k9', 's0f15k9', 's0f1k14', 's0f6k18', 's0f10k14', 's1f1k7', 's1f19k0', 's1f7k3', 's1f19k7', 's0f3k0', 's0f20k12', 's1f19k2', 's0f23k21', 's1f19p', 's0f9k16', 's1f15k0', 's1f10k6', 's1f19k5', 's1f19k10']
['s0f18k16', 's1f3k8', 's0f18k21', 's0f18k6', 's0f18k0', 's0f18k15', 's0f7k16', 's1f12k8', 's0f4k16', 's0f18k9', 's0f18k3', 's0f18k11', 's0f18k20', 's0f18k7', 's0f18k18', 's0f18k22', 's0f18p', 's0f18k12', 's1f6k7', 's1f13k7', 's0f14k3', 's0f18k19', 's0f18k13', 's0f18k4']
['s0f13k12', 's1f7k1', 's1f21k7', 's1f4k1', 's0f15k21', 's1f18k8', 's0f7k7', 's0f3k21', 's1f9k5', 's1f16k10', 's0f7k4', 's0f2k5', 's0f2k16', 's0f21k19', 's1f18k7', 's1f4k3', 's0f11k0', 's0f1k5', 's0f22k19', 's0f23k13', 's0f17k14', 's0f7k18', 's1f6k9', 's0f22k21']
['s0f9k12', 's1f13k3', 's0f9k5', 's1f12k4', 's1f15k5', 's1f11k4', 's1f15k6', 's0f19k14', 's0f17k21', 's1f23k8', 's0f0k20', 's0f8k18', 's0f22k22', 's0f14k9', 's1f0k5', 's0f12k1', 's1f1k9', 's0f5k3', 's0f6k6', 's0f13k20', 's0f19k10', 's0f18k1', 's0f15k14', 's0f17k1']
['s0f23k8', 's0f22k2', 's1f0k0', 's1f13k5', 's0f6k1', 's0f17k11', 's0f13k6', 's1f17k4', 's0f1k4', 's0f5k8', 's1f7k10', 's0f23k10', 's0f0k7', 's0f19k0', 's0f15k0', 's1f12k1', 's0f13k15', 's1f21k5', 's0f9k17', 's0f14k21', 's0f0k4', 's1f20k0', 's1f1k5', 's0f3k1']
['s1f2k10', 's1f4k10', 's0f16k21', 's0f3k12', 's1f20k7', 's0f16k6', 's0f4k13', 's1f2k3', 's1f3k10', 's1f14k7', 's0f10k22', 's0f23k1', 's1f6k3', 's1f1k3', 's0f16k16', 's0f19k3', 's1f19k9', 's0f13k17', 's0f10k4', 's0f22k16', 's1f0k9', 's1f9k9', 's0f19k1', 's1f5k10']
['s1f2k9', 's0f0k12', 's1f22k6', 's1f5k6', 's0f16k9', 's1f18k2', 's1f10k1', 's0f7k13', 's0f17k5', 's0f1k7', 's0f5k14', 's1f15k2', 's0f8k21', 's0f19k15', 's0f10k8', 's0f4k17', 's0f5k0', 's0f13k11', 's0f7k20', 's1f23k6', 's0f2k20', 's0f6k14', 's0f7k14', 's0f12k8']
['s0f2k15', 's0f2k3', 's0f2k11', 's0f2k1', 's0f16k22', 's0f2k9', 's0f2k17', 's1f7k7', 's0f2k12', 's0f4k1', 's0f22k10', 's0f4k4', 's0f14k5', 's0f2k6', 's0f20k17', 's1f18k5', 's0f2k7', 's0f2k14', 's1f18k1', 's0f2k10', 's0f2p', 's0f2k0', 's0f22k8', 's0f6k7']
['s0f1k11', 's0f15k1', 's0f2k22', 's1f1k10', 's0f6k5', 's1f22k10', 's0f21k1', 's0f9k1', 's0f14k18', 's0f20k1', 's0f6k19', 's1f12k9', 's0f8k20', 's1f2k8', 's1f3k2', 's0f7k1', 's0f12k21', 's0f6k11', 's0f10k11', 's0f6k4', 's0f15k8', 's0f22k20', 's1f14k9', 's1f18k4']
['s1f3k1', 's0f4p', 's0f4k20', 's0f16k14', 's0f16k15', 's0f4k21', 's0f4k8', 's0f16k20', 's0f4k18', 's1f8k4', 's1f9k10', 's0f4k3', 's0f16k5', 's0f4k9', 's0f16k3', 's0f4k6', 's0f16k10', 's0f16k18', 's0f4k10', 's0f16p', 's0f16k4', 's0f4k7', 's0f4k19', 's0f16k2']
['s1f8k3', 's1f6k2', 's0f22k6', 's0f22k7', 's1f23k1', 's0f19k20', 's0f9k9', 's0f7k3', 's0f1k19', 's1f11k1', 's1f0k10', 's0f16k13', 's1f6k8', 's0f11k3', 's1f13k8', 's0f12k2', 's1f20k9', 's1f1k8', 's0f0k3', 's1f12k10', 's0f19k4', 's1f22k9', 's0f20k7', 's1f9k4']
['s0f6k13', 's0f23k0', 's0f21k16', 's0f21k20', 's0f21k13', 's0f21k22', 's0f21k5', 's0f21k15', 's0f21k4', 's0f21k11', 's0f21k3', 's1f14k6', 's0f14k1', 's0f21k21', 's0f21k14', 's1f3k4', 's0f21p', 's0f17k2', 's0f15k12', 's0f21k12', 's0f12k9', 's0f21k10', 's0f21k9', 's0f5k6']
['s1f14k0', 's0f9k19', 's1f4k9', 's1f21k9', 's0f2k4', 's0f15k20', 's0f1k6', 's1f14k2', 's0f7k21', 's0f12k16', 's1f6k0', 's1f20k1', 's0f6k9', 's0f10k18', 's0f5k9', 's1f13k1', 's0f9k4', 's0f20k21', 's0f7k12', 's1f17k9', 's1f4k5', 's1f18k0', 's1f6k5', 's0f22k11']
['s0f14k20', 's0f15k18', 's0f17k18', 's0f8k9', 's1f9k7', 's0f2k8', 's0f0k13', 's0f7k2', 's0f9k14', 's0f1k17', 's0f18k5', 's0f20k6', 's0f14k19', 's0f14k6', 's1f15k8', 's1f8k2', 's0f15k7', 's0f8k5', 's0f3k6', 's0f9k11', 's0f17k13', 's0f16k17', 's1f20k2', 's1f2k2']
['s0f8k16', 's1f15k7', 's1f17k10', 's0f0k16', 's0f5k10', 's1f23k3', 's0f15k4', 's0f1k22', 's0f5k16', 's0f0k1', 's0f14k17', 's0f13k5', 's0f7k19', 's0f19k12', 's0f5k5', 's1f16k2', 's0f8k19', 's1f14k8', 's1f19k1', 's0f15k6', 's0f1k2', 's1f19k4', 's0f7k5', 's1f14k3']
['s0f8k4', 's0f1p', 's0f7p', 's0f6p', 's0f8p', 's0f6k0', 's0f17p', 's0f20p', 's0f6k3', 's0f22k3', 's0f20k19', 's0f14k8', 's0f7k15', 's0f22p', 's0f9p', 's0f19p', 's0f14p', 's0f10k9', 's0f10p', 's0f6k20', 's0f13p', 's0f12p', 's0f5p', 's0f15p']
