['228', '230', '277']
['43', '197', '663']
['569', '734', '844']
['213', '214', '559']
['87', '88', '89']
['109', '687', '697']
['56', '459', '572']
['222', '224', '553']
['312', '313', '498']
['206', '602', '851']
['169', '235', '415']
['441', '443', '684']
['514', '699', '745']
['280', '821', '826']
['380', '508', '710']
['175', '655', '850']
['295', '500', '718']
['482', '534', '536']
['59', '125', '268']
['219', '221', '648']
['360', '329', '361']
['574', '708', '709']
['77', '185', '849']
['167', '396', '397']
['60', '63', '451']
['99', '100', '453']
['261', '594', '770']
['21', '24', '251']
['393', '394', '797']
['362', '516', '518']
['52', '55', '731']
['57', '58', '359']
['31', '276', '539']
['61', '807', '808']
['774', '776', '827']
['92', '128', '322']
['74', '786', '789']
['253', '315', '448']
['377', '571', '780']
['768', '771', '773']
['26', '62', '246']
['190', '402', '403']
['101', '652', '843']
['275', '810', '813']
['210', '527', '764']
['258', '293', '549']
['558', '585', '698']
['207', '209', '748']
['183', '265', '561']
['330', '332', '723']
['142', '189', '192']
['40', '304', '738']
['357', '702', '703']
['34', '130', '351']
['193', '544', '581']
['294', '705', '706']
['469', '608', '772']
['632', '747', '749']
['318', '319', '509']
['96', '102', '779']
['321', '694', '737']
['53', '338', '418']
['247', '711', '714']
['388', '437', '463']
['788', '834', '836']
['674', '682', '811']
['27', '29', '242']
['103', '455', '552']
['535', '769', '828']
['85', '612', '613']
['90', '139', '676']
['597', '735', '746']
['7', '42', '832']
['146', '528', '530']
['120', '121', '391']
['5', '239', '550']
['334', '554', '599']
['461', '545', '727']
['136', '846', '848']
['257', '342', '345']
['323', '392', '630']
['178', '187', '356']
['328', '407', '647']
['16', '200', '430']
['521', '686', '722']
['419', '672', '685']
['45', '378', '661']
['282', '547', '590']
['161', '215', '427']
['50', '202', '754']
['301', '480', '607']
['14', '260', '503']
['204', '483', '485']
['325', '327', '523']
['336', '346', '701']
['65', '543', '637']
['157', '519', '542']
['68', '158', '653']
['439', '474', '475']
['237', '238', '584']
['801', '802', '803']
['269', '782', '815']
['199', '618', '620']
['477', '478', '733']
['15', '454', '691']
['127', '259', '423']
['621', '762', '765']
['44', '720', '665']
['385', '855', '856']
['290', '460', '517']
['212', '604', '796']
['300', '302', '358']
['229', '445', '854']
['124', '564', '567']
['389', '651', '724']
['135', '678', '681']
['20', '758', '763']
['472', '610', '799']
['429', '431', '434']
['331', '649', '806']
['28', '819', '822']
['198', '201', '660']
['37', '108', '110']
['30', '32', '659']
['205', '278', '583']
['750', '751', '814']
['72', '75', '804']
['525', '526', '643']
['231', '233', '234']
['70', '184', '551']
['36', '38', '223']
['646', '729', '792']
['10', '413', '689']
['664', '742', '853']
['245', '372', '373']
['347', '624', '625']
['18', '375', '376']
['94', '151', '244']
['227', '760', '787']
['270', '272', '744']
['117', '118', '226']
['366', '367', '696']
['216', '218', '656']
['476', '595', '704']
['369', '370', '371']
['570', '573', '598']
['2', '107', '757']
['84', '435', '438']
['78', '353', '515']
['492', '494', '495']
['105', '426', '428']
['412', '505', '623']
['112', '287', '520']
['165', '333', '335']
['444', '446', '680']
['363', '365', '405']
['309', '566', '857']
['17', '79', '600']
['76', '289', '675']
['93', '95', '619']
['13', '606', '707']
['119', '176', '344']
['307', '406', '818']
['225', '288', '340']
['588', '589', '591']
['11', '134', '565']
['636', '638', '781']
['617', '633', '635']
['211', '592', '712']
['39', '41', '122']
['106', '408', '409']
['80', '537', '540']
['262', '560', '677']
['160', '303', '305']
['456', '458', '700']
['137', '609', '650']
['35', '138', '140']
['464', '568', '820']
['252', '728', '837']
['129', '132', '274']
['179', '440', '462']
['33', '533', '858']
['457', '577', '640']
['511', '753', '756']
['156', '164', '862']
['628', '692', '861']
['19', '473', '845']
['194', '562', '838']
['486', '487', '835']
['449', '465', '468']
['217', '386', '538']
['4', '324', '326']
['25', '162', '497']
['417', '668', '721']
['339', '341', '400']
['739', '766', '839']
['297', '496', '644']
['12', '64', '740']
['49', '163', '830']
['793', '840', '841']
['504', '506', '741']
['126', '575', '593']
['66', '67', '69']
['795', '798', '800']
['286', '725', '732']
['442', '531', '532']
['220', '693', '695']
['191', '824', '847']
['188', '343', '563']
['23', '556', '596']
['420', '421', '671']
['149', '154', '374']
['470', '717', '719']
['195', '196', '467']
['48', '51', '471']
['264', '266', '267']
['71', '642', '645']
['283', '436', '615']
['97', '337', '401']
['586', '639', '641']
['54', '666', '667']
['114', '350', '622']
['398', '629', '715']
['507', '510', '512']
['316', '578', '809']
['153', '155', '181']
['285', '432', '433']
['8', '382', '404']
['0', '1', '3']
['116', '256', '670']
['395', '654', '657']
['159', '273', '501']
['603', '605', '690']
['481', '673', '784']
['452', '587', '791']
['255', '314', '631']
['82', '203', '794']
['240', '241', '243']
['131', '308', '425']
['81', '144', '145']
['173', '669', '842']
['354', '616', '812']
['296', '422', '490']
['168', '170', '310']
['759', '777', '778']
['166', '488', '499']
['626', '627', '831']
['387', '390', '611']
['172', '254', '679']
['133', '232', '410']
['6', '9', '83']
['355', '579', '582']
['548', '726', '825']
['249', '250', '399']
['104', '320', '541']
['86', '348', '349']
['601', '755', '833']
['381', '384', '513']
['115', '368', '823']
['147', '150', '152']
['411', '414', '416']
['98', '484', '493']
['236', '713', '817']
['291', '292', '775']
['171', '174', '248']
['208', '634', '767']
['177', '180', '383']
['502', '761', '805']
['91', '479', '790']
['522', '524', '716']
['683', '730', '752']
['111', '113', '424']
['123', '311', '529']
['352', '489', '491']
['141', '148', '466']
['182', '783', '785']
['317', '662', '859']
['143', '447', '450']
['73', '263', '863']
['688', '743', '860']
['306', '576', '658']
['271', '379', '614']
['555', '557', '736']
['47', '284', '816']
['299', '580', '852']
['22', '298', '364']
['46', '279', '281']
['186', '546', '829']
