['51', '90', '115', '120', '169', '186', '200', '201', '293', '297', '340', '428', '454', '515', '525', '540', '640', '682', '693', '762', '769']
['9', '38', '63', '82', '98', '114', '194', '227', '270', '294', '331', '368', '390', '480', '570', '581', '590', '600', '685', '770', '771']
['4', '64', '93', '231', '237', '271', '279', '353', '385', '426', '433', '489', '516', '539', '557', '607', '643', '674', '691', '781', '792']
['70', '80', '103', '110', '145', '188', '197', '207', '226', '239', '280', '311', '421', '444', '521', '538', '628', '668', '736', '791', '794']
['12', '45', '47', '85', '113', '117', '152', '161', '221', '272', '336', '371', '411', '460', '488', '490', '543', '574', '592', '680', '790']
['27', '41', '62', '84', '94', '143', '164', '170', '177', '193', '195', '214', '253', '303', '350', '438', '463', '482', '520', '679', '749']
['135', '146', '151', '165', '205', '246', '264', '306', '365', '384', '566', '588', '611', '635', '636', '662', '670', '675', '719', '728', '798']
['18', '234', '236', '283', '284', '308', '333', '357', '394', '396', '397', '402', '473', '503', '582', '608', '633', '765', '774', '793', '796']
['136', '198', '210', '410', '492', '496', '506', '508', '587', '594', '710']
['2', '30', '50', '66', '96', '101', '142', '173', '178', '212', '247', '268', '381', '382', '442', '451', '452', '466', '609', '676', '730']
['17', '73', '126', '147', '217', '233', '257', '262', '323', '335', '337', '342', '362', '363', '407', '419', '423', '430', '537', '653', '655']
['92', '108', '148', '155', '261', '278', '300', '309', '327', '348', '356', '380', '386', '393', '400', '418', '453', '511', '577', '623', '786']
['13', '31', '134', '238', '296', '450', '471', '494', '497', '549', '558', '563', '584', '610', '614', '618', '625', '634', '688', '740', '772']
['99', '162', '187', '330', '366', '414', '472', '475', '491', '547', '548', '565', '571', '578', '585', '606', '619', '649', '654', '732', '735']
['76', '81', '119', '202', '203', '241', '263', '334', '564', '663', '700', '712', '714', '721', '724', '727', '744', '764', '773', '779', '800']
['74', '97', '109', '118', '132', '154', '255', '307', '338', '345', '420', '462', '474', '505', '546', '632', '638', '687', '722', '731', '742']
['16', '57', '122', '133', '141', '166', '182', '196', '215', '223', '285', '298', '403', '533', '647', '669', '697', '705', '725', '751', '754']
['156', '158', '172', '184', '191', '286', '351', '354', '387', '398', '425', '427', '487', '512', '545', '573', '576', '583', '599', '756', '789']
['48', '105', '199', '266', '301', '312', '321', '370', '502', '524', '551', '555', '572', '626', '630', '631', '650', '709', '729', '734', '783']
['20', '140', '249', '256', '302', '346', '352', '359', '360', '391', '459', '485', '541', '579', '603', '642', '658', '678', '755', '761', '778']
['60', '160', '175', '181', '254', '313', '364', '383', '392', '406', '422', '435', '483', '535', '604', '645', '656', '694', '706', '711', '720']
['43', '128', '168', '176', '180', '222', '250', '339', '355', '367', '374', '399', '412', '499', '575', '580', '602', '621', '622', '657', '767']
['35', '36', '39', '49', '149', '213', '319', '455', '461', '479', '486', '498', '522', '523', '536', '561', '568', '683', '692', '750', '788']
['32', '40', '46', '55', '61', '89', '104', '116', '138', '326', '378', '429', '449', '509', '530', '552', '659', '667', '723', '753', '757']
['25', '123', '243', '274', '275', '282', '289', '295', '341', '375', '415', '440', '456', '595', '644', '672', '684', '717', '726', '743', '758']
['23', '559']
['53', '102', '211', '288', '315', '424', '437', '443', '458', '468', '481', '493', '527', '597', '627', '673', '690', '716', '718', '739', '745']
['24', '26', '29', '183', '235', '252', '277', '299', '349', '413', '432', '477', '501', '510', '562', '648', '660', '666', '671', '768', '787']
['10', '28', '67', '230', '244', '267', '292', '372', '379', '447', '465', '484', '586', '596', '639', '664', '698', '715', '763', '784', '795']
['44', '56', '58', '71', '112', '144', '240', '310', '324', '325', '344', '388', '389', '395', '436', '464', '513', '529', '591', '615', '677']
['22', '33', '139', '225', '245', '273', '287', '291', '317', '322', '358', '361', '439', '504', '514', '517', '641', '699', '703', '782', '799']
['1', '21', '54', '75', '87', '91', '107', '157', '192', '269', '276', '316', '542', '556', '593', '629', '708', '737', '738', '776', '785']
['185', '204', '216', '228', '229', '305', '318', '373', '404', '417', '445', '446', '457', '469', '507', '528', '560', '567', '713', '748', '797']
['7', '8', '72', '431', '478', '500', '681', '689', '759', '777']
['3', '19', '42', '65', '69', '111', '189', '208', '232', '242', '304', '320', '329', '405', '408', '416', '448', '531', '616', '637', '741']
['11', '34', '52', '77', '88', '106', '167', '174', '179', '219', '220', '224', '377', '401', '569', '589', '624', '651', '686', '704', '760']
['6', '15', '37', '100', '125', '127', '137', '209', '328', '376', '409', '441', '518', '550', '554', '617', '646', '652', '661', '695', '780']
['78', '79', '130', '163', '206', '248', '258', '259', '314', '332', '347', '434', '526', '544', '598', '605', '707', '733', '746', '752', '766']
['5', '68', '83', '124', '150', '153', '190', '281', '290', '343', '470', '495', '534', '553', '601', '612', '613', '620', '665', '696', '747']
['14', '59', '86', '95', '121', '129', '131', '159', '171', '218', '251', '260', '265', '369', '467', '476', '519', '532', '701', '702', '775']
